Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,950,384,34.60,3.191,1227,3248,1314,32.51,2.999,3941
2,Barishal,75605,30596,38.90,3.588,109781,69427,28096,39.72,3.664,102935
3,Bhola,103542,41901,38.50,3.551,148801,94980,38436,42.77,3.945,151635
4,Jhalakathi,23917,9679,41.91,3.866,37416,23354,9451,39.86,3.677,34748
5,Patuakhali,1661,672,32.37,2.986,2007,1542,624,35.76,3.298,2058
6,Pirojpur,28375,11483,39.75,3.667,42102,28820,11663,41.55,3.833,44700
1,"Barisal
Division",234050,94715,39.07,3.604,341333,221371,89584,41.15,3.796,340017
7,Bandarban,9191,3719,31.90,2.942,10944,8987,3637,37.20,3.431,12479
8,Brahmanbaria,288921,116920,43.58,4.020,469995,272934,110450,45.96,4.239,468236
9,Chandpur,150535,60918,38.29,3.532,215154,135633,54888,40.62,3.747,205652
10,Chattogram,127058,51418,33.53,3.093,159024,128248.2,51899,42.37,3.908,202832
11,Cumilla,333225,134849,40.04,3.693,498034,329864,133489,44.74,4.127,550881
12,Cox' Bazar,111206,45003,41.20,3.800,171022,113774,46042,42.58,3.928,180832
13,Feni,80470,32564,39.10,3.607,117446,60345,24420,37.12,3.424,83614
14,Khagrachari,17190,6956,35.17,3.244,22567,17330.06,7013,37.06,3.418,23974
15,Laksmipur,45720,18502,39.50,3.643,67411,43053,17423,46.73,4.310,75098
16,Noakhali,49138,19885,41.69,3.845,76467,44712,18094,43.74,4.035,73001
17,Rangamati,9391,3800,40.90,3.773,14337,10533,4262,38.15,3.519,14999
2,"Chattogram
Division",1222045,494535,39.95,3.685,1822403,1165413,471617,43.48,4.011,1891599
18,Dhaka,114934,46511,47.69,4.399,204599,114896.6,46496,41.86,3.861,179529
19,Faridpur,63408,25660,46.90,4.326,111005,51527,20852,43.03,3.969,82762
20,Gazipur,113821,46061,40.89,3.772,173727,124446.8,50361,43.96,4.055,204206
21,Gopalgonj,77848,31503,47.67,4.397,138522,61117,24733,43.57,4.019,99398
22,Kishoregonj,342151,138461,46.80,4.317,597711,345874,139968,45.84,4.228,591820
23,Madaripur,77652,31424,46.84,4.321,135768,82087.53,33219,44.52,4.107,136414
24,Manikgonj,113821,46061,48.29,4.454,205167,115201.2,46619,47.79,4.408,205504
25,Munsigonj,65087,26339,44.74,4.127,108697,51095,20677,43.61,4.023,83175
26,Narayanganj,60584,24517,43.10,3.976,97468,53883,21805,42.01,3.875,84495
27,Narsingdi,122454,49554,40.25,3.713,183978,115389.6,46696,43.92,4.051,189172
28,Rajbari,30553,12364,44.51,4.106,50762,30981,12537,41.79,3.855,48328
29,Shariatpur,46529,18829,46.70,4.308,81109,57430.65,23241,48.93,4.513,104893
30,Tangail,468560,189616,47.56,4.387,831830,407967,165095,46.93,4.329,714666
3,"Dhaka
Division",1697402,686901,46.09,4.251,2920342,1611896,652299,45.28,4.177,2724362
31,Bagerhat,40701,16471,37.51,3.460,56987,61598.71,24928,40.76,3.760,93720
32,Chuadanga,76406,30920,39.05,3.602,111372,74129,29998,42.77,3.945,118346
