Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maun
d)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jessore,333788,135077,42.93,3.960,534883,334387.2,135319,47.63,4.393,594508
34,Jhenaidah,211196,85466,45.90,4.234,361848,206253,83466,48.45,4.469,373011
35,Khulna,63811,25823,38.33,3.536,91298,55890,22617,43.53,4.015,90813
36,Kustia,65670,26575,43.28,3.992,106092,77670,31431,45.46,4.193,131798
37,Magura,91276,36937,44.67,4.120,152195,85375,34549,41.62,3.839,132636
38,Meherpur,29958,12123,42.98,3.964,48063,49584,20066,40.06,3.695,74145
39,Narail,106020,42904,43.13,3.978,170685,78991,31966,44.80,4.132,132094
40,Satkhira,137474,55633,40.88,3.771,209777,146848,59426,42.67,3.936,233893
4,"Khulna
Division",1156300,467929,42.70,3.939,1843199,1170726,473767,45.19,4.169,1974964
41,Jamalpur.,263213,106517,41.90,3.865,411669,224519,90858,39.89,3.679,334306
42,Mymensingh,585760,237044,44.01,4.059,962273,534171,216167,41.54,3.832,828274
43,Netrokona,396259,160357,44.72,4.125,661467,396554,160477,42.02,3.876,621993
44,Sherpur,163380,66116,41.26,3.806,251626,119222,48247,43.96,4.055,195633
5,"Mymensingh
Division",1408612,570034,43.50,4.012,2287036,1274466,515748,41.63,3.839,1980206
45,Bogura,421588,170607,41.30,3.809,649928,417286,168866,39.91,3.681,621646
46,Joypurhat,122901,49735,41.84,3.859,191944,149800,60621,43.60,4.022,243795
47,Naogaon,467810,189312,43.72,4.033,763444,443087,179308,46.77,4.314,773541
48,Natore,144187,58349,50.15,4.626,269913,149712,60585,48.53,4.476,271203
49,"Chapai
Nawabgonj",114633,46389,42.08,3.881,180058,111056,44942,39.19,3.615,162459
50,Pabna,134542,54446,43.37,4.000,217808,130942,52989,40.76,3.760,199223
51,Rajshahi,159671,64615,41.28,3.808,246033,156749,63433,42.61,3.930,249312
52,Sirajgonj,315114,127520,45.58,4.204,536129,316885,128236,47.91,4.419,566703
6,"Rajshahi
Division",1880446,760975,43.53,4.015,3055258,1875517,758981,44.11,4.068,3087882
53,Dinajpur,392808,158961,43.52,4.014,638111,392417,158803,42.65,3.934,624733
54,Gaibandha,233290,94407,36.81,3.395,320545,229356,92815,39.85,3.676,341166
55,Kurigram,203100,82190,42.87,3.954,325005,195243.4,79011,44.57,4.111,324823
56,Lalmonirhat,69135,27977,38.42,3.544,99148,66225,26800,39.06,3.603,96556
57,Nilphamari,168492,68185,43.84,4.044,275726,117266,47455,42.61,3.930,186514
58,Panchagar,74756,30252,43.31,3.995,120854,65248,26404,44.14,4.071,107505
59,Rangpur,225223,91143,43.52,4.014,365872,201474,81532,41.83,3.858,314582
60,Thakurgaon,145504,58882,38.16,3.520,207258,122575,49603,40.06,3.695,183291
7,"Rangpur
Division",1512308,611998,41.67,3.844,2352519,1389804,562423,42.01,3.875,2179169
61,Hobigonj,165307,66896,35.83,3.305,221088,185617,75115,33.08,3.051,229198
62,Maulovibazar,125296,50705,36.70,3.385,171645,125355.4,50729,34.25,3.159,160262
63,Sunamgonj,425177,172060,38.40,3.542,609436,441824.3,178797,37.24,3.435,614167
64,Sylhet,165307,66896,34.17,3.152,210845,150314.2,60829,32.53,3.001,182520
8,"Sylhet
Division",881087,356557,36.88,3.402,1213014,903110.9,365469,35.19,3.246,1186147
BANGLADESH,,9992250,4043645,42.46,3.916,15835103,9612305,3889889,42.82,3.950,15364347
