District name,October-17,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,350,250,0,0,0,0,400,300
Khagrachari,317,213,0,0,0,0,321,250
Rangamati,400,300,350,250,300,200,500,400
Chattogram,441,352,321,300,308,283,473,346
Coxbazar,500,400,450,350,400,300,550,450
Cumilla,398,331,387,326,351,300,400,350
Chandpur,0,0,0,0,0,0,330,0
Brahmmanbaria,295,235,280,0,250,213,350,295
Noakhali,400,0,0,0,0,0,422,0
Lakshmipur,290,0,0,0,0,0,340,0
Feni,0,0,450,320,0,0,480,0
Chattogram Division,377,347,373,309,322,259,415,342
Sylhet,362,330,339,300,0,0,389,350
Moulvibazar,337,250,312,234,303,275,379,289
Sunamganj,277,236,0,0,0,0,308,203
Habiganj,319,220,0,0,0,0,306,247
Sylhet Division,324,259,326,267,303,275,346,272
Dhaka,0,300,0,0,316,0,439,0
Gazipur,370,338,0,0,362,238,465,398
Manikganj,358,257,331,215,305,190,399,300
Munshiganj,0,0,0,0,306,250,402,350
Narayanganj,435,400,424,356,390,325,474,414
Narsingdi,0,0,370,230,334,0,325,220
Faridpur,400,350,383,0,0,0,500,0
Rajbari,300,0,0,0,0,0,350,0
Madaripur,294,218,0,0,188,250,341,265
Gopalganj,364,337,327,280,290,250,497,405
Shariatpur,313,200,0,0,0,0,371,275
Tangail,337,289,280,0,0,0,355,270
Kishoreganj,0,0,378,0,372,0,339,0
Dhaka Division,352,299,356,270,318,250,404,322
Mymensingh,450,280,0,0,0,0,470,300
Jamalpur,396,0,352,0,318,183,400,0
Sherpur,360,0,0,0,0,0,400,0
Netrokona,350,0,250,200,0,0,400,290
Mymensingh Division,389,280,301,200,318,183,418,295
