Name of Crops,2016-17,,2017-18,,2018-19,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Banana,120203,807104,121384,810347,120709,833309
Mango,102939,1288315,109584,1165804,235393,1219450
Pineapple,35483,211833,35237,208401,36800,217439
Jackfruit,35342,1049912,24731,1075525,41014,1037877
Ripe Papaya,3942,134647,8251,131598,8461,135809
Water-Melon,29338,253661,28980,226991,27289,187685
Straberry,0,0,0,0,15,54
Litchi,7136,90297,40889,94160,43901,79834
Guava,11526,229376,11365,241504,96608,236881
Ber (Kul),7062,89875,4292,114193,39763,129151
Orange,1055,3372,220650,3315,45342,3393
Lime & Lemon,6371,69132,4425,67077,158842,67077
Pomelo(Jambura/Batavilabu),777,65560,1046,68137,31280,72110
Melon (Banggi),9114,40959,9022,40703,9061,41275
Tamarind (Tetul),22,10812,14804,11657,15461,11645
Star apple (Jamrul),8,10091,8,10679,5832,12621
Black berry,290,52045,47364,50332,50332,51501
Atha,0,0,0,0,1413,6183
Dewya,0,0,0,0,56,1589
Lotkon,0,0,0,0,348,1877
Carambola apple (Kamranga),17,14221,7181,14760,7156,13329
Woodapple(kathbell),62,28745,18110,28178,17901,28706
Geen Coconut,3585,471046,192544,445267,77213,473057
Olive (Jalpai),184,17888,20928,17962,4766,17447
Hog plum(Amra),247,39454,17733,39921,18437,40521
Amlocki,0,0,0,0,3180,2631
Chalta,0,0,0,0,5002,9635
