District name,September-2019,,,,,,,
,With Food,,,,,,"Without Food
(in TK)",
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,400,250
Khagrachari,350,200,0,0,0,0,370,250
Rangamati,343,281,294,232,0,0,422,318
Chattogram,500,338,480,331,455,300,520,375
Coxbazar,500,338,462,331,455,300,520,375
Cumilla,463,350,400,335,390,320,477,380
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,380,275,354,0,260,226,405,288
Noakhali,419,0,400,0,380,0,517,0
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,515,0,490,0,570,0
Chattogram Division,422,297,415,307,405,287,451,319
Sylhet,383,300,366,280,0,0,406,350
Moulvibazar,400,260,380,315,0,0,415,317
Sunamganj,439,389,0,0,0,0,409,359
Habiganj,433,0,0,0,0,0,406,317
Sylhet Division,414,316,373,298,0,0,409,336
Dhaka,450,0,440,0,400,0,467,400
Gazipur,412,345,0,0,370,285,469,360
Manikganj,450,350,430,0,415,0,475,355
Munshiganj,500,350,0,0,476,0,512,365
Narayanganj,425,350,400,330,390,325,465,400
Narsingdi,0,0,450,300,442,0,475,350
Faridpur,400,300,360,0,0,0,450,0
Rajbari,413,350,367,300,317,300,516,400
Madaripur,335,300,0,0,316,225,375,283
Gopalganj,458,0,445,0,440,0,467,316
Shariatpur,300,200,0,0,0,0,352,285
Tangail,394,0,373,0,365,0,451,400
Kishoreganj,0,0,400,0,383,0,463,0
Dhaka Division,412,318,407,310,392,284,457,356
Mymensingh,420,0,390,0,370,0,469,0
Jamalpur,410,280,395,240,375,225,443,290
Sherpur,394,0,367,0,415,0,425,0
Netrokona,390,300,375,280,0,0,420,325
Mymensingh Division,404,290,382,260,387,225,439,308
