District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,395,0,0,0,0,0,403,0
Jhalokathi,400,340,0,0,0,0,415,0
Perojpur,395,0,0,0,0,0,420,0
Bhola,390,0,0,0,0,0,400,0
Patuakhali,380,340,0,0,0,0,400,360
Barguna,400,0,0,0,0,0,410,0
Barisal Division,393,340,0,0,0,0,408,360
Jashore,0,0,0,0,0,0,267,199
Jhenaidah,316,251,299,241,251,198,350,278
Magura,287,0,262,0,239,0,326,0
Narail,351,0,333,0,305,0,402,351
Khulna,0,0,0,0,0,0,389,300
Bagerhat,465,280,422,250,395,250,494,315
Satkhira,0,0,0,0,0,0,310,250
Kushtia,363,0,320,0,280,0,410,0
Chuadanga,278,0,0,0,0,0,293,0
Meherpur,250,0,0,0,0,0,277,0
Khulna Division,330,266,327,245,294,224,352,282
Rajshahi,342,255,337,243,0,0,357,285
Naogaon,315,293,330,287,303,237,397,320
Natore,0,0,0,0,0,0,341,251
Chapai Nawabganj,347,275,325,255,300,200,382,329
Bogra,0,0,0,0,339,246,435,300
Joypurhat,313,263,305,255,278,242,327,290
Pabna,300,240,280,200,270,0,394,228
Sirajganj,0,0,290,0,0,0,327,250
Rajshahi Division,323,265,311,248,298,231,370,282
Rangpur,252,200,0,0,0,0,290,250
Gaibandha,0,0,0,0,0,0,275,225
Kurigram,312,240,0,0,0,0,346,256
Nilphamari,338,227,315,215,0,0,377,282
Lalmonirhat,203,197,0,0,0,0,284,281
Dinajpur,291,227,275,200,250,0,302,231
Thakurgaon,330,240,0,0,0,0,350,278
Panchagarh,330,240,0,0,0,0,340,258
Rangpur Division,294,224,295,208,250,0,321,258
BANGLADESH,360,282,344,252,320,244,391,308
