Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maun
d)","Hectare
(M. Ton)","Productio
n
(M. Ton)",Acres,Hectares,"Acre
(Mau
nd)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,308369,124790,30.63,2.825,352592,308443,124820,31.47,2.903,362326
34,Jhenaidah,245022,99155,30.34,2.798,277473,244731,99037,30.88,2.848,282094
35,Khulna,166219,67265,26.77,2.469,166090,169961,68779,28.15,2.597,178589
36,Kustia,205897,83322,30.02,2.769,230692,206012,83369,31.19,2.877,239847
37,Magura,139444,56430,30.29,2.794,157682,138785,56163,29.39,2.711,152254
38,Meherpur,63248,25595,30.30,2.794,71523,62560,25317,29.77,2.746,69519
39,Narail,69697,28205,30.60,2.823,79620,67526,27326,28.01,2.584,70601
40,Satkhira,205287,83075,30.10,2.777,230671,206601,83607,31.05,2.864,239454
4,"Khulna
Division",1560307,631422,29.95,2.763,1744623,1558857,630835,30.30,2.795,1763060
41,Jamalpur.,165168,66840,30.79,2.840,189814,197590,79960,28.45,2.624,209833
42,Mymensingh,529273,214185,30.45,2.809,601596,542824,219669,28.06,2.588,568557
43,Netrokona,213775,86510,30.38,2.802,242386,227184,91936,28.08,2.590,238123
44,Sherpur,145424,58850,31.83,2.936,172810,146129,59135,28.89,2.665,157584
5,"Mymensing
h Division",1053640,426385,30.68,2.830,1206606,1113727,450701,28.24,2.605,1174097
45,Bogra,387666,156880,30.29,2.794,438273,421003,170371,29.26,2.699,459819
46,Joypurhat,172532,69820,30.54,2.817,196705,185890,75226,31.25,2.882,216837
47,Naogaon,341202,138077,30.41,2.805,387278,340790,137910,31.31,2.888,398288
48,Natore,137821,55773,30.41,2.805,156469,146241,59181,30.18,2.784,164746
49,"Chapai
Nawabgonj",111269,45028,30.13,2.779,125128,123079,49807,29.83,2.752,137045
50,Pabna,127106,51437,30.42,2.806,144346,118159,47816,32.75,3.021,144446
51,Rajshahi,171045,69218,30.24,2.789,193069,176713,71512,29.55,2.726,194919
52,Sirajgonj,142125,57515,30.23,2.789,160382,159814,64673,29.19,2.692,174131
6,"Rajshahi
Division",1590766,643748,30.34,2.799,1801650,1671689,676496,30.29,2.794,1890231
53,Dinajpur,625818,253255,30.32,2.797,708262,634723,256858,32.24,2.974,763847
54,Gaibandha,264976,107230,30.16,2.782,298265,284646,115190,31.53,2.908,335009
55,Kurigram,239852,97063,30.45,2.808,272601,243625,98590,31.52,2.907,286639
56,Lalmonirhat,208511,84380,30.36,2.801,236318,205932,83336,31.08,2.867,238909
57,Nilphamari,275028,111298,30.86,2.847,316827,276380,111845,32.75,3.021,337867
58,Panchagar,238239,96410,30.21,2.786,268621,235134,95154,32.35,2.984,283934
59,Rangpur,400424,162043,30.73,2.835,459364,405910,164263,32.18,2.969,487637
60,Thakurgaon,334713,135451,30.61,2.823,382410,329929,133515,31.17,2.875,383870
7,"Rangpur
Division",2587563,1047130,30.47,2.810,2942668,2616279,1058751,31.92,2.945,3117712
61,Hobigonj,177425,71800,30.28,2.793,200532,180554,73066,31.89,2.942,214926
62,Maulovibazar,232857,94232,29.97,2.765,260513,250877,101524,31.65,2.919,296389
63,Sunamgonj,138863,56195,29.20,2.693,151355,141554,57284,31.84,2.937,168237
64,Sylhet,215949,87390,30.41,2.805,245110,228679,92541,31.87,2.940,272042
8,"Sylhet
Division",765095,309617,30.03,2.770,857510,801664,324416,31.80,2.933,951594
BANGLADESH,,10817952,4377788,30.24,2.789,12210162,10900108,4411035,30.44,2.808,12386495
