Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,458,379,0,0,0,52,218,107,52,218,107
2,Barishal,0,301,248,0,0,0,218,224,238,218,224,238
3,Bhola,0,608,100,0,0,0,390,287,257,390,287,257
4,Jhallokati,0,2457,2030,0,0,0,27,2154,970,27,2154,970
5,Patuakhali,0,370,304,0,0,0,146,184,158,146,184,158
6,Pirojpur,0,176,95,0,0,0,42,92,80,42,92,80
1,Barishal,0,4370,3846,0,0,0,875,3159,1810,875,3159,1810
7,Bandarban,4,38,39,4,4,3,68,68,70,72,72,73
8,Brahmanbaria,0,116,118,0,0,0,76,85,71,76,85,71
9,Chandpur,0,271,216,0,0,0,103,103,101,103,103,101
10,Chattogram,2,565,563,5,5,6,300,300,295,305,305,301
11,Cumilla,0,189,135,0,0,2,244,233,204,244,233,206
12,Cox's Bazar,0,110,190,0,0,0,42,42,40,42,42,40
13,Feni,0,299,110,0,0,0,65,65,47,65,65,47
14,Khagrachhari,0,73,294,0,0,0,36,36,27,36,36,27
15,Laksmipur,0,384,82,0,0,0,116,117,52,116,117,52
16,Noakhali,0,190,381,0,0,0,78,56,117,78,56,117
17,Rangamati,0,1031,197,0,0,0,596,570,244,596,570,244
2,Chattogram,6,3268,3047,9,9,11,1724,1675,1268,1733,1684,1279
18,Dhaka,0,109,45,0,0,4,220,123,39,220,123,43
19,Faridpur,0,514,15,0,0,0,231,215,129,231,215,129
20,Gazipur,0,418,95,0,0,0,148,139,72,148,139,72
21,Gopalganj,0,343,69,0,0,8,258,258,138,258,258,146
22,Kishorganj,0,343,128,0,0,0,276,370,38,276,370,38
23,Madaripur,0,245,76,0,0,0,188,141,82,188,141,82
24,Manikganj,0,93,32,0,0,0,63,63,41,63,63,41
25,Munshiganj,0,26,6,0,0,0,34,31,39,34,31,39
26,Narayanganj,0,27,10,0,0,0,11,11,5,11,11,5
27,Narsingdi,0,141,49,0,3,0,197,185,197,197,188,197
28,Rajbari,0,188,27,0,0,0,94,103,97,94,103,97
29,Shariatpur,0,557,15,0,0,0,229,175,112,229,175,112
30,Tangail,0,752,225,0,0,0,507,504,13,507,504,13
3,Dhaka,0,3757,3776,0,3,12,2456,2318,1002,2456,2321,1014
31,Bagerhat,0,293,15,0,0,0,83,83,87,83,83,87
32,Chuadanga,0,137,123,0,0,0,289,285,159,289,285,159
33,Jashore,0,536,202,0,0,0,388,386,159,388,386,159
34,Jhenaidah,0,243,35,0,0,0,144,128,138,144,128,138
35,Khulna,0,195,35,0,0,0,42,92,83,42,92,83
36,Kushtia,0,191,29,0,0,0,152,184,145,152,184,145
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,0,262,47,0,0,0,247,256,108,247,256,108
38,Meherpur,0,62,44,0,0,0,88,90,39,88,90,39
39,Narail,0,356,163,0,0,0,359,359,162,359,359,162
40,Satkhira,0,177,149,0,0,0,90,96,52,90,96,52
4,Khulna,0,2452,2358,0,0,0,1882,1959,1132,1882,1959,1132
41,Jamalpur,0,385,192,0,0,0,471,446,460,471,446,460
42,Mymensing,0,683,152,0,0,0,552,1220,259,552,1220,259
43,Netrakona,0,338,73,0,0,0,258,260,118,258,260,118
44,Sherpur,0,1447,38,0,0,0,0,1043,176,0,1043,176
5,Mymensing,0,2853,1695,0,0,0,1281,2969,1013,1281,2969,1013
45,Bogura,0,348,140,0,0,0,332,397,354,332,397,354
46,Joypurhat,0,228,106,0,0,0,236,238,235,236,238,235
47,Naogaon,0,110,116,0,0,0,213,173,91,213,173,91
48,Natore,0,294,70,0,0,0,264,261,165,264,261,165
49,Chapai Nawabganj,0,72,32,0,0,0,60,72,34,60,72,34
50,Pabna,0,520,115,0,0,4,684,1585,585,684,1585,1585
51,Rajshahi,0,72,49,0,0,0,65,461,63,65,461,63
52,Sirajganj,0,275,82,0,0,0,271,361,122,271,361,122
6,Rajshahi,0,1919,1843,0,0,4,2125,3548,1649,2125,3548,1653
53,Dinajpur,0,342,90,0,0,0,397,430,207,397,430,207
54,Gaibandha,0,133,27,0,0,0,83,74,33,83,74,33
55,Kurigram,0,257,25,0,0,0,105,213,93,105,213,93
56,Lalmonirhat,0,241,54,0,0,0,276,296,137,276,296,137
57,Nilphamari,0,280,15,0,0,0,280,229,98,280,229,98
58,Panchagarh,0,33,17,0,0,0,60,58,27,60,58,27
59,Rangpur,0,57,10,0,0,0,31,31,16,31,31,16
60,Thakurgaon,0,16,2,0,0,0,7,7,3,7,7,3
7,Rangpur,0,1358,1362,0,0,0,1239,1338,614,1239,1338,614
61,Habiganj,0,68,75,0,0,0,54,55,47,54,55,47
62,Maulvibazar,0,50,3,0,0,0,9,8,5,9,8,5
63,Sunamganj,0,39,8,0,0,3,9,8,2,9,8,5
64,Sylhet,0,2,4,0,0,0,2,3,2,2,3,2
8,Sylhet,0,159,175,0,0,3,74,74,56,74,74,59
,BANGLADESH,6,20137,18104,9,12,30,11656,17040,8544,11665,17052,8574
