Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,"Hectar
es","Acre
(Maund)","Hectare
(M. Ton)","Productio
n
(M. Ton)"
1,Barguna,76,31,14.47,1.335,41,0,0,20.95,0.000,0
2,Barishal,10171,4116,18.01,1.661,6838,9162,3708,21.82,2.013,7462
3,Bhola,4586,1856,17.42,1.607,2982,3444,1394,20.63,1.903,2652
4,Jhalakathi,55,22,15.40,1.420,32,24,10,29.79,2.748,27
5,Patuakhali,995,403,11.14,1.028,414,1050,425,17.98,1.658,705
6,Pirojpur,289,117,22.68,2.092,245,155,63,20.79,1.918,120
1,"Barishal
Division",16172,6544,17.48,1.612,10551,13835,5599,21.23,1.959,10966
7,Bandarban,0,0,0,0.000,0,0,0,0,0.000,0
8,"Brahmanbari
a",4798,1942,18.50,1.706,3313,722,292,13.51,1.246,364
9,Chandpur,1109,449,16.14,1.489,668,776,314,20.88,1.926,605
10,Chattogram,0,0,0.00,0.000,0,0,0,0.00,0.000,0
11,Cumilla,0,0,0.00,0.000,0,2961,1198,14.02,0.000,1550
12,Cox' Bazar,2997,1213,33.67,3.106,3767,1300,526,33.61,3.100,1631
13,Feni,0,0,0.00,0,0,0,0,0.00,0.000,0
14,Khagrachari,0,0,0.00,0,0,0,0,0.00,0.000,0
15,Laksmipur,0,0,0.00,0,0,0,0,0.00,0.000,0
16,Noakhali,0,0,0.00,0,0,0,0,0.00,0.000,0
17,Rangamati,0,0,0.00,0,0,0,0,0.00,0.000,0
2,"Chattogram
Division",8904,3603,23.31,2.150,7748,5759,2331,19.30,1.780,4149
18,Dhaka,616,249,15.01,1.385,345,1043,422,16.09,1.484,626
19,Faridpur,3791,1534,18.10,1.670,2561,3794.4,1536,17.09,1.576,2421
20,Gazipur,0,0,0.00,0.000,0,427.15,173,16.20,0.000,258
21,Gopalgonj,272,110,23.10,2.131,235,189,76,22.74,2.098,160
22,Kishoregonj,517,209,19.41,1.790,375,812,329,18.11,1.670,549
23,Madaripur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
24,Manikgonj,607,246,18.40,1.697,417,419,170,17.14,1.581,268
25,Munsigonj,155,63,14.50,1.337,84,90,36,13.50,1.245,45
26,Narayangonj,2466,998,20.01,1.846,1842,429,174,19.61,1.809,314
27,Narsingdi,460,186,20.32,1.874,349,406.85,165,19.90,1.836,302
28,Rajbari,244,99,18.49,1.706,168,398,161,16.29,1.503,242
29,Shariatpur,5482,2218,24.79,2.287,5073,4784,1936,18.87,1.741,3370
30,Tangail,2086,844,24.16,2.229,1881,1956.82,792,36.70,3.385,2681
3,"Dhaka
Division",16696,6757,21.39,1.973,13330,14749.02,5969,20.41,1.883,11237
31,Bagerhat,0,0,0.00,0.000,0,3518,1424,22.84,2.107,2999
32,Chuadanga,0,0,0,0,0,0,0,0,0.000,0
