Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,5087,2689,0,0,0,756,635,0,756,0,0
2,Barishal,0,2104,2266,0,0,0,735,896,58,735,896,896
3,Bhola,0,963,2070,0,1,0,681,546,5,681,547,547
4,Jhallokati,0,676,533,0,0,0,231,340,13,231,340,340
5,Patuakhali,0,4067,4356,0,0,0,1397,1413,8,1397,1413,1413
6,Pirojpur,2,2032,2188,4,6,0,441,457,4,445,463,463
1,Barishal,2,14929,14102,4,7,0,4241,4287,88,4245,4294,4294
7,Bandarban,0,13,14,0,0,0,6,6,1,6,6,6
8,Brahmanbaria,0,43,30,0,0,0,61,63,29,61,63,63
9,Chandpur,0,1279,0,0,0,0,1119,1177,9,1119,1177,1177
10,Chattogram,0,1597,0,0,0,0,906,1210,9,906,1210,1210
11,Cumilla,0,700,0,0,0,16,1109,1133,9,1109,1133,1133
12,Cox's Bazar,2,102,110,4,4,0,85,86,0,89,90,90
13,Feni,0,1198,252,0,0,0,389,345,2,389,345,345
14,Khagrachhari,0,91,104,0,0,0,119,124,2,119,124,124
15,Laksmipur,0,1834,4,0,0,0,649,598,0,649,598,598
16,Noakhali,0,1229,29731,0,0,0,685,481,6,685,481,481
17,Rangamati,8,200,221,12,17,0,193,212,225,205,229,229
2,Chattogram,10,8286,30466,16,21,16,5321,5435,292,5337,5456,5456
18,Dhaka,0,343,24,0,0,0,227,178,20,227,178,178
19,Faridpur,48,2724,403,148,98,0,1091,1067,51,1239,1165,1165
20,Gazipur,82,563,87,121,129,0,405,437,16,526,566,566
21,Gopalganj,45,2006,484,64,47,0,1011,951,65,1075,998,998
22,Kishorganj,0,131,7,0,0,0,64,63,19,64,63,63
23,Madaripur,0,4147,1144,0,27,0,1857,2017,161,1857,2044,2044
24,Manikganj,5,1025,414,25,0,0,450,469,117,475,469,469
25,Munshiganj,0,220,24,0,0,0,753,704,193,753,704,704
26,Narayanganj,0,432,50,0,0,0,448,302,30,448,302,302
27,Narsingdi,0,112,16,0,0,0,190,101,39,190,101,101
28,Rajbari,0,4717,142,0,0,4,542,592,15,542,592,592
29,Shariatpur,0,1277,22,19,20,0,496,538,11,515,558,558
30,Tangail,17,895,18,18,16,0,411,397,127,429,413,413
3,Dhaka,197,18592,2835,395,337,4,7945,7816,864,8340,8153,8153
31,Bagerhat,0,3215,190,0,0,0,337,341,0,337,341,341
32,Chuadanga,130,1224,151,360,355,0,601,608,5,961,963,963
33,Jashore,234,3902,122,1008,865,0,496,500,120,1504,1365,1365
34,Jhenaidah,81,3532,36,311,194,0,1213,1186,46,1524,1380,1380
35,Khulna,23,1975,36,105,10,0,418,613,7,523,623,623
36,Kushtia,41,12138,120,41,44,0,824,786,26,865,830,830
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,0,903,0,0,0,0,700,619,0,700,619,619
38,Meherpur,0,148,0,0,0,0,57,59,8,57,59,59
39,Narail,7,1093,804,54,56,4,1220,1260,5,1274,1316,1316
40,Satkhira,85,4137,234,100,229,0,724,516,0,824,745,745
4,Khulna,8,32268,1693,1979,1753,4,6590,6488,217,8569,8241,8241
41,Jamalpur,0,171,185,0,0,0,139,137,11,139,137,137
42,Mymensing,10,2786,2458,60,54,0,2210,2213,8,2270,2267,2267
43,Netrakona,0,88,44,0,0,0,85,86,24,85,86,86
44,Sherpur,0,56,49,0,0,0,15,17,3,15,17,17
5,Mymensing,10,3101,2707,60,54,0,2449,2453,46,2509,2507,2507
45,Bogura,1,1727,120,2,2,0,951,151,7,953,153,153
46,Joypurhat,3,290,112,20,12,0,264,307,19,284,319,319
47,Naogaon,0,1047,1243,0,0,0,373,271,810,373,271,271
48,Natore,48,4749,34,299,273,0,3007,2623,0,3306,2896,2896
49,Chapai Nawabganj,0,239,193,0,0,0,335,351,43,335,351,351
50,Pabna,0,1703,0,0,0,0,1012,1043,10,1012,1043,1043
51,Rajshahi,12,3736,730,28,30,0,2347,2242,70,2375,2272,2272
52,Sirajganj,19,279,0,0,0,0,313,305,8,313,305,305
6,Rajshahi,83,13769,2432,349,317,0,8602,7293,967,8951,7610,7610
53,Dinajpur,0,418,442,0,0,0,204,181,58,204,181,181
54,Gaibandha,0,141,153,0,0,0,128,60,17,128,60,60
55,Kurigram,1,177,179,6,0,0,161,91,34,167,91,91
56,Lalmonirhat,0,117,119,0,0,0,100,72,20,100,72,72
57,Nilphamari,0,74,84,0,0,0,54,38,21,54,38,38
58,Panchagarh,0,30,33,0,0,0,16,16,12,16,16,16
59,Rangpur,0,230,248,0,0,0,159,81,23,159,81,81
60,Thakurgaon,0,45,47,0,0,0,36,22,38,36,22,22
7,Rangpur,1,1232,1305,6,0,0,858,561,223,864,561,561
61,Habiganj,0,130,0,0,0,0,82,110,0,82,110,110
62,Maulvibazar,0,21,0,0,0,0,41,41,0,41,41,41
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,5,0,0,0,0,1,1,0,1,1,1
8,Sylhet,0,156,0,0,0,0,124,152,0,124,152,152
,BANGLADESH,311,92333,55540,2809,2489,24,36130,34485,2697,38939,36974,35343
