Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,0,0,0,0,0,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0,0,0,0,0,0,0
1,Barishal,0,0,0,0,0,0,0,0,0,0,0,0
7,Bandarban,84,18950,85,476,497,497,146,140,140,622,637,637
8,Brahmanbaria,0,0,0,0,0,0,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0,0,0,0,0,0,0
10,Chattogram,18,8814,32,0,0,0,0,0,1,0,0,1
11,Cumilla,0,0,0,0,0,0,0,0,0,0,0,0
12,Cox's Bazar,5,4645,4179,8,8,0,4,4,11,12,12,11
13,Feni,0,0,0,0,0,0,0,0,0,0,0,0
14,Khagrachhari,499,45921,585,706,822,821,67,96,104,773,918,925
15,Laksmipur,0,0,0,0,0,0,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0
17,Rangamati,124,39362,40149,74,919,0,1204,240,1182,1278,1159,1182
2,Chattogram,730,117691,45030,1264,2246,1318,1421,480,1438,2685,2726,2756
18,Dhaka,0,0,0,0,0,0,0,0,0,0,0,0
19,Faridpur,0,0,0,0,0,0,0,0,0,0,0,0
20,Gazipur,6,1922,41,0,4,6,0,2,1,0,6,7
21,Gopalganj,0,0,0,4,0,0,2,0,0,6,0,0
22,Kishorganj,0,0,0,0,0,0,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0,0,0,0,0,0,0
28,Rajbari,0,0,0,0,0,0,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0,0,0,0,0,0,0
30,Tangail,20,27548,50,6,6,6,1,1,1,7,7,7
3,Dhaka,26,29469,91,10,10,12,3,3,2,13,13,14
31,Bagerhat,0,0,0,0,0,0,0,0,0,0,0,0
32,Chuadanga,0,0,0,0,0,0,0,0,0,0,0,0
33,Jashore,0,0,0,0,0,0,0,0,0,0,0,0
34,Jhenaidah,0,0,0,0,0,0,0,0,0,0,0,0
35,Khulna,0,0,0,0,0,0,0,0,0,0,0,0
36,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,"2018-
19"
37,Magura,0,0,0,0,0,0,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
39,Narail,0,0,0,0,0,73,0,0,0,0,0,73
40,Satkhira,0,0,0,0,0,0,0,0,0,0,0,0
4,Khulna,0,0,0,0,0,73,0,0,0,0,0,73
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensing,14,0,0,57,0,0,4,0,0,61,0,0
43,Netrakona,0,572,3,0,0,2,12,15,40,12,15,42
44,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0
5,Mymensingh,14,572,3,57,0,2,16,15,40,73,15,42
45,Bogura,0,0,0,0,0,0,0,0,0,0,0,0
46,Joypurhat,0,0,0,0,0,0,0,0,0,0,0,0
47,Naogaon,0,0,0,0,0,0,0,0,0,0,0,0
48,Natore,0,0,0,0,0,0,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,8,0,0,0,0,0,3,0,0,3
50,Pabna,0,0,0,0,0,0,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0,0,0,0,0,0,0
52,Sirajganj,0,0,0,0,0,0,0,0,0,0,0,0
6,Rajshahi,0,0,8,0,0,0,0,0,3,0,0,3
53,Dinajpur,0,0,0,0,0,0,0,0,0,0,0,0
54,Gaibandha,0,0,0,0,0,0,0,0,0,0,0,0
55,Kurigram,0,0,0,0,0,0,0,0,0,0,0,0
56,Lalmonirhat,0,766,1,0,1,0,0,0,1,0,1,1
57,Nilphamari,2,581,3,8,9,0,0,0,6,8,9,6
58,Panchagarh,32,5742,29,38,46,0,4,0,46,42,46,46
59,Rangpur,0,0,0,0,0,0,0,0,0,0,0,0
60,Thakurgaon,2,1628,5,3,4,0,4,0,4,7,4,4
7,Rangpur,36,8716,38,49,60,0,8,0,57,57,60,57
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Maulvibazar,120,49048,46,210,190,190,185,161,147,395,351,337
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,129,15154,126,114,110,99,35,40,12,149,150,111
8,Sylhet,249,64201,172,324,300,289,220,201,159,544,501,448
,BANGLADESH,1055,220650,45342,1704,2616,1694,1668,699,1699,3372,3315,3393
