Zila/Division,,2017-18,,2018-19,
,,Area (acres),Production(M. Ton),Area (acres),Production(M. Ton)
1,Barguna,172,165,175,170
2,Barishal,38,32,40,35
3,Bhola,4579,3447,4707,3631
4,Jhallokati,40,20,20,9
5,Patuakhali,648,345,650,370
6,Pirojpur,13,9,12,9
1,Barishal,5490,4018,5604,4224
7,Bandarban,186,123,194,130
8,Brahmanbaria,367,337,400,301
9,Chandpur,264,154,265,152
10,Chattogram,2130,1900,2015,1800
11,Cumilla,225,101,321,120
12,Cox's Bazar,612,709,700,809
13,Feni,596,411,585,403
14,Khagrachhari,115,128,128,131
15,Laksmipur,6296,3086,6166,3014
16,Noakhali,9450,4590,7814,4171
17,Rangamati,52,30,59,34
2,Chattogram,20293,11569,18647,11065
18,Dhaka,494,309,500,325
19,Faridpur,13067,11640,5370,6095
20,Gazipur,100,30,120,38
21,Gopalganj,39,27,2110,1867
22,Kishorganj,1754,1654,1950,1730
23,Madaripur,461,167,334,152
24,Manikganj,1920,1075,1901,1074
25,Munshiganj,163,114,167,119
26,Narayanganj,524,278,519,270
27,Narsingdi,674,455,568,302
28,Rajbari,319,477,300,405
29,Shariatpur,668,666,534,506
30,Tangail,3133,1752,2965,1650
3,Dhaka,23316,18644,17338,14533
31,Bagerhat,40,27,38,25
32,Chuadanga,63,44,60,39
33,Jashore,16,8,17,8
34,Jhenaidah,737,845,737,882
35,Khulna,0,0,0,0
36,Kushtia,432,234,418,223
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,60,117,55,114
38,Meherpur,0,0,6,2
39,Narail,945,934,934,922
40,Satkhira,0,0,0,0
4,Khulna,2299,2209,2265,2215
41,Jamalpur,1335,1321,1306,1220
42,Mymensing,537,261,682,366
43,Netrakona,185,181,187,186
44,Sherpur,0,0,119,112
5,Mymensing,2057,1763,2294,1884
45,Bogura,1550,810,1503,807
46,Joypurhat,0,0,0,0
47,Naogaon,155,98,140,90
48,Natore,1117,574,1112,570
49,Chapai Nawabganj,0,0,0,0
50,Pabna,775,581,776,562
51,Rajshahi,234,214,250,220
52,Sirajganj,1000,741,3027,2105
6,Rajshahi,4831,3018,6808,4354
53,Dinajpur,30,17,39,29
54,Gaibandha,1356,1240,1197,1184
55,Kurigram,1933,1334,2032,1433
56,Lalmonirhat,468,364,399,351
57,Nilphamari,99,52,235,127
58,Panchagarh,16767,11905,16757,11907
59,Rangpur,128,70,116,93
60,Thakurgaon,12,8,90,56
7,Rangpur,20793,14990,20865,15180
61,Habiganj,16,10,10,6
62,Maulvibazar,26,13,25,10
63,Sunamganj,2163,1601,2164,1608
64,Sylhet,33,28,34,29
8,Sylhet,2238,1652,2233,1653
,BANGLADESH,81311,57863,76054,55108
