Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,0,71,0,0,0,0,0,70,0,0,70
2,Barishal,0,0,104,0,0,0,0,0,135,0,0,135
3,Bhola,0,0,7,0,0,0,0,0,4,0,0,4
4,Jhallokati,0,0,36,0,0,0,0,0,35,0,0,35
5,Patuakhali,0,0,20,0,0,0,0,0,15,0,0,15
6,Pirojpur,0,0,182,0,0,0,0,0,300,0,0,300
1,Barishal,0,0,420,0,0,0,0,0,559,0,0,559
7,Bandarban,0,0,16,0,0,0,0,0,7,0,0,7
8,Brahmanbaria,0,0,54,0,0,0,0,0,38,0,0,38
9,Chandpur,0,0,0,0,0,0,0,0,0,0,0,0
10,Chattogram,0,0,56,0,0,5,0,0,3,0,0,8
11,Cumilla,0,0,0,0,0,0,0,0,42,0,0,42
12,Cox's Bazar,0,0,0,0,0,0,0,0,3,0,0,3
13,Feni,0,0,3,0,0,0,0,0,3,0,0,3
14,Khagrachhari,0,0,5,0,0,0,0,0,2,0,0,2
15,Laksmipur,0,0,0.21,0,0,0,0,0,306,0,0,306
16,Noakhali,0,0,10,0,0,0,0,0,15,0,0,15
17,Rangamati,0,0,41,0,0,25,0,0,0.001,0,0,25
2,Chattogram,0,0,185,0,0,30,0,0,419,0,0,449
18,Dhaka,0,0,16,0,0,0,0,0,70,0,0,70
19,Faridpur,0,0,120,0,0,0,0,0,273,0,0,273
20,Gazipur,0,0,6,0,0,0,0,0,40,0,0,40
21,Gopalganj,0,0,28,0,0,0,0,0,209,0,0,209
22,Kishorganj,0,0,4,0,0,0,0,0,6,0,0,6
23,Madaripur,0,0,73,0,0,0,0,0,377,0,0,377
24,Manikganj,0,0,10,0,0,0,0,0,8,0,0,8
25,Munshiganj,0,0,4,0,0,0,0,0,8,0,0,8
26,Narayanganj,0,0,5,0,0,0,0,0,31,0,0,31
27,Narsingdi,0,0,0,0,0,0,0,0,0,0,0,0
28,Rajbari,0,0,41,0,0,0,0,0,65,0,0,65
29,Shariatpur,0,0,0,0,0,0,0,0,104,0,0,104
30,Tangail,0,0,0,0,0,0,0,0,21,0,0,21
3,Dhaka,0,0,307,0,0,0,0,0,1212,0,0,1212
31,Bagerhat,0,0,47,0,0,0,0,0,1152,0,0,1152
32,Chuadanga,0,0,0,0,0,0,0,0,12,0,0,12
33,Jashore,0,0,2,0,0,0,0,0,1415,0,0,1415
34,Jhenaidah,0,0,8,0,0,0,0,0,59,0,0,59
35,Khulna,0,0,5,0,0,0,0,0,8,0,0,8
36,Kushtia,0,0,6,0,0,0,0,0,58,0,0,58
