District,River,"Sundar-
bans",Beel,"Kaptai
Lake","Flood
Plain",Pond,"Seasonal
Cultured
Water Body",Baor,"Shrimp/
Prawn
Farm","Pen
Culture","Cage
Culture",Total
Dhaka,1291,0,894,0,6287,7935,4839,0,5,2654,0,23905
Faridpur,2819,0,557,0,10375,24071,6573,897,11,1262,0,46565
Gazipur,503,0,1785,0,16752,30884,8092,0,9,911,0,58936
Gopalganj,797,0,1133,0,9284,21833,3316,1106,2362,4866,20,44717
Kishoreganj,2707,0,7675,0,48412,30850,1159,0,4,140,0,90947
Madaripur,1794,0,329,0,8753,14678,222,1548,79,1475,196,29074
Manikganj,3238,0,758,0,11508,14583,3100,0,1,545,0,33733
Munshiganj,3723,0,313,0,12126,10912,5353,0,2,142,0,32571
Narayanganj,1860,0,200,0,1724,10826,3181,0,0,1216,0,19007
Narsingdi,3026,0,1383,0,13108,27250,1493,0,0,101,1649,48010
Rajbari,3198,0,331,0,6696,18444,2745,38,0,11,0,31463
Shariatpur,6628,0,92,0,5908,16698,74,0,50,5,5,29460
Tangail,1693,0,2702,0,11230,45375,2713,0,0,5,0,63718
Dhaka Division,33277,0,18152,0,162163,274339,42860,3589,2523,13333,1870,552106
Jamalpur,3536,0,3203,0,10411,23348,1674,0,6,0,18,42196
Mymensingh,1416,0,6686,0,11202,324345,1352,0,0,0,0,345001
Netrakona,1581,0,7342,0,38347,46067,4312,0,0,101,0,97750
Sherpur,1080,0,2641,0,2857,25779,1853,0,0,0,0,34210
Mymensingh Division,7613,0,19872,0,62817,419539,9191,0,6,101,18,519157
Bagerhat,5700,23713,41,0,7869,19273,1915,20,81225,209,3,139968
Chuadanga,396,0,1102,0,1463,12599,1515,1685,0,0,0,18760
Jashore,1034,0,1995,0,36453,143952,27103,4012,33540,0,0,248089
Jhenaidah,403,0,1132,0,6523,30821,4165,2651,0,0,0,45695
Khulna,4209,1915,269,0,21241,21521,1353,0,81198,0,3,131709
Kushtia,1420,0,635,0,4006,26707,4465,207,1,0,0,37441
Magura,1241,0,231,0,3128,12851,129,268,58,0,0,17906
Meherpur,329,0,483,0,1097,7911,221,256,1,0,0,10298
Narail,1039,0,702,0,3395,5522,634,0,4850,2,0,16144
Satkhira,1547,3260,40,0,14276,48981,2121,205,85921,0,0,156351
Khulna Division,17318,28888,6630,0,99451,330138,43621,9304,286794,211,6,822361
Barguna,7295,0,0,0,3803,8834,783,0,663,0,81,21459
Barishal,49674,0,40,0,10770,42688,7412,0,2945,37,63,113629
Bhola,110836,0,0,0,5599,39875,449,0,43,0,107,156909
Jhalokati,2558,0,15,0,4939,5587,621,0,191,125,0,14036
Patuakhali,35259,0,0,0,11021,28557,256,0,3588,13,0,78694
Pirojpur,4082,0,18,0,4319,10480,1621,0,2608,0,26,23154
Barishal Division,209704,0,73,0,40451,136021,11142,0,10038,175,277,407881
