Year,Insecticide,,,,miticide,Fungicide,,Herbicide,Rodenticide,Total
,Granular,,Liquid,Powder,,General,Sulphur,,,
Year 2016,,,,,,,,,,
January-March,"4,863.59","1,588.19",,395.26,38.87,"1,896.36","5,253.75","1,944.64",34.90,"16,016.28"
April-June,"1,215.90",397.22,,98.81,9.90,474.10,"1,315.00",486.16,8.93,"4,006.02"
July-September,"1,519.87",496.53,,123.52,12.50,592.61,"1,642.70",607.70,11.22,"5,006.65"
October-December,"2,533.12",827.55,,205.86,22.01,987.68,"2,733.86","1,012.83",19.74,"8,342.65"
Total,"10,132.48","3,310.21",,823.45,83.28,"3,950.75","10,945,31","4,015.33",74.79,"33,371.60"
Year 2017,,,,,,,,,,
January-March,2980.68,1176.97,,308.80,30.70,1440.10,3170.65,1514.80,21.70,10644.40
April-June,1823.64,7086.60,,206.40,20.50,960.40,2113.10,1010.80,14.50,6934.94
July-September,1807.80,7069.70,,207.58,21.40,962.30,2106.45,1008.50,13.85,6897.58
October-December,2983.48,1190.97,,304.50,29.93,1437.55,3175.25,1515.28,22.40,10659.36
Total,9595.60,3923.24,,1027.28,102.53,4800.35,10565.45,5049.38,72.45,35136.28
Year 2018,,,,,,,,,,
January-March,2973.58,1724.71,,495.11,39.27,2169.88,3768.91,2448.81,26.88,13647.15
April-June,1699.19,985.55,,282.92,22.44,1239.93,2153.66,1399.32,15.36,7798.37
July-September,1274.39,739.16,,212.19,16.83,929.95,1615.25,1049.49,11.52,5848.78
October-December,2548.78,1478.33,,424.38,33.66,1859.90,3230.49,2098.98,23.04,11397.56
Total,8494.94,4927.75,,1414.6,112.2,6199.66,10768.31,6996.6,76.8,38691.86
Year 2019,,,,,,,,,
January-March,2150.02,1710.50,565.10,40.50,2373.80,3660.90,2548.81,27.90,13077.53
April-June,1205.43,995.30,172.82,23.54,1341.40,2050.70,1395.30,15.40,7199.89
July-September,1076.58,830.70,302.08,17.82,1010.50,1505.40,1045.40,11.50,5799.98
October-December,2024.25,1785.04,592.35,35.95,1969.80,3228.00,2426.90,23.50,12085.80
Total,6456.28,5321.54,1632.35,117.81,6695.5,10445,7416.41,78.3,38163.2
Year 2020,,,,,,,,,
January-March,1705.00,1860.50,623.15,43.40,2420.80,3675.90,2641.81,28.50,12999.06
April-June,846.78,990.30,192.10,23.55,1332.75,2051.70,1397.30,15.20,6849.68
July-September,849.00,810.70,350.00,17.85,1008.50,1515.40,1045.49,11.80,5608.74
October-December,1645.00,1881.18,675.00,35.95,2040.80,3282.00,2520.90,24.50,12105.33
Total,5045.78,5542.68,1840.25,120.75,6802.85,10525,7605.5,80,37562.81
Year 2021,,,,,,,,,
January-March,1538.55,2156.60,825.40,47.80,2532.80,3675.90,2781.81,30.50,13589.36
April-June,842.60,1045.24,232.10,23.55,1546.70,2051.70,1397.30,16.20,7155.39
July-September,860.70,1061.58,349.00,19.50,1152.50,1625.40,1080.49,13.80,6162.97
October-December,1394.40,2082.08,833.70,41.65,2153.80,3482.00,2620.90,26.50,12635.03
Total,4636.25,6345.5,2240.2,132.5,7385.8,10835,7880.5,87,39542.75
