District,Principal River,,,,,,"Principal
River Total
(A)","Other River
Total (B)","Grand
Total
(A+B)"
,"Lower
Meghna","Upper
Meghna","Lower
Padma","Upper
Padma",Jamuna,"Brahma
putra",,,
Dhaka,0,0,681,0,0,0,681,516,1197
Faridpur,0,0,1982,0,0,0,1982,651,2633
Gazipur,0,0,0,0,0,0,0,526,526
Gopalganj,0,0,0,0,0,0,0,761,761
Kishoreganj,0,1151,0,0,0,0,1151,1490,2641
Madaripur,0,0,1302,0,0,0,1302,322,1624
Manikganj,0,0,1990,0,686,0,2676,420,3096
Munshiganj,0,1489,1656,0,0,0,3145,477,3622
Narayanganj,0,1373,0,0,0,0,1373,454,1827
Narsingdi,0,2350,0,0,0,0,2350,566,2916
Rajbari,0,0,1203,1211,0,0,2414,685,3099
Shariatpur,2301,0,3342,0,0,0,5643,560,6203
Tangail,0,0,0,0,1144,0,1144,461,1605
Dhaka Division,2301,6363,12156,1211,1830,0,23861,7889,31750
Jamalpur,0,0,0,0,526,2521,3047,280,3327
Mymensingh,0,0,0,0,0,0,0,1363,1363
Netrakona,0,0,0,0,0,0,0,1547,1547
Sherpur,0,0,0,0,0,0,0,1016,1016
Mymensingh Division,0,0,0,0,526,2521,3047,4206,7253
Bagerhat,0,0,0,0,0,0,0,5616,5616
Chuadanga,0,0,0,0,0,0,0,390,390
Jashore,0,0,0,0,0,0,0,1029,1029
Jhenaidah,0,0,0,0,0,0,0,390,390
Khulna,0,0,0,0,0,0,0,4095,4095
Kushtia,0,0,0,246,0,0,246,1134,1380
Magura,0,0,0,0,0,0,0,1229,1229
Meherpur,0,0,0,0,0,0,0,321,321
Narail,0,0,0,0,0,0,0,1010,1010
Satkhira,0,0,0,0,0,0,0,1521,1521
Khulna Division,0,0,0,246,0,0,246,16735,16981
Barguna,0,0,0,0,0,0,0,7069,7069
Barishal,45177,0,0,0,0,0,45177,5610,50787
Bhola,101794,0,0,0,0,0,101794,5479,107273
Jhalokati,0,0,0,0,0,0,0,2495,2495
Patuakhali,0,0,0,0,0,0,0,34491,34491
Pirojpur,0,0,0,0,0,0,0,4010,4010
Barishal Division,146971,0,0,0,0,0,146971,59154,206125
