Name of the crops,Loss in production (M.tons/bales) by natural calamities,,
,"Flood /Excessive Rainfall
/ flash Flood / Rush of
water","Cyclone/Hailstorm/Tornado/Tidal
bore/Bulbul",Total
(HYV) Aman,-,37372.94,37372.94
(LT) Aman,-,56183.67,37372.94
(Broadcast) Aman,-,5080,56183.67
Vegetables,-,1891.381,5080
(Batel leaves),-,287.4869,1891.381
Green Banana,-,1742.651,287.4869
Kheshari pulse,-,1800.761,1742.651
Lau (Watergourd),-,183.2369,1800.761
Radish,-,372.0124,183.2369
Ripe papaya,-,3881.304,372.0124
Mashkalai pulse,-,4.059,3881.304
Mashur pulse,-,36.6212,4.059
Rape and Mustard,-,33.2,36.6212
Coriander,-,6.4271,33.2
Boro,-,10615,10615
Aus,-,38,38
Maize,-,4947,4947
Jute,-,8842,8842
Banana,-,47235,47235
Cucumber,-,440,440
Bitter Gourd,-,1042,1042
Til,-,586,586
Jhinga,-,303,303
Patal,-,7332,7332
Betel leaves,-,11458,11458
Papaya,-,12667,12667
Brinjal,-,3281,3281
Chilli,-,552,552
Laushak,-,452,452
Lal shak,-,165,165
Soyabean,-,96,96
Chichinga,-,291,291
Ladies finger,-,238,238
Dhundal,-,1,1
Puishak,-,41,41
Barbati,-,102,102
Danta,-,196,196
Mango,-,26471,26471
Mung pulse,-,1926,1926
Litchi,-,82,82
Kalmi shak,-,0,0
Onion,-,1,1
Nuts,-,8,8
