District name,Jan-2023,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,"Without Food
(in TK)",,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,0,,,0,,,0,,,0,,,0,,,0,,,543,,,371,,
Khagrachari,450,,,300,,,0,,,0,,,0,,,0,,,473,,,379,,
Rangamati,438,,,313,,,313,,,229,,,0,,,0,,,487,,,333,,
Chattogram,543,,,444,,,510,,,382,,,457,,,400,,,684,,,427,,
Cox’sbazar,702,,,400,,,640,,,373,,,600,,,300,,,761,,,463,,
Cumilla,625,,,457,,,532,,,434,,,615,,,411,,,610,,,418,,
Chandpur,0,,,0,,,0,,,0,,,0,,,0,,,575,,,0,,
Brahmmanbaria,460,,,400,,,450,,,0,,,450,,,375,,,529,,,450,,
Noakhali,571,,,0,,,600,,,0,,,525,,,0,,,651,,,0,,
Lakshmipur,0,,,0,,,0,,,0,,,0,,,0,,,446,,,0,,
Feni,598,,,0,,,0,,,0,,,0,,,0,,,657,,,0,,
Chattogram Division,548,,,386,,,507,,,354,,,529,,,372,,,583,,,406,,
Sylhet,461,,,350,,,426,,,0,,,375,,,0,,,487,,,375,,
Maulavi Bazar,427,,,350,,,400,,,325,,,0,,,0,,,483,,,385,,
Sunamganj,427,,,315,,,0,,,0,,,0,,,0,,,474,,,355,,
Habiganj,475,,,350,,,0,,,0,,,0,,,0,,,500,,,342,,
Sylhet Division,449,,,338,,,413,,,350,,,375,,,0,,,478,,,345,,
Dhaka,544,,,500,,,486,,,400,,,505,,,350,,,585,,,550,,
Gazipur,600,,,475,,,550,,,475,,,525,,,425,,,680,,,510,,
Manikganj,494,,,400,,,489,,,371,,,445,,,330,,,571,,,477,,
Munshiganj,525,,,350,,,0,,,0,,,476,,,0,,,552,,,300,,
Narayanganj,0,,,0,,,0,,,0,,,0,,,0,,,489,,,421,,
Narsingdi,0,,,0,,,563,,,0,,,540,,,0,,,570,,,0,,
Faridpur,529,,,0,,,0,,,0,,,500,,,0,,,578,,,0,,
Rajbari,550,,,0,,,475,,,0,,,0,,,0,,,600,,,0,,
Madaripur,400,,,388,,,0,,,0,,,500,,,0,,,511,,,394,,
Gopalganj,450,,,0,,,0,,,0,,,433,,,350,,,548,,,383,,
Shariatpur,556,,,375,,,0,,,0,,,400,,,0,,,588,,,410,,
Tangail,610,,,430,,,570,,,380,,,530,,,330,,,665,,,475,,
Kishoreganj,450,,,300,,,522,,,0,,,557,,,0,,,578,,,330,,
Dhaka Division,519,,,402,,,522,,,407,,,492,,,357,,,578,,,425,,
Mymensing,,533,,,463,,,561,,,510,,,604,,,543,,,632,,,572,
Jamalpur,,498,,,-,,,532,,,-,,,574,,,-,,,599,,,-,
Sherpur,,533,,,300,,,568,,,320,,,590,,,0,,,620,,,350,
Netrokona,,504,,,400,,,539,,,445,,,565,,,-,,,586,,,475,
"Mymensing
Division",517,,,388,,,550,,,425,,,583,,,543,,,609,,,466,,
