District,River,"Sunda
r bans",Beel,"Kaptai
Lake","Flood
Plain",Pond,"Seasona
l
cultured
water
body",Baor,"Shrimp
/ Prawn
Farm","Pen
Culture","Cage
Culture",Total
Dinajpur,293,0,554,0,5910,48170,2003,0,17,0,18,56965
Gaibandha,2129,0,567,0,5788,26335,822,0,13,37,0,35691
Kurigram,4003,0,1666,0,10996,20043,4683,0,6,152,149,41698
Lalmonirhat,205,0,569,0,1662,13359,3678,0,3,24,7,19507
Nilphamari,201,0,501,0,3263,19379,740,0,5,25,8,24122
Panchagarh,123,0,57,0,2642,12954,455,0,4,6,0,16241
Rangpur,163,0,1865,0,8356,30163,3620,0,15,32,0,44214
Thakurgaon,117,0,209,0,3728,24558,350,0,6,9,13,28990
"Rangur
Division",7234,0,5988,0,42345,194961,16351,0,69,285,195,267428
Bogura,928,0,2597,0,4642,75386,703,0,5,49,9,84319
"Chapai
Nawabganj",1917,0,3027,0,1455,12204,221,0,1,155,27,19007
Joypurhat,199,0,271,0,157,22910,589,0,24,0,4,24154
Naogaon,1304,0,5211,0,14891,58512,664,0,2,0,56,80640
Natore,871,0,1056,0,15642,47250,431,0,2,0,26,65278
Pabna,4248,0,2664,0,10701,46207,3056,0,0,4,40,66920
Rajshahi,2481,0,4129,0,6012,62703,6362,0,10,0,10,81707
Sirajganj,4541,0,779,0,32425,25446,1252,0,2,19,1443,65907
"Rajshahi
Division",16489,0,19734,0,85925,350618,13278,0,46,227,1615,487932
Bandarban,150,0,0,0,167,1346,522,0,0,0,0,2185
Brahmanbaria,1955,0,491,0,20631,36451,2800,0,0,540,165,63033
Chandpur,35432,0,290,0,23329,37914,1912,0,192,174,999,100242
Chattogram,6862,0,53,0,680,65840,3446,0,1599,0,0,78480
Cumilla,1039,0,329,0,70534,122731,77308,0,148,76,46,272211
Cox’s Bazar,2404,0,0,0,1285,4737,161,0,16549,0,0,25136
Feni,1352,0,0,0,6752,24309,272,0,69,1,35,32790
Khagrachhari,218,0,54,0,0,2721,447,0,0,0,0,3440
Lakshmipur,21984,0,0,0,10068,30918,867,0,74,0,69,63980
Noakhali,10050,0,0,0,26873,48527,1180,0,362,0,0,86992
Rangamati,221,0,0,12696,0,1015,555,0,0,46,65,14598
"Chattogram
Division",81667,0,1217,12696,160319,376509,89470,0,18993,837,1379,743087
Habiganj,1016,0,2613,0,28102,18116,206,0,15,0,0,50068
Moulvibazar,484,0,2911,0,23881,22229,781,0,0,0,2,50288
Sunamganj,866,0,24049,0,65294,10320,1515,0,0,16,0,102060
Sylhet,864,0,5324,0,40754,19932,1566,0,1,9,43,68493
"Sylhet
Division",3230,0,34897,0,158031,70597,4068,0,16,25,45,270909
TOTAL,331793,21007,103104,12696,779801,"204625
8",225948,10969,282676,13425,4590,3832267
%,8.66,0.55,2.69,0.33,20.35,53.40,5.90,0.29,7.38,0.35,0.12,100
