Type of Fishing,"Number of Craft
(Trawler/ Boat)","Number of
Unit
(Gear/Net)",Catch in Metric Ton,,,
,,,Shrimp,Hilsa,Other Fish,Total
A. Industrial,,,,,,
Trawl Fishing,,,,,,
a) Shrimp Trawler,37,87,1758,0,2378,4136
b) Fish Trawler,218,564,975,12300,89825,103100
TOTAL INDUSTRIAL (A),255,651,2733,12300,92203,107236
B. Artisanal,,,,,,
1. Gill Net Fishing,,,,,,
a) Mechanized,20359,77768,0,254140,68545,322685
b) Non-mechanized,16831,40585,0,23876,21485,45361
SUB-TOTAL,37190,118353,0,278016,90030,368046
2. Set Bag Net Fishing,,,,,,
a) Seasonal (MB),10000,22404,30100,0,118970,149070
b) Seasonal (NMB),5200,10000,7046,0,1335,8381
c) All Seasonal (NMB),5550,10025,855,0,445,1300
SUB-TOTAL,20750,42429,38001,0,120750,158751
3. Long Line Fishing,,,,,,
a) Jew Fish Long Line,,,,,,
i. Mechanized,2500,10191,0,0,17498,17498
ii. Non-mechanized,400,900,0,0,450,450
b) Other Long Line (NMB),325,772,0,0,155,155
SUB-TOTAL,3225,11863,0,0,18103,18103
4. Trammel Net Fishing (NMB),131,422,1015,0,3230,4245
5. Other Gears Fishing (NMB),6373,15640,1000,0,2530,3530
TOTAL ARTISANAL (B),67669,188707,40016,278016,234643,552675
GRAND TOTAL (A+B),67924,189358,42749,290316,326846,659911
