"Sl.
No.",District,Extensive,,Semi-intensive,,Intensive,,Highly Intensive,,Total,,
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,>4- 10 MT/Ha,,>10.0 MT/Ha,,,,
,,Area,Production,Area,Production,Area,Production,Area,Production,Area,Production,MT/Ha
34,Dinajpur,102,149,6541,26060,2781,20250,98,1711,9522,48170,5.06
35,Gaibandha,0,0,4986,19115,810,6109,65,1111,5861,26335,4.49
36,Kurigram,204,294,3310,12907,905,5554,118,1288,4537,20043,4.42
37,Lalmonirhat,48,70,2650,10502,448,2592,13,195,3159,13359,4.23
38,Nilphamari,0,0,1968,6716,2126,11831,69,832,4163,19379,4.66
39,Panchagarh,0,0,2036,6905,1099,5064,73,985,3208,12954,4.04
40,Rangpur,98,127,4443,17589,1740,12282,10,165,6291,30163,4.79
41,Thakurgaon,0,0,3706,14089,1404,8281,194,2188,5304,24558,4.63
,Rangpur Division,452,640,29640,113883,11313,71963,640,8475,42045,194961,4.64
42,Bogura,417,560,9376,28280,3799,29777,733,16769,14325,75386,5.26
43,Chapai Nawabganj,0,0,2326,8352,706,3852,0,0,3032,12204,4.02
44,Joypurhat,30,40,2105,7063,2569,15807,0,0,4704,22910,4.87
45,Naogaon,0,0,9768,37665,2915,19460,118,1387,12801,58512,4.57
46,Natore,0,0,5320,19921,2714,23598,243,3731,8277,47250,5.71
47,Pabna,0,0,8727,34089,1798,12020,9,98,10534,46207,4.39
48,Rajshahi,0,0,5050,19394,7220,40747,233,2562,12503,62703,5.02
49,Sirajganj,68,80,3287,12999,1953,12367,0,0,5308,25446,4.79
,Rajshahi Division,515,680,45959,167763,23674,157628,1336,24547,71484,350618,4.90
50,Bandarban,175,228,268,750,74,368,0,0,517,1346,2.60
51,Brahmanbaria,125,181,3899,15433,2765,19829,58,1008,6847,36451,5.32
52,Chandpur,171,248,6372,22835,2872,14831,0,0,9415,37914,4.03
53,Chattogram,6470,9304,12881,45298,1718,10208,80,1030,21149,65840,3.11
54,Cumilla,1445,2053,12548,44577,7480,62464,1081,13637,22554,122731,5.44
55,Cox’s Bazar,238,320,1207,4417,0,0,0,0,1445,4737,3.28
56,Feni,303,352,4094,15449,949,7757,47,751,5393,24309,4.51
57,Khagrachhari,141,201,807,2005,93,515,0,0,1041,2721,2.61
58,Lakshmipur,239,332,6027,21515,1869,9071,0,0,8135,30918,3.80
59,Noakhali,991,1285,11685,43419,434,3823,0,0,13110,48527,3.70
60,Rangamati,52,66,352,885,10,64,0,0,414,1015,2.45
,"Chattogram
Division",10350,14570,60140,216583,18264,128930,1266,16426,90020,376509,4.18
61,Habiganj,1099,1415,2502,8201,1166,7315,110,1185,4877,18116,3.71
62,Moulvibazar,3344,4445,2617,9759,1221,7998,2,27,7184,22229,3.09
63,Sunamganj,450,615,2437,8305,179,1345,4,55,3070,10320,3.36
64,Sylhet,856,1130,3472,10413,1657,8161,17,228,6002,19932,3.32
,Sylhet Division,5749,7605,11028,36678,4223,24819,133,1495,21133,70597,3.34
,GRAND TOTAL,32606,43710,243650,887923,109829,752164,18412,362461,404497,2046258,5.06
