"Division and
District/Zila","All
holdings","Non-Farm
holdings",,Number of farm holdings,,,Number of holdings,,,"Agriculture
labour
households"
,,,Total,Small,Medium,Large,Owner,"Owner-
cum-
tenant",Tenant,
1,2,3,4,5,6,7,8,9,10,11
BANGLADESH,,,,,,,,,,
TOTAL,28695763,13512580,15183183,12812372,2136415,"23439
6",18734787,6278282,3682694,8844402
RURAL,25351506,10480930,14870576,12531509,2109522,"22954
5",16784717,6137960,2428829,8732259
URBAN,3344257,3031650,312607,280863,26893,4851,1950070,140322,1253865,112143
"BARISHAL
DIVISION",,,,,,,,,,
TOTAL,1731282,554439,1176843,1001379,157501,17963,1229108,378484,123690,479713
RURAL,1626165,475303,1150862,977022,156033,17807,1159546,369058,97561,475174
URBAN,105117,79136,25981,24357,1468,156,69562,9426,26129,4539
04 BARGUNA,201929,56669,145260,116579,25174,3507,143484,43029,15416,51506
06 BARISHAL,482075,160021,322054,290408,29899,1747,333718,111015,37342,137014
09 BHOLA,347515,125084,222431,189343,29799,3289,226720,91447,29348,121414
42 JHALOKATI,133204,36588,96616,83913,12002,701,100481,27616,5107,20787
78 PATUAKHALI,323502,110123,213379,167338,38935,7106,241394,58323,23785,81990
79 PIROJPUR,243057,65954,177103,153798,21692,1613,183311,47054,12692,67002
"CHATTOGRAM
DIVISION",,,,,,,,,,
TOTAL,4883132,2367927,2515205,2234576,252688,27941,3438946,999597,444589,1270749
RURAL,4289934,1822922,2467012,2190314,249515,27183,3051140,965334,273460,1254377
URBAN,593198,545005,48193,44262,3173,758,387806,34263,171129,16372
03 BANDARBAN,63744,18321,45423,24669,17197,3557,37027,10744,15973,18945
15 CHATTOGRAM,1298834,931320,367514,334285,30888,2341,931019,165335,202480,182749
22 COX'S BAZAR,335825,187554,148271,133023,13846,1402,231437,64779,39609,95257
46 KHAGRACHHARI,116475,27142,89333,57016,27935,4382,80625,23413,12437,38147
19 CUMILLA,917743,361669,556074,524549,30530,995,622295,260054,35394,278797
30 FENI,237575,108745,128830,118497,9881,452,177160,50532,9883,49660
51 LAKSHMIPUR,332818,117388,215430,199526,14702,1202,237649,73478,21691,116937
75 NOAKHALI,544943,188734,356209,314901,36643,4665,386303,123076,35564,192996
26 DHAKA,2266479,2025027,241452,218887,20404,2161,1181671,79282,1005526,88086
33 GAZIPUR,538597,308394,230203,203566,24943,1694,337436,71397,129764,83423
56 MANIKGANJ,293977,122909,171068,148313,21244,1511,187540,82899,23538,76117
59 MUNSHIGANJ,268766,166792,101974,87905,12573,1496,190220,42816,35730,62636
67 NARAYANGANJ,532415,412936,119479,113340,5675,464,325260,49298,157857,41718
68 NARSINGDI,414892,202394,212498,199495,12481,522,301056,84159,29677,74845
29 FARIDPUR,382686,160831,221855,185951,33550,2354,252008,102208,28470,117853
35 GOPALGANJ,230494,74032,156462,124594,30035,1833,150998,68519,10977,73276
54 MADARIPUR,243774,103164,140610,122383,17203,1024,172426,55774,15574,82455
61 MYMENSINGHH,1103260,450648,652612,559053,87352,6207,745314,269020,88926,414687
82 RAJBARI,216579,86732,129847,109207,19390,1250,132918,65745,17916,75511
,,,Total,Small,Medium,Large,Owner,"Owner-
cum-
tenant",Tenant,
1,2,3,4,5,6,7,8,9,10,11
86 SHARIATPUR,225523,76916,148607,132552,15069,986,145291,54647,25585,81341
39 JAMALPUR,546075,209291,336784,291019,42649,3116,324116,163295,58664,225415
48 KISHOREGANJ,597752,289019,308733,261308,41302,6123,406914,139610,51228,224153
72 NETRAKONA,458472,175821,282651,221963,53239,7449,309405,111447,37620,203758
89 SHERPUR,335460,133775,201685,169808,29323,2554,226005,77593,31862,145549
93 TANGAIL,801637,300605,501032,442937,54569,3526,511649,232154,57834,210703
"KHULNA
DIVISION",,,,,,,,,,
