Sl. No.,Species/Group,"Inland
Fisheries","Marine
Fisheries",Total,%
1,Major Carp,875624,0,875624,19.97
2,Other Carp,116130,0,116130,2.65
3,Exotic Carp,476763,0,476761,10.87
4,Pangas (Cat Fish),458307,0,458307,10.45
5,Other Cat Fish,69636,0,69636,1.59
6,Snake Head,75147,0,75147,1.71
7,Live Fish,152242,0,152241,3.47
8,Tilapia,390559,0,390559,8.91
9,Other Inland fish,562585,0,562585,12.83
10,Hilsa/Illish (Tenualosa ilisha),242479,290316,532795,12.15
11,Shrimp/Prawn,197105,42749,239855,5.47
12,Crab (Scylla Serrata & Scylla Olivacea),12084,0,12084,0.28
13,Sarpunti (Puntius sarana),95649,0,95649,2.18
14,Sardine (Sardinella fimbriata),0,28256,28256,0.64
15,Bombay Duck (Harpondon nehereus),0,68101,68101,1.55
16,Indian Salmon (Polydactylus indicus),0,295,295,0.01
17,Pomfret (Rup/ Hail/ Foli Chanda),0,11004,11004,0.25
18,"Jew Fish (Poa, Lambu, Kaladatina etc.)",0,41600,41600,0.95
19,Sea Cat Fish (Tachysurus spp.),0,11455,11455,0.26
20,Shark/ Skate / Ray,0,4274,4274,0.10
21,Other Marine Fish,0,161861,161861,3.69
T O T A L,Metric Ton,3724310,659911,4384221,100.00
,%,84.95,15.05,100,
