"Table: 2.1.1 Area, Yield Rate and Production of Crops 2018-19 to 2020-21",,,,,,,,,
Crop,2018-19,,,2019-20,,,2020-21,,
,"Area
'000'
Acres","Per acre
Yield (Kg","Production
) '000'M.
Tons","Area
'000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons","Area
'000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons"
DRUG & NARCOTICS,,,,,,,,,
Tea,133,680,91,147,613.07,90,136,665,90
Tobacco Jati,19,706,14,20,695.88,14,20,694,14
Tobacco Matihari,57,868,49,10,711.20,7,10,707,07
Tobacco Verjinia,71,921,66,70,924.92,65,70,976,68
Total Tobacco,147,873,129,100,860.00,86,100,.89,89
Betelnut,96,3,317,97,3.61,329,115,3.82,346
Betel Leaves,54,3907,211,55,3906.44,215,56,3865,215
"Total Drugs &
Narcotics",431,1735,748,399,2323.16,719,407,1818,740
VEGETABLES (Winter),,,,,,,,,
Rabi Brinjal,82,4384,360,83,4496,373,83,4621,385
Rabi Pumpkin,43,4764,206,43,4705.21,204,44,4910,216
Cauliflower,50,5701,284,54,5219,283,56,5259,294
Cabbage,47,6828,320,55,7013,384,55,6888,380
Watergourd,47,5044,236,49,5105,251,50,5019,252
Tomato,70,5562,388,70,5897,415,73,6144,448
Radish,64,4786,308,65,4423,287,67,4693,316
Beans,52,2793,144,62,2754,170,55,3080,170
Carrot,5,3785,19,5,3906.25,21,06,4805,28
Palongsak,24,2434,58,28,2442,59,25,2454,61
Lalsak,29,2278,67,31,1996,61,32,2062,65
Lausak,16,1660,27,17,1849,31,18,1848,32
Shallgam,3,2534,8,3,2701.80,9,03,2747,09
Uthche,15,1898,30,14,1951.40,28,14,2012,29
"Other winter
vegetables",-,-,-,-,-,-,.098,2.56,.202
"Total Winter
Vegetables",547,451,2465,575,448,2576,581,462,2.685
VEGETABLES (Summer),,,,,,,,,
Kakrol,13,1923,24,13,2476,32,14,2504,34
"Pumpkin, Kharif",28,429,114,34,4019,136,30,4692,140
"Brinjal, Kharif",47,3605,170,49,3766,185,49,4109,202
