"Sl.
No.",District,Extensive,,Semi-intensive,,Intensive,,"Highly
Intensive",,Total,,
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,4> - 10 MT/Ha,,10.0> MT/Ha,,,,
,,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,MT/Ha
1,Dhaka,0,0,1601,6110,306,2490,15,245,1922,8845,4.60
2,Faridpur,68,94,2127,7582,1655,11469,126,1762,3976,20907,5.26
3,Gazipur,53,75,2249,8096,1438,12788,362,5531,4102,26490,6.46
4,Gopalgonj,680,1008,1756,6829,1371,8856,10,103,3817,16796,4.40
6,Kishorgonj,269,367,2881,11432,1661,12654,167,2166,4978,26619,5.35
6,Madaripur,189,267,2010,6436,588,4608,159,1855,2946,13166,4.47
7,Manikgonj,346,512,1620,6407,610,5806,20,295,2596,13020,5.02
8,Munshigonj,182,269,1797,7159,245,2335,0,0,2224,9763,4.39
9,Narayangonj,0,0,1336,4205,768,6030,0,0,2104,10235,4.86
10,Narsingdi,77,114,1214,3918,907,8032,655,11336,2853,23400,8.20
11,Rajbari,128,185,2630,10066,943,4975,0,0,3701,15226,4.11
12,Shariatpur,27,39,1779,7018,823,7050,0,0,2629,14107,5.37
13,Tangail,4,6,3131,8615,4410,28291,231,2812,7776,39724,5.11
,Dhaka Div.,2023,2936,26131,93873,15725,115384,1745,26105,45624,238298,5.22
14,Jamalpur,39,41,2062,7787,1317,9022,104,1363,3522,18213,5.17
15,Mymensingh,668,854,7006,23211,"1184
6",87987,9660,"20784
2",29180,319894,10.96
16,Netrokona,427,625,5250,20845,2408,18011,36,455,8121,39936,4.92
17,Sherpur,50,71,2382,7791,1494,8300,615,6729,4541,22891,5.04
,"Mymensingh
Div",1184,1591,16700,59634,17065,123320,10415,216389,45364,400934,8.84
18,Bagerhat,1708,2529,3487,13803,150,1399,0,0,5345,17731,3.32
19,Chuadanga,15,18,1059,3364,1157,8115,0,0,2231,11497,5.15
20,Jashore,88,129,9637,38115,5712,54270,2275,39957,17712,132471,7.48
21,Jhinaidah,22,30,2643,10300,2517,16959,0,0,5182,27289,5.27
22,Khulna,191,278,3862,11997,856,5121,0,0,4909,17396,3.54
23,Kushtia,0,0,2608,10381,1913,13056,7,77,4528,23514,5.19
24,Magura,13,18,1964,7548,345,3252,0,0,2322,10818,4.66
25,Meherpur,0,0,1354,5242,218,1817,0,0,1572,7059,4.49
26,Narail,59,83,646,2456,394,2447,0,0,1099,4986,4.54
27,Satkhira,6606,8244,4267,10317,1813,16299,438,5027,13124,39887,3.04
,Khulna Div.,8702,11329,31527,113523,15075,122735,2720,45061,58024,292648,5.04
28,Barguna,476,698,1937,6655,28,228,0,0,2441,7581,3.11
29,Barishal,895,905,6238,23411,2629,13441,60,632,9822,38389,3.91
30,Bhola,330,459,2015,6595,5606,30829,26,335,7977,38218,4.79
31,Jhalokathi,6,8,937,3454,235,1097,0,0,1178,4559,3.87
32,Patuakhali,1216,1758,6882,22324,175,1113,0,0,8273,25195,3.05
33,Pirojpur,760,1075,1950,5812,302,2015,0,0,3012,8902,2.96
,Barishal Div.,3683,4903,19959,68251,8975,48723,86,967,32703,122844,3.76
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,4> - 10 MT/Ha,,10.0> MT/Ha,,,,
,,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,MT/Ha
34,Dinajpur,8,12,5182,19508,4152,25574,378,4479,9720,49573,5.10
35,Gaibandha,0,0,5192,20654,639,5230,,0,5831,25884,4.44
36,Kurigram,155,230,3250,12463,1005,6830,130,1432,4540,20955,4.62
37,Lalmonirhat,0,0,2715,10816,543,3125,21,235,3279,14176,4.32
38,Nilphamari,0,0,1911,7405,2307,11725,91,1094,4309,20224,4.69
39,Panchagarhh,0,0,2035,7030,1011,5004,172,1879,3218,13913,4.32
40,Rangpur,0,0,4588,17738,1834,13197,6,68,6428,31003,4.82
41,Thakurgaon,0,0,3768,14794,1432,8375,194,2343,5394,25512,4.73
,Rangpur Div.,163,242,28641,110408,12923,79060,992,11530,42719,201240,4.71
42,Bogura,414,611,9502,37805,3699,32988,753,16836,14368,88240,6.14
43,C.Nawabganj,0,0,2376,8609,756,4411,0,0,3132,13020,4.16
44,Joypurhat,0,0,2105,7281,2529,16104,0,0,4634,23385,5.05
45,Naogaon,0,0,9583,35807,3149,21440,118,1368,12850,58615,4.56
46,Natore,0,0,5298,21014,2756,23298,243,3727,8297,48039,5.79
47,Pabna,0,0,8510,32572,2007,13358,29,332,10546,46262,4.39
48,Rajshahi,0,0,4583,16697,7620,42896,365,3806,12568,63399,5.04
49,Sirajganj,67,79,2996,11937,2291,14077,0,0,5354,26093,4.87
,Rajshahi Div.,481,690,44953,171722,24807,168572,1508,26069,71749,367053,5.12
50,Bandarban,110,152,326,795,82,419,0,0,518,1366,2.64
51,B.Baria,72,103,4294,17106,2431,18245,61,1015,6858,36469,5.32
52,Chandpur,174,246,6375,22872,2872,14798,0,0,9421,37916,4.02
53,Chattogram,6450,9151,12915,46200,1775,10160,80,1004,21220,66515,3.13
54,Cumilla,1445,2055,12548,48687,7529,66996,1111,20970,22633,138708,6.13
55,Cox’s Bazar,70,95,1207,4320,61,335,5,61,1343,4811,3.58
56,Feni,305,438,4048,15501,1040,8422,43,580,5436,24941,4.59
57,Khagrachari,141,201,806,2103,93,615,0,0,1040,2919,2.81
58,Lakshmipur,239,329,6027,21470,1869,9744,0,0,8135,31543,3.88
59,Noakhali,948,1319,11722,44141,455,3953,0,0,13125,49413,3.76
60,Rangamati,78,112,397,989,9,59,0,0,484,1160,2.40
,Ctg Div.,10032,14201,60665,224184,18216,133746,1300,23630,90213,395761,4.39
61,Habiganj,1075,1515,2551,8588,1175,7373,108,1166,4909,18642,3.80
62,Moulov.Bazar,3338,4152,2615,9957,1232,8412,2,27,7187,22548,3.14
63,Sunamgonj,489,702,2437,8503,179,1387,4,58,3109,10650,3.43
64,Sylhet,1024,1344,3407,9713,1576,8897,17,215,6024,20169,3.35
,Sylhet Div.,5926,7713,11010,36761,4162,26069,131,1466,21229,72009,3.39
,Grand Total,32194,43605,239586,878356,116948,817609,18897,351217,407625,2090787,5.13
