,Table: 4.2.5 Damage Report of different Crops of Cyclone (Amphan) during the Month of May 2020.,,,,,,,,,,
,Name of crop and,,"Area
Under
Crops
(Acre)","Partially
damage
(Acre)","Percentag
e of partial
damage",Area in terms of damage (Acre),,,"Yield per
acre(kg)","Production
Loss in
(Metric
Ton)",
,district,,,,,"Area in terms
of full damage
(caused by
partial
damage",Fully,"Total area
damaged
(Acres)(C
ol.5+6)",,,
1,,,2,3,4,5,6,7,8,9,
Boro,,,,,,,,,,,
,Jhalokathi,,20839,756,0.04,30,0,30,2438,74,
,Rajbari,,151956,1225,24.93,175,18,99,17597,556,
,Chuadanga,,61470,5329,2.68,1650,0,1650,2920,4285,
,Jhenaidah,,196089,3876,13.91,486,218,676,2355,1610,
,Kustia,,45041,14420,0.06,865,0,865,2607,2255,
,Narail,,86953,2384,2.74,427,0,427,2642,861,
,Pabna,,52,3,4.00,81,6,7,1286,9,
,Dinajpur,,178622,7358,4.17,447,0,447,2160,966,
,Bangladesh,,741022,35351,11.77,4161,242,4200,34005,10615,
Maize,,,,,,,,,,,
Noakhali,,,63,13,4.00,3,7,3,400,5,
Khulna,,,93,35,36.72,13,50,6,5015,28,
Kustia,,,0,15656,120.50,0,12050,0,1205,4453,
Naogaon,,,97,41,42.27,41,83,41,2239,7,
Dinajpur,,,55513,890,1.60,44,46,44,3242,453,
Bangladesh,,,55765,16634,0.60,100,12235,93,12101,4947,
Jute,,,,,,,,,,,
Chattogram,,,1078,710,65.35,464,246,710,3250,1254,
Rajbari,,,126254,916,12.04,110,6,112,814,674,
Jashore,,,36277,12970,7.63,990,55,1045,955,998,
Jhenaidah,,,43378,16845,19.12,3221,741,4385,1068,3622,
Khulna,,,1950,722,26.13,189,0,189,889,137,
Kustia,,,31213,4351,6.00,261,0,261,1083,283,
Narail,,,52545,2574,13.65,351,0,351,3850,1775,
Satkhira,,,23589,9546,0.14,13,3205,24303,9835,5,
Pabna,,,39041,1505,6.57,99,0,99,990,95,
Bangladesh,,,355325,50138,11.37,5698,4253,31455,22734,8842,
Banana,,,,,,,,,,,
Barishal,,,495,27,37.04,10,0,10,3477,35,
Jhalojathi,,,2904,221,3.50,8,0,8,2881,22,
Bagerhat,,,110,80,30.00,24,0,24,5500,132,
Chuadanga,,,3285,1462,46.42,679,0,679,4316,6676,
Jashore,,,1287,849,65.89,559,169,728,6534,4757,
Jhenaidah,,,9035,3995,51.45,2055,806,2861,6711,19720,
Khulna,,,952,545,40.64,221,42,264,19260,5091,
Kustia,,,4467,2658,17.01,452,0,452,7020,3173,
Magura,,,1718,625,42.55,266,16,282,11108,3136,
Meherpur,,,2672,722,28.08,203,164,367,14996,4086,
Narail,,,499,40,50.00,20,0,20,6691,134,
Naogaon,,,521,151,12.49,19,0,19,13536,182,
Pabna,,,895,502,2.59,13,0,13,469,92,
Bangladesh,,,28730,11877,0.38,4529,1197,5727,96999,47235,
,Name of crop and,,"Area
Under
Crops
(Acre)","Partially
damage
(Acre)","Percentag
e of partial
damage",Area in terms of damage (Acre),,,"Yield per
acre(kg)","Production
Loss in
(Metric
Ton)",
,district,,,,,"Area in terms
of full damage
(caused by
partial
damage",Fully,"Total area
damaged
(Acres)(C
ol.5+6)",,,
1,,,2,3,4,5,6,7,8,9,
Cucumber,,,,,,,,,,,
Jashore,,,422,152,34.46,52,0,52,7827,410,
Jhenaidah,,,252,147,60.05,88,0,88,339,30,
Bangladesh,,,674,299,47.04,141,0,141,8166,440,
Karala,,,,,,,,,,,
Brahmmanbaria,,,154,5,10.00,0,0,0,18593,1,
Jashore,,,937,442,50.76,224,1,225,3002,676,
Jhenaidah,,,478,182,29.13,53,0,53,5076,269,
Khulna,,,102,52,27.31,14,0,14,1200,17,
Naogaon,,,75,12,15.00,2,0,2,7284,29,
Sirajgonj,,,190,54,10.89,6,18,24,1789,50,
