Year,Insecticide,,,,miticide,Fungicide,,Herbicide,Rodenticide,Total
,Granular,,Liquid,Powder,,General,Sulphur,,,
Year 2015,,,,,,,,,,
January-March,4863.59,1588.91,,395.26,38.87,1896.36,5253.75,1944.64,34.90,16016.28
April-June,1215.90,397.22,,98.81,9.90,474.10,1315.00,486.16,8.93,4006.02
July-September,1519.87,496.53,,123.52,12.50,592.61,1642.70,607.70,11.22,5006.65
October-December,2533.12,827.55,,205.86,22.01,987.68,2733.86,1012.83,19.74,8342.65
Total,10132.48,3310.21,,823.45,83.28,3950.75,10945.31,4051.33,74.79,33371.60
Year 2016,,,,,,,,,,
January-March,"4,863.59","1,588.19",,395.26,38.87,"1,896.36","5,253.75","1,944.64",34.90,"16,016.28"
April-June,"1,215.90",397.22,,98.81,9.90,474.10,"1,315.00",486.16,8.93,"4,006.02"
July-September,"1,519.87",496.53,,123.52,12.50,592.61,"1,642.70",607.70,11.22,"5,006.65"
October-December,"2,533.12",827.55,,205.86,22.01,987.68,"2,733.86","1,012.83",19.74,"8,342.65"
Total,"10,132.48","3,310.21",,823.45,83.28,"3,950.75","10,945,31","4,015.33",74.79,"33,371.60"
Year 2017,,,,,,,,,,
January-March,2980.68,1176.97,,308.80,30.70,1440.10,3170.65,1514.80,21.70,10644.40
April-June,1823.64,7086.60,,206.40,20.50,960.40,2113.10,1010.80,14.50,6934.94
July-September,1807.80,7069.70,,207.58,21.40,962.30,2106.45,1008.50,13.85,6897.58
October-December,2983.48,1190.97,,304.50,29.93,1437.55,3175.25,1515.28,22.40,10659.36
Total,9595.60,3923.24,,1027.28,102.53,4800.35,10565.45,5049.38,72.45,35136.28
