Sectors of Fisheries,2019-20,,,2018-19,,,"Productio
n
Increased
(MT)","Growth
Rate
(%)"
,"Water
Area
(Ha)","Production
(MT)","Produc-
tivity
(Kg/ Ha)","Water
Area (Ha)","Produc-
tion
(MT)","Produc-
tivity
(Kg/ Ha)",,
1,2,3,4,5,6,7,8,9
"A. Inland Open Water
(Capture)",3866091,1248401,323,3890282,1235709,318,12692,1.03
1. River and Estuary,853863,331793,389,853863,325478,381,6315,1.94
2. Sundarbans,177700,21007,118,177700,18282,103,2725,14.91
3. Beel,114161,103104,903,114161,99890,875,3214,3.22
(a) Natural,99462,86140,866,99391,83596,841,2544,3.04
(b) Beel Nursery,14699,16964,1154,14770,16294,1103,670,4.11
4. Kaptai Lake,68800,12696,185,68800,10578,154,2118,20.02
5. Floodplain,2651567,779801,294,2675758,781481,292,-1680,-0.22
(a) Subsistence Fisheries,2317175,629615,272,2317175,623607,269,6008,0.96
(b) Fry Released Program,82675.60,38406.7,465,107346,48994,456,-10587,-21.61
(c) Haor,251717,111779,444,251237,108880,433,2899,2.66
"B. Inland Close Water
(Culture)",836796,2583866,3088,821923,2488601,3028,95265,3.83
6. Pond,404497,2046258,5059,397775,1974632,4964,71626,3.63
"7. Seasonal cultured
waterbody",151942,225948,1487,144217,217340,1507,8608,3.96
"(a) Paddy Field/
Floodplain",137222,200304,1460,129979,192793,1483,7511,3.90
(b) Borrow pit,14720,25644,1742,14238,24547,1724,1097,4.47
8. Baor,5671,10969,1934,5671,10343,1824,626,6.05
9. Shrimp/Prawn Farm,257888,270114,1047,258553,258039,998,12075,4.68
"(a) Shrimp/Prawn
Production",-,127601,495,-,125110,-,2491,1.99
(b) Fish Production,-,142513,-,-,132929,-,9584,7.21
(c) Crab Production,9535,12562,1317,9377,12084,1289,478,3.96
10. Pen Culture,7263,13425,1848,6330,12361,1953,1064,8.61
11. Cage Culture,"1.79 lakh
cum",4590,"26 kg/
cum","1.76 lakh
cu. meter",3802,22kg/cum,788,20.73
C. Marine Fisheries,-,671104,-,-,659911,-,11193,1.70
12. Industrial,-,115354,-,-,107236,-,8118,7.57
13. Artisanal,-,555750,-,-,552675,-,3075,0.56
Total Fish Production,-,4503370,-,-,4384221,-,119149,2.72
Production of Selected Species,,,,,,,,
Hilsa Production (MT),-,550428,-,-,532795,-,17633,3.31
(a) River,-,244972,-,-,241817,-,3155,1.30
(b) Sundarbans,-,890,-,-,662,-,228,34.44
(c) Marine,-,304566,-,-,290316,-,14250,4.91
"Shrimp/Prawn Production
(MT)",-,241281,-,-,239855,-,1426,0.59
(a) Shrimp/Prawn Farm,-,127601,-,-,125110,-,2491,1.99
(b) Other Sources,-,70864,-,-,71996,-,-1132,-1.57
(c) Marine,-,42816,-,-,42749,-,67,0.16
