District name,October-2019,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,421,264
Khagrachari,350,200,0,0,0,0,373,258
Rangamati,369,281,319,231,0,0,425,317
Chattogram,483,357,462,350,450,300,500,370
Coxbazar,500,338,460,331,367,300,520,375
Cumilla,430,360,406,340,363,325,442,417
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,350,300,330,300,260,227,398,300
Noakhali,455,0,433,0,420,0,507,0
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,0,0,598,0,480,0
Chattogram Division,420,306,402,310,410,288,439,329
Sylhet,388,300,372,280,0,0,415,350
Moulvibazar,384,312,370,300,0,0,413,341
Sunamganj,400,355,0,0,0,0,427,377
Habiganj,425,300,0,0,0,0,381,315
Sylhet Division,399,317,371,290,0,0,409,346
Dhaka,455,0,445,0,400,0,475,360
Gazipur,412,345,0,0,379,298,482,352
Manikganj,460,350,435,0,410,0,480,365
Munshiganj,0,300,0,250,373,0,439,0
Narayanganj,465,405,437,360,395,330,480,425
Narsingdi,0,0,375,250,324,0,455,300
Faridpur,394,0,0,0,450,0,453,0
Rajbari,400,350,367,300,317,300,480,400
Madaripur,416,300,0,0,375,250,450,350
Gopalganj,480,0,464,0,459,0,500,355
Shariatpur,320,250,0,0,0,0,360,294
Tangail,300,0,373,0,400,0,451,400
Kishoreganj,0,0,378,0,355,0,424,0
Dhaka Division,410,329,409,290,386,295,456,360
Mymensingh,349,0,385,0,416,0,425,0
Jamalpur,420,0,407,0,378,0,458,0
Sherpur,445,0,424,0,400,0,467,0
Netrokona,433,220,386,200,347,0,455,255
Mymensingh Division,412,220,401,200,385,0,451,255
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,426,0,400,0,0,0,468,0
Jhalokathi,460,0,0,0,0,0,493,0
Perojpur,478,450,468,375,375,350,520,425
Bhola,433,0,367,0,0,0,464,0
Patuakhali,413,0,0,0,0,0,442,0
Barguna,514,0,500,0,0,0,525,0
Barishal Division,454,450,434,375,375,350,485,425
Jashore,0,0,0,0,0,0,274,185
Jhenaidah,284,220,270,210,299,200,295,230
Magura,308,0,255,0,236,0,351,0
Narail,330,0,0,0,315,0,333,330
Khulna,0,0,0,0,0,0,462,352
Bagerhat,317,300,312,290,325,275,361,320
Satkhira,0,0,0,0,0,0,312,234
Kushtia,342,0,330,0,300,0,393,0
Chuadanga,245,0,0,0,0,0,280,0
Meherpur,250,0,0,0,0,0,280,0
Khulna Division,297,260,292,250,295,238,334,275
Rajshahi,365,289,350,250,336,0,390,300
Naogaon,330,270,313,250,300,225,350,253
Natore,309,223,0,0,0,0,348,245
Chapai Nawabganj,312,250,300,235,290,225,345,270
Bogra,367,0,350,0,316,0,275,0
Joypurhat,350,250,0,0,330,230,385,280
Pabna,385,315,350,300,0,0,400,330
Sirajganj,0,0,0,0,0,0,348,300
Rajshahi Division,345,266,333,259,314,227,355,283
Rangpur,320,200,0,0,0,0,323,239
Gaibandha,0,0,0,0,0,0,286,225
Kurigram,310,210,0,0,0,0,296,230
Nilphamari,346,235,0,0,0,0,323,219
Lalmonirhat,337,268,294,260,0,0,350,280
Dinajpur,350,237,325,220,305,0,360,250
Thakurgaon,323,260,0,0,0,0,334,270
Panchagarh,326,223,0,0,0,0,350,243
Rangpur Division,330,233,310,240,305,0,328,245
BANGLADESH,381,289,377,280,364,270,407,308
