,,,,,,,(Area in acres),
"Division and
District/Zila","Owned
area","Operated
area","Homestead
area","Net
cultivated
area","Temporary
crops net
area","Irrigated
area","Temporary
crops gross
area","Intensity
of
cropping
(%)"
1,2,3,4,5,6,7,8,9
BANGLADESH,,,,,,,,
TOTAL,22755331,23505192,2166302,19097544,17671319,11981329,30485315,173
RURAL,21623783,22944236,1995702,18815381,17443075,11845974,30120545,173
URBAN,1131547,560956,170600,282163,228244,135355,364769,160
BARISHAL DIVISION,,,,,,,,
TOTAL,1586893,1664158,114212,1387956,1179381,199888,2102648,178
RURAL,1534586,1639222,108760,1371997,1169326,197063,2085746,178
URBAN,52306,24936,5452,15959,10055,2825,16901,168
04 BARGUNA,231438,242531,16196,206067,183023,14623,332744,182
06 BARISHAL,367715,368840,31617,296837,248349,86932,424748,171
09 BHOLA,276200,327946,20788,270793,228162,63131,473649,208
42 JHALOKATI,120723,118229,8146,99282,78126,8727,132164,169
78 PATUAKHALI,375633,388411,23196,329151,305077,7537,543849,178
79 PIROJPUR,215184,218202,14270,185827,136644,18938,195494,143
CHATTOGRAM DIVISION,,,,,,,,
TOTAL,3220956,3389542,377827,2595144,2179799,1167403,3591552,165
RURAL,3083529,3304676,347676,2556892,2155767,1156499,3557732,165
URBAN,137427,84866,30151,38252,24032,10904,33819,141
03 BANDARBAN,134371,154931,8821,125650,74974,18090,151692,202
15 CHATTOGRAM,504104,499654,89722,338706,304050,126107,496625,163
22 COX'S BAZAR,180261,200648,33225,144392,131159,68542,198317,151
46 KHAGRACHHARI,233520,236136,12019,185004,89332,31162,135462,152
84 RANGAMATI,256970,273561,12044,223159,124418,39051,198442,160
12 BRAHMANBARIA,347508,350131,34615,293292,287908,211230,389934,135
13 CHANDPUR,232159,236673,31443,174380,153288,106885,255522,167
19 CUMILLA,565335,576216,68783,444132,425431,339925,750928,177
30 FENI,149420,152125,20226,108794,100169,56263,161284,161
51 LAKSHMIPUR,197862,218642,20981,173263,136922,43936,274664,201
