District name,September-2019,,,,,,,
,With Food,,,,,,"Without Food
(in TK)",
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,400,250
Khagrachari,350,200,0,0,0,0,370,250
Rangamati,343,281,294,232,0,0,422,318
Chattogram,500,338,480,331,455,300,520,375
Coxbazar,500,338,462,331,455,300,520,375
Cumilla,463,350,400,335,390,320,477,380
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,380,275,354,0,260,226,405,288
Noakhali,419,0,400,0,380,0,517,0
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,515,0,490,0,570,0
Chattogram Division,422,297,415,307,405,287,451,319
Sylhet,383,300,366,280,0,0,406,350
Moulvibazar,400,260,380,315,0,0,415,317
Sunamganj,439,389,0,0,0,0,409,359
Habiganj,433,0,0,0,0,0,406,317
Sylhet Division,414,316,373,298,0,0,409,336
Dhaka,450,0,440,0,400,0,467,400
Gazipur,412,345,0,0,370,285,469,360
Manikganj,450,350,430,0,415,0,475,355
Munshiganj,500,350,0,0,476,0,512,365
Narayanganj,425,350,400,330,390,325,465,400
Narsingdi,0,0,450,300,442,0,475,350
Faridpur,400,300,360,0,0,0,450,0
Rajbari,413,350,367,300,317,300,516,400
Madaripur,335,300,0,0,316,225,375,283
Gopalganj,458,0,445,0,440,0,467,316
Shariatpur,300,200,0,0,0,0,352,285
Tangail,394,0,373,0,365,0,451,400
Kishoreganj,0,0,400,0,383,0,463,0
Dhaka Division,412,318,407,310,392,284,457,356
Mymensingh,420,0,390,0,370,0,469,0
Jamalpur,410,280,395,240,375,225,443,290
Sherpur,394,0,367,0,415,0,425,0
Netrokona,390,300,375,280,0,0,420,325
Mymensingh Division,404,290,382,260,387,225,439,308
,With Food,,,,,,"Without Food
(in TK)",
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,430,0,415,0,0,0,482,0
Jhalokathi,480,0,0,0,0,0,493,0
Perojpur,478,450,468,400,375,350,520,500
Bhola,414,0,311,0,0,0,430,0
Patuakhali,413,0,0,0,0,0,442,0
Barguna,520,0,500,0,0,0,530,0
Barishal Division,456,450,424,400,375,350,483,500
Jashore,0,0,0,0,0,0,274,225
Jhenaidah,342,233,332,230,320,233,363,260
Magura,431,0,380,0,357,0,481,0
Narail,324,0,0,0,300,0,336,327
Khulna,0,0,0,0,0,0,488,377
Bagerhat,350,300,325,290,315,285,366,315
Satkhira,0,0,0,0,0,0,291,199
Kushtia,340,0,330,0,290,0,393,0
Chuadanga,312,0,0,0,0,0,330,0
Meherpur,300,0,0,0,0,0,327,0
Khulna Division,343,267,342,260,316,259,365,284
Rajshahi,368,299,356,250,0,0,374,300
Naogaon,345,296,318,261,300,250,360,315
Natore,309,223,0,0,0,0,348,245
Chapai Nawabganj,309,267,300,260,290,250,350,267
Bogra,0,0,0,0,349,248,425,300
Joypurhat,320,250,0,0,300,240,360,280
Pabna,420,315,400,300,0,0,430,325
Sirajganj,0,0,0,0,0,0,322,300
Rajshahi Division,345,275,344,268,310,247,371,292
Rangpur,325,215,0,0,0,0,335,263
Gaibandha,0,0,0,0,0,0,287,185
Kurigram,305,240,0,0,0,0,295,233
Nilphamari,310,226,0,0,0,0,340,235
Lalmonirhat,304,270,295,214,0,0,322,275
Dinajpur,307,225,275,220,0,0,335,263
Thakurgaon,310,250,0,0,0,0,296,260
Panchagarh,305,239,0,0,0,0,317,250
Rangpur Division,309,238,285,217,0,0,316,246
BANGLADESH,390,292,389,289,371,275,417,314
