District name,December-2019,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,436,257
Khagrachari,380,254,0,0,0,0,402,270
Rangamati,325,238,275,230,0,0,375,283
Chattogram,470,357,466,350,450,300,536,370
Coxbazar,500,338,460,331,450,250,590,375
Cumilla,414,367,407,350,400,280,412,367
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,388,325,425,400,353,224,444,337
Noakhali,453,0,450,0,440,0,475,0
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,0,0,510,0,530,0
Chattogram Division,419,313,414,332,434,264,451,323
Sylhet,408,330,381,280,0,0,423,350
Moulvibazar,386,316,362,316,0,0,407,334
Sunamganj,472,422,0,0,0,0,445,395
Habiganj,314,0,0,0,0,0,355,283
Sylhet Division,395,356,372,298,0,0,408,341
Dhaka,471,0,420,0,450,0,474,430
Gazipur,465,398,0,0,383,325,485,400
Manikganj,410,252,394,250,365,245,440,278
Munshiganj,400,300,0,0,397,0,445,333
Narayanganj,435,388,430,362,390,325,468,400
Narsingdi,0,0,333,275,320,0,342,300
Faridpur,450,0,0,0,402,0,461,0
Rajbari,400,350,367,300,317,300,450,400
Madaripur,350,300,0,0,300,0,420,333
Gopalganj,415,0,400,0,390,0,435,250
Shariatpur,345,245,0,0,0,0,360,262
Tangail,445,0,392,0,365,0,433,300
Kishoreganj,0,0,412,0,386,0,473,412
Dhaka Division,417,319,394,297,372,299,437,342
Mymensingh,400,0,390,0,370,0,416,0
Jamalpur,468,0,418,0,394,0,472,0
Sherpur,440,0,420,0,416,0,448,0
Netrokona,433,0,387,0,350,0,458,361
Mymensingh Division,435,0,404,0,383,0,449,361
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,450,0,400,0,0,0,500,0
Jhalokathi,450,0,0,0,0,0,480,0
Perojpur,440,400,0,0,0,0,470,450
Bhola,440,0,0,0,0,0,460,0
Patuakhali,420,0,0,0,0,0,450,0
Barguna,425,0,0,0,0,0,450,0
Barishal Division,438,400,400,0,0,0,468,450
Jashore,0,0,0,0,0,0,288,213
Jhenaidah,341,249,337,240,320,230,378,262
Magura,369,0,342,0,304,0,403,0
Narail,335,0,0,0,325,0,345,335
Khulna,0,0,0,0,0,0,528,422
Bagerhat,430,350,415,320,400,300,444,465
Satkhira,0,0,0,0,0,0,310,209
Kushtia,348,0,330,0,300,0,406,0
Chuadanga,250,0,0,0,0,0,280,0
Meherpur,267,0,0,0,0,0,300,0
Khulna Division,334,300,356,280,330,265,368,318
Rajshahi,360,288,352,275,340,0,374,288
Naogaon,371,293,351,275,322,241,380,308
Natore,320,242,300,220,280,210,332,254
Chapai Nawabganj,309,250,300,240,280,230,320,257
Bogra,415,0,348,0,325,250,425,0
Joypurhat,300,250,0,0,285,260,335,305
Pabna,497,343,475,335,0,0,505,360
Sirajganj,0,0,0,0,0,0,354,0
Rajshahi Division,367,278,354,269,305,238,378,295
Rangpur,380,240,0,0,0,0,345,228
Gaibandha,0,0,0,0,0,0,324,275
Kurigram,330,210,0,0,0,0,327,250
Nilphamari,379,250,0,0,0,0,345,229
Lalmonirhat,,,,,,,,
Dinajpur,367,292,327,270,300,0,384,298
Thakurgaon,331,278,0,0,0,0,318,263
Panchagarh,353,248,0,0,0,0,327,226
Rangpur Division,357,253,327,270,300,0,339,253
BANGLADESH,395,302,383,296,364,265,412,318
