District name,July-2019,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,386,236
Khagrachari,340,210,0,0,0,0,389,254
Rangamati,344,281,294,231,0,0,420,317
Chattogram,455,350,445,340,440,330,527,370
Coxbazar,500,350,462,330,367,280,550,400
Cumilla,387,350,375,340,365,330,405,346
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,336,267,297,0,0,0,385,291
Noakhali,500,0,470,0,450,0,519,0
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,0,0,450,0,480,0
Chattogram Division,409,301,391,310,414,313,438,316
Sylhet,393,350,389,279,320,0,403,360
Moulvibazar,400,334,391,257,0,0,431,338
Sunamganj,451,401,0,0,0,0,431,338
Habiganj,279,0,0,0,0,0,331,0
Sylhet Division,381,362,390,268,320,0,399,345
Dhaka,468,350,460,340,450,330,485,400
Gazipur,537,391,0,0,426,293,527,407
Manikganj,438,300,393,250,364,200,459,350
Munshiganj,0,0,490,0,475,0,406,250
Narayanganj,400,350,375,335,365,325,481,416
Narsingdi,0,0,412,275,345,0,464,350
Faridpur,400,0,388,370,380,0,460,0
Rajbari,413,350,367,330,317,320,470,400
Madaripur,450,300,0,0,416,250,475,350
Gopalganj,405,0,390,0,380,0,443,295
Shariatpur,300,250,0,0,0,0,321,288
Tangail,421,0,373,0,355,0,423,350
Kishoreganj,0,0,400,0,374,0,467,0
Dhaka Division,423,327,405,317,387,286,452,351
Mymensingh,400,0,380,0,350,0,450,0
Jamalpur,400,300,380,272,375,260,473,335
Sherpur,423,0,387,0,372,0,453,0
Netrokona,386,300,347,285,350,0,455,350
Mymensingh Division,402,300,374,279,362,260,458,343
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,449,0,412,0,0,0,478,0
Jhalokathi,470,0,0,0,0,0,525,0
Perojpur,477,400,465,350,400,300,560,450
Bhola,484,0,0,0,0,0,500,0
Patuakhali,420,0,0,0,0,0,480,0
Barguna,502,0,485,0,0,0,510,0
Barishal Division,467,400,454,350,400,300,509,450
Jashore,0,0,0,0,0,0,285,230
Jhenaidah,330,239,319,230,318,225,374,268
Magura,387,0,279,0,334,0,445,0
Narail,300,0,0,0,290,0,334,275
Khulna,0,0,0,0,0,0,495,416
Bagerhat,537,350,525,340,510,330,545,400
Satkhira,0,0,0,0,0,0,298,230
Kushtia,338,0,320,0,280,0,392,0
Chuadanga,312,0,0,,0,0,330,0
Meherpur,316,0,0,0,0,0,367,0
Khulna Division,360,295,361,285,346,278,387,303
Rajshahi,351,255,339,250,0,0,357,268
Naogaon,362,312,343,284,332,270,359,325
Natore,309,222,0,0,0,0,347,245
Chapai Nawabganj,340,300,330,285,325,275,341,317
Bogra,0,0,0,0,330,230,390,255
Joypurhat,300,250,0,0,270,240,310,260
Pabna,427,312,413,241,328,0,437,335
Sirajganj,0,0,0,0,0,0,325,250
Rajshahi Division,348,275,356,265,317,254,358,282
Rangpur,325,215,0,0,0,0,360,240
Gaibandha,0,0,0,0,0,0,300,238
Kurigram,325,225,0,0,0,0,323,200
Nilphamari,343,226,0,0,0,0,319,235
Lalmonirhat,337,220,0,0,0,0,339,230
Dinajpur,352,262,0,0,0,0,364,300
Thakurgaon,323,266,0,0,0,0,325,275
Panchagarh,365,263,0,0,0,0,340,285
Rangpur Division,339,240,0,0,0,0,334,250
BANGLADESH,392,297,391,296,371,285,416,313
