"Sl.
No.",Soil type unit,Characteristics,"Places of occurrence
(Upazila or parts thereof)"
1.,"Non-calcareous
Alluvium.","Recent Tista, Brahmaputra and
Jamuna alluvium. Mainly unstable
char land.","Mymensingh: Nagarpur, Tangail, Kalihati,
Gopalpur, Sarishabari, Madargonj, Melandah,
Islampur and Dewangonj.
Rangpur: Raumari, Nageswari, Bhurungamari,
Kurigram, Ulipur, Chilmari, Gaibandah and
Phulchari.
Bogura: Saria Kandi and Dhunot.
Pabna: Kazipur, Sirajgonj, Kamarkhonda,
Belkuchi, Chauhali, Shahzadpur and Bera."
2.,Calcareous Alluvium.,"Recent Ganges and lower Meghna
alluvium. Part unstable char land.
Part saline in the Meghna estuary.","Faridpur: Char Bhadrashan and Sadarpur.
Noakhali: Sudharam, Hatiya, Ramgati and
Sonagazi.
Chattogram: Sandwip"
3.,Acid Sulphate Soils.,"Sundarbans (mangrove swamp)
soils with extremely high acidity
(potential or actual) tidally flooded
with blackish or saline water for part
or all the year.",Khulna: Dacope and Sarankhola.
4.,Peat.,"Permanently wet basin peat and
muck, part with alluvial topsoil.","Faridpur: Mukusudpur, Gopalganj, Kotalipara,
Kasiani, Rajoir and Madaripur.
Sylhet: Daulatpur, Fultala, Terokheda,
Dumuria and Mollahat.
Bakerganj: Nazirpur.
Jashore: Abhoynagar, Salika and Kalia."
5.,Grey Floodplain Soils.,"Grey, finely mottled brown,
seasonally flooded soils with
seasonally acid top-soil and near
neutral subsoils.","Dhaka: Keraniganj, Chapinawabgonj, Kaliganj,
Dhamrai, Munshiganj, Gazaria, Manikganj,
Saturia, Singair, Daulatpur, Gheor,
Narayangonj, Futullah and Raipura.
Mymensingh: Sarishabari, Madargonj,
Tangail, Kalihati and Nagarpur.
Cumilla: Homna, Chandpur, Matlabbazar and
Bancharampur."
6.,"Grey Floodplain Soils
and Non-Calcareous
brown floodplain soils.","Seasonally wet or shallowly flooded
Grey Floodplain soils on lower
ridges and in depressions with
moderately well-drained, rather acid,
brown loams on higher ridges.","Mymensingh: Kotwali, Islampur, Ishwargonj,
Gouripur and Jamalpur.
Dinajpur: Chirirbandar, Fulbari and
Khansama.
Rangpur: Nilphamari, Saidpur, Dimla, Domar,
Jhaldaka, Kishoregonj, Gangachara,
Mithapukur, Badarganj, Kaliganj, Hatibanda,
Patgram, Palasbari and Sundargonj.
Bogura: Sherpur."
7.,"Mixed grey, Dark grey
and Brown Floodplain
soils.","Tista floodplain soils, Noncalcareous
brown floodplain soils on higher
ridges; seasonally wet or flooded
mainly silty, mixed Grey Floodplain
soils and Non-Calcareous Dark Grey
Floodplain soils on lower ridges and
in depressions.","Rangpur: Bhurungamari, Lalmonirhat and
Fulbari."
8.,"Grey Floodplain soils
and Non-calcareous
Dark grey floodplain
soils.","Seasonally wet or shallowly flooded
Grey Floodplain soils, mainly on
ridges, and seasonally shallowly or
deeply flooded Non-calcareous Dark
Grey Floodplain Soils, mainly in
basis.","Dhaka: Gazaria, Arai hazar and Narsingdi.
Kishoreganj: Hossainpur, Mohanganj,
Barhatta and Purbadhala.
Mymensingh: Nandail, Phulpur, Jamalpur,
Sherpur, Nakla and Melandah.
Noakhali: Companyganj, Lakshmpur, Raipur,
Begumganj, Senbag and Feni.
Cumilla: Muradnagar, Burichang,
Chauddagram, Laksam, Barura, Faridganj,
Hajigonj and Nabinagar."
9.,,"Grey Floodplain Soils
and Acid basin clays.","This occupies the eastern Surma-
Kusiyara Floodplain in Sylhet and
the Cumilla basin.","Kishoreganj: Bhairab
Cumilla: Kotwali and Burichang.
Sylhet: Balaganj, Biswanath; Fenchuganj,
Zakiganj,
Beanibazar, Habiganj, Chhatak, Jagannathpur,
Moulvibazar and Rajanagar."
10.,,Grey Piedmont Soils.,"Grey mottled red or brown, strongly
acid, loams to clays on seasonally
wet or flooded piedmont plains
adjoining the eastern hills.","Chattogram: Kotwali, Doublemoorings,
Mirsarai, Sitakunda, Fatikchari, Raojan,
Rangunia, Boalkhali, Patiya,Satkania,
Chakaria, Kutubdia and Ramu.
Chattogram Hill Tracts: Lama.
Noakhali: Chhagalnaiya.
Cumilla: Kasba and Chauddagram.
Sylhet: Chunarughat, Maulvibazar, Kulaura,
Kamalgonj and Barlekha."
"11
.",Acid basin clays.,,"Strongly acid heavy clays, part
permanently wet.","Dhaka: Dohar and Serajdikhan.
Kishoregonj: Astagram, Nikli, Itna,Khaliajuri,
Madan, Kalmakanda and Durgapur.
Cumilla: Nasirnagar.
Sylhet: Nabiganj, Lakhai, Azmiriganj,
Sunamganj, Tahirpur, Derai, Sulla and
Jamalganj.
Rajshahi: Naogaon, Atrai, Raninagar and
Singra.
Sirajgonj: Tarash."
