30,Imported,red,-,-,-,-,-,-,-,-,"2,850","2,650","2,708","2,892","2,775"
31,",,",white,"2,517","2,540","2,537","2,491","2,474","2,440","2,480","2,529","2,551","2,592","2,551","2,625","2,527"
32,Ata,loose,"2,563","2,563","2,556","2,500","2,431","2,409","2,405","2,421","2,470","2,469","2,493","2,509","2,483"
33,",,",Packet,"2,999","3,014","3,003","2,993","2,993","2,979","2,981","2,984","2,992","2,990","2,994","2,985","2,992"
34,flour,loose,"3,206","3,196","3,189","3,155","3,128","3,118","3,106","3,110","3,118","3,103","3,153","3,234","3,151"
35,",,",packet,"4,056","4,020","4,038","4,043","4,010","4,062","4,058","4,057","4,072","4,080","4,082","4,112","4,057"
36,Maize,-,"1,882","1,888","1,881","1,734","1,665","1,583","1,595","1,710","1,785","1,813","1,849","1,934","1,777"
37,Kalai,mash,5604,5534,"5,505",5661,"5,748","5,881","6,055","6,059","6,172","6,285","6,563","6,875","5,995"
38,",,",mashur,4880,5158,"5,218",5392,"5,761","5,987","6,146","6,195","6,425","6,306","6,297","6,328","5,841"
39,",,",mug,7346,7461,"7,461",7525,"7,463","7,311","7,603","7,692","7,833","7,756","7,880","8,088","7,618"
40,",,",Chola,6711,6866,"6,898",6938,"7,021","6,931","6,867","6,722","6,574","6,571","6,616","6,659","6,781"
41,",,",Motor local,3034,3388,"3,307",3411,"3,497","3,476","3,346","3,392","3,382","3,446","3,414","3,408","3,375"
42,",,",Motor foreign,3034,3388,"3,307",3411,"3,497","3,476","3,346","3,392","3,382","3,446","3,414","3,408","3,375"
43,",,",kheshari,3004,3043,"3,081",3227,"3,568","3,573","3,657","3,649","3,554","3,674","3,875","3,880","3,482"
44,Dal,Mash gota,7062,7230,"7,211",7279,"7,391","7,407","7,492","7,767","7,873","7,739","8,023","8,349","7,569"
45,",,",Broken,7248,7251,"7,203",7251,"7,523","7,600","7,658","7,860","7,870","7,948","8,389","8,870","7,722"
46,",,","Mashur local
gota",8133,8272,"8,385",8411,"8,784","9,043","9,312","9,476","9,466","9,518","9,923","9,674",
,,,,,,,,,,,,,,,"9,033"
47,",,",Mashur broken,6069,6204,"6,163",6198,"6,346","6,402","6,337","6,486","6,682","6,286","6,283","6,428","6,324"
48,",,",Mashur foreign,7413,7510,"7,565",7458,"7,764","7,827","8,069","7,895","7,797","8,187","8,339","8,465","7,857"
49,",,",Mug local,10040,10242,"10,068",10039,"10,111","10,117","10,300","10,339","10,574","10,825","11,084","11,715","10,454"
50,",,",Chola gota,7292,7543,"7,563",7713,"7,682","7,707","7,592","7,698","7,536","7,380","7,408","7,430","7,545"
51,",,",Chola broken,7403,7638,"7,627",7643,"7,764","7,800","7,668","7,547","7,452","7,328","7,383","7,288","7,545"
52,",,",Motor local,4744,5014,"5,010",5091,"5,264","5,442","5,663","5,328","5,316","5,372","5,495","5,386","5,260"
53,",,",Motor foreign,3614,3661,"3,573",3573,"3,543","3,502","3,451","3,380","3,357","3,426","3,431","3,368","3,490"
54,",,",kheshari,4342,4425,"4,427",4629,"5,133","5,144","5,085","5,131","5,126","5,440","5,690","6,003","5,048"
55,Oil seed,Mustard,5160,4930,"4,706",4670,"4,735","5,042","4,817","4,844","4,824","4,885","4,919","4,958","4,874"
56,",,",Tishi,5850,5667,"5,373",5321,"5,894","5,902","6,009","6,016","6,000","5,969","6,027","6,104","5,844"
57,",,",Til,5422,5450,"5,785",5156,"7,190","7,209","7,255","6,065","6,129","7,168","8,176","8,148","6,596"
58,",,",Nut,8647,8613,"9,279",9220,"9,348","9,103","8,987","8,815","8,895","8,994","9,809","9,176","9,074"
59,Oil,Mustard,13139,13038,"12,981",12808,"12,739","12,986","12,818","12,694","12,806","12,831","12,817","12,846","12,875"
60,",,",Soyabeen,7901,7904,"7,944",7877,"7,845","7,793","7,666","7,783","7,788","7,794","7,886","8,159","7,862"
61,",,",Pulm,6177,6240,"6,246",6214,"6,078","6,022","6,002","6,065","6,105","6,131","6,258","6,660","6,183"
62,“,Ghee (dalda),8634,8347,"8,550",8025,"8,107","8,370","8,173","7,992","7,972","8,078","8,128","8,149","8,210"
63,",,",Butter oil,61750,61750,"60,500",56750,"52,350","60,500","51,135","63,167","62,000","61,750","60,000","60,000","59,304"
64,",,",Coconut,22332,21808,"22,209",22592,"22,581","22,660","22,796","22,550","22,407","22,480","22,269","22,699","22,449"
