District,River,"Sundar
bans",Beel,"Kapt
ai
Lake","Flood
Plain","Pon
d","Seasonal
cultured
water
body",Baor,"Shrimp/
Prawn
Farm","Pen
Culture","Cage
Culture",Total
Dhaka,1156,0,804,0,5917,8046,3429,0,0,820,35,20207
Faridpur,2046,0,486,0,8967,18078,5849,722,9.5,1105,4,37266
Gazipur,502,0,1665,0,16099,26298,8588,0,0,905,0,54057
Gopalganj,605,0,660,0,7357,15713,941,676,5415.02,3595,30,34992
Kishoreganj,2403,0,6781,0,42094,22801,1366,0,0.26,945,20,76410
Madaripur,1396,0,242,0,7954,12153,123,1138,246.60,746,254,24253
Manikganj,2794,0,647,0,10464,10625,3701,0,8,814,0,29053
Munshiganj,3111,0,231,0,11432,10051,3940,0,8.59,167,63,29003
Narayanganj,1820,0,120,0,1441,10107,3034,0,0,1253,0,17775
Narsingdi,2578,0,1185,0,11629,22166,1558,0,1.65,120,361,39599
Rajbari,2894,0,267,0,6228,14552,2280,27,0,0,0,26248
Shariatpur,4616,0,43,0,5169,14351,977,0,50.55,37,8,25252
Tangail,1188,0,2303,0,10713,40581,1471,0,5.70,8,0,56270
Dhaka Division,27109,0,15434,0,145464,225522,37257,2563,5745.87,10515,775,470385
Jamalpur,2950,,3190,,9112,16415,2139,,0.67,518,17,34342
Mymensingh,1268,,6349,,10227,370836,890,0,0.8,0,15,389586
Netrokona,1437,,6634,,42880,35364,2644,0,2.64,94,0,89056
Sherpur,959,,2509,,2314,26296,2135,0,0,0,0,34213
Mymensingh Division,6614,0,18682,0,64533,448911,7808,0,4.11,612,32,547197
Bagerhat,5260,"17035.
1 2",25,,4946,13888,1711,9,66399.50,0,12,109286
Chuadanga,345,,1077,,1283,10907,1562,1600,0,0,8,16782
Jashore,963,,1695,,34357,123051,26325,3391,32315.91,59,11,222168
Jhenaidah,346,,1035,,5979,24220,3245,1758,13.75,0,0,36597
Khulna,3481,701.19,198,,19741,15449,983,0,62337.4,8,0,102899
Kushtia,1750,,442,,3627,20739,4124,184,0.92,12,44,30923
Magura,1114,,147,,2543,10699,112,392,5.89,0,24,15037
Meherpur,283,,383,,846,6919,161,251,0,0,28,8871
Narail,953,,543,,3039,4399,576,0,4585.37,0,0,14095
Satkhira,1303,546.12,25,,13849,34475,1662,195,71125.30,0,0,123180
Khulna Division,15798,"18282.4
3",5570,,90210,264746,40461,7780,236784.05,79,127,679838
Barguna,5845,,0,,2515,7505,1892,,537.29,7,38,18339
Barishal,40503,,24,,8148,37538,8056,,3462.882,4,70,97806
Bhola,86135,,0,,3682,38559,381,,169.36,0,150,129076
Jhalokathi,1936,,10,,3799,4549,552,,121,395,28,11390
Patuakhali,30175,,0,,10023,20626,180,,3286,3,16,64309
Pirojpur,3487,,10,,3753,7397,2299,,1740.07,0,24,18710
Barishal Division,168081,,44,,31920,116174,13360,,9316.602,409,326,339630
Dinajpur,291,,532,,5895,43250,2662,,20.4,0,13,52663
Gaibandha,2099,,539,,5631,26250,743,,5.66,32,23,35323
Kurigram,3857,,1561,,11466,17304,4757,,9.16,137,103,39194
Lalmonirhat,204,,562,,1604,11737,3757,,3.41,11,0,17878
Nilphamari,199,,496,,3477,17551,688,,1.89,32,8,22453
,122,,57,,2636,12455,371,,0.71,5,9,15656
Rangpur,153,,1763,,8373,26550,3619,,4.25,27,0,40489
Thakurgaon,114,,205,,3678,21929,332,,1.48,0,12,26271
Rangur Division,7039,,5715,,42760,177026,16929,,46.96,244,168,249927
Bogura,840,,2485,,4485,72265,696,,2.97,61,0,80835
Chapai Nawabganj,1928,,3007,,1439,10326,233,,0,26,72,17031
Joypurhat,187,,240,,125.12,21678,588,,19.215,3,0,22840
Naogaon,1284,,5136,,14786,55372,637,,2.15,0,64,77281
Natore,835,,951,,24918,35540,417,,3.32,0,32,62696
Pabna,4199,,2453,,10259,46195,2951,,11.06,3,38,66109
Rajshahi,2458,,4080,,5969,59132,6249,,9.07,0,11,77908
Sirajganj,4179,,676,,32117,20035,1112,,3.68,0,561,58684
Rajshahi Division,15910,,19028,,94098,320543,12883,,51.465,93,778,463384
Bandarban,146,,0,,157,1207,0,,4.06,0,0,1514
Brahmanbaria,1985,,479,,19809,34447,2790,,0,16,197,59723
Chandpur,35158,,278,,23074,37541,1806,,144.27,90,984,99075
Chattogram,6957,,49,,676,63476,3666,,1708.45,0,0,76532
Cumilla,963,,277,,70755,110209,74460,,172.6,60,50,256947
Cox’s Bazar,2326,,0,,1246,4764,156,,15659.57,0,0,24152
Feni,1291,,0,,6594,22921,231,,65.7,4,42,31149
Khagrachhari,212,,52,,256,2792,56,,0,0,0,3368
Lakshmipur,22587,,0,,10046,29728,800,,56.3,0,75,63292
Noakhali,9942,,0,,26617,46905,1153,,345.2,0,0,84962
Rangamati,209,,0,10578,0,827,0,,0,210,105,11929
Chattogram Division,81776,,1135,10578,159230,354817,85118,,18156.15,380,1453,712643
Habiganj,987,,2302,,27651,16849,267,,11.85,0,0,48068
Moulvi Bazar,474,,2858,,22101,21575,1067,,1.92,0,35,48112
Sunamganj,846,,23877,,63715,10691,965,,0.63,19,63,100177
Sylhet,844,,5245,,39799,17778,1225,,3.46,10,45,64949
Sylhet Division,3151,,34282,,153266,66893,3524,,17.86,29,143,261306
Total,325478,18282,99890,10578,781481,1974632,217340,10343,270123,12361,3802,3724310
%,8.74,0.49,2.68,0.28,20.98,53.02,5.84,0.28,7.25,0.33,0.10,100
