District name,May-2019,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,400,254
Khagrachari,400,250,0,0,0,0,346,270
Rangamati,337,250,287,240,0,0,415,291
Chattogram,493,400,471,370,450,300,552,410
Coxbazar,500,338,455,331,445,315,590,375
Cumilla,465,425,454,0,440,400,532,483
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,410,325,400,315,369,300,503,337
Noakhali,475,0,0,0,450,0,508,430
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,0,0,442,0,480,0
Chattogram Division,440,331,413,314,433,329,462,356
Sylhet,390,350,389,300,0,0,408,365
Moulvibazar,394,332,385,320,0,0,427,341
Sunamganj,509,350,389,305,0,0,408,362
Habiganj,507,438,0,0,0,0,581,513
Sylhet Division,450,368,388,308,0,0,456,395
Dhaka,537,391,0,0,474,333,586,471
Gazipur,463,308,452,275,440,250,547,362
Manikganj,451,350,440,0,430,0,470,312
Munshiganj,480,380,460,370,450,350,496,425
Narayanganj,0,0,542,330,445,300,571,350
Narsingdi,385,0,0,0,375,0,526,0
Faridpur,400,350,367,340,317,300,520,400
Rajbari,425,350,0,0,366,320,450,367
Madaripur,466,0,455,0,440,0,505,300
Gopalganj,290,250,0,0,0,0,340,295
Shariatpur,569,0,555,0,540,0,580,510
Tangail,0,0,570,0,523,0,583,0
Kishoreganj,537,391,0,0,474,333,586,471
Dhaka Division,455,346,480,329,440,312,520,388
Mymensingh,400,0,350,0,320,0,450,0
Jamalpur,441,230,375,210,350,200,504,256
Sherpur,628,0,566,0,583,0,594,0
Netrokona,550,260,500,240,0,0,600,300
Mymensingh Division,505,245,448,225,418,200,537,278
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,437,0,350,0,0,0,444,0
Jhalokathi,493,0,0,0,0,0,548,0
Perojpur,500,350,466,300,400,250,512,400
Bhola,450,0,0,0,0,0,500,0
Patuakhali,439,0,0,0,0,0,500,0
Barguna,498,0,518,0,0,0,510,0
Barishal Division,470,350,445,300,400,250,502,400
Jashore,0,0,0,0,0,0,281,185
Jhenaidah,380,274,356,262,345,258,454,304
Magura,477,0,407,0,353,0,533,0
Narail,292,0,0,0,270,0,364,302
Khulna,0,0,0,0,0,0,492,389
Bagerhat,567,350,525,0,515,338,516,400
Satkhira,0,0,0,0,0,0,359,254
Kushtia,338,0,320,0,280,0,392,0
Chuadanga,325,0,0,0,0,0,338,0
Meherpur,296,0,0,0,0,0,346,0
Khulna Division,382,312,402,262,353,298,408,306
Rajshahi,344,255,330,250,0,0,363,263
Naogaon,348,297,336,273,325,250,375,305
Natore,309,222,0,0,0,0,347,245
Chapai Nawabganj,300,275,290,265,280,255,330,290
Bogra,0,0,0,0,406,292,450,300
Joypurhat,400,300,0,0,385,250,407,318
Pabna,411,241,336,216,326,0,469,250
Sirajganj,550,0,0,0,0,0,484,350
Rajshahi Division,380,265,323,251,344,262,403,290
Rangpur,405,275,0,0,0,0,375,280
Gaibandha,0,0,0,0,0,0,407,325
Kurigram,325,225,0,0,0,0,350,300
Nilphamari,366,257,0,0,0,0,375,270
Lalmonirhat,313,215,0,0,0,0,330,225
Dinajpur,400,275,0,0,0,0,420,312
Thakurgaon,306,266,0,0,0,0,334,296
Panchagarh,343,241,0,0,0,0,375,260
Rangpur Division,351,251,0,0,0,0,371,284
BANGLADESH,423,302,422,282,399,280,453,331
