Year,Urea,TSP,SSP,DAP,MOP,Gypsum,Zinc,ASP,NPKS,Total
1,2,3,4,5,6,7,8,9,10,11
1982-83,629058,205999,-,73161,50420,393,498,-,8889,968418
1983-84,708070,260730,-,93831,63222,1267,745,-,1196,1129061
1984-85,831808,345670,-,403,69271,1379,1217,-,10430,1260178
1985-86,794496,297418,-,53,59867,3269,706,-,178,1155987
1986-87,915019,335659,-,-,65850,2824,1353,-,238,1320943
1987-88,1029077,390159,-,-,86139,1390,1630,6796,-,1515191
1988-89,1135062,415993,-,-,94172,60745,2800,93,173,1709038
1989-90,1369237,479767,718,4,118663,67808,5180,1785,18,2043180
1990-91,1323397,514761,12120,31,149761,101782,2743,2763,211,2107569
1991-92,1533481,456672,36201,-,137135,115334,3805,4797,-,2287425
1992-93,1547407,407002,119828,2010,126083,108140,722,4992,-,2316184
1993-94,1578955,234185,170608,28675,103875,86051,5200,10036,97,2217682
1994-95,1748459,122947,533485,1837,154240,77161,,2491,-,2640620
1995-96,2045535,111095,596881,-,155881,103577,1029,8692,-,3022690
1996-97,2119883,72629,525285,-,219302,86611,1161,11692,-,3036563
1997-98,1872725,62382,473295,6778,193496,113430,661,9716,-,2732483
1998-99,1902024,170247,362370,38633,210748,128215,269,12418,-,2824924
"1999-
2000",2151233,259263,237201,109171,239464,189398,1170,26003,-,3212903
2000-01,2121096,399428,138589,90077,123788,102260,3006,13020,-,2991264
2001-02,2247422,401464,127126,127033,233249,115578,238,20083,12876,3285069
2002-03,2247000,375130,132527,122010,270620,150520,5000,10000,26000,3338807
2003-04,2324080,361000,148000,90000,240000,140000,7000,9000,45000,3364080
2004-05,2523395,420029,170931,140718,260385,135704,8000,5592,90000,3754754
2005-06,2451370,436470,130390,145000,290670,104950,7500,6320,110000,3682670
