District name,January-2019,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,400,264
Khagrachari,346,220,0,0,0,0,400,250
Rangamati,325,238,275,220,0,0,405,283
Chattogram,414,303,397,315,380,320,440,328
Coxbazar,500,338,462,331,367,250,590,375
Cumilla,414,410,407,400,400,367,450,367
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,354,280,300,0,252,0,400,306
Noakhali,488,0,450,0,430,0,537,0
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,0,0,480,0,598,0
Chattogram Division,406,298,382,317,385,312,458,318
Sylhet,400,300,368,273,347,0,450,350
Moulvibazar,340,250,330,240,0,0,400,300
Sunamganj,345,245,0,0,0,0,370,275
Habiganj,366,275,0,0,0,0,387,280
Sylhet Division,363,268,349,257,347,0,402,301
Dhaka,451,420,433,445,425,470,500,450
Gazipur,470,345,0,0,378,267,480,350
Manikganj,380,267,362,250,327,200,400,350
Munshiganj,406,0,0,0,438,0,472,375
Narayanganj,455,400,435,387,390,360,480,336
Narsingdi,0,0,408,300,340,0,450,0
Faridpur,400,300,358,0,0,0,460,0
Rajbari,410,250,400,230,392,220,420,300
Madaripur,375,300,0,0,355,250,420,350
Gopalganj,440,0,425,0,415,0,457,300
Shariatpur,300,0,0,0,0,0,352,284
Tangail,403,0,378,0,370,0,434,300
Kishoreganj,0,0,389,310,385,0,451,350
Dhaka Division,408,326,399,320,383,295,444,340
Mymensingh,550,0,500,0,470,0,600,0
Jamalpur,415,250,370,220,327,200,491,270
Sherpur,443,0,430,0,427,0,457,0
Netrokona,400,240,380,230,0,0,420,250
Mymensingh Division,452,245,420,225,408,200,492,260
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,427,0,0,0,0,0,470,0
Jhalokathi,475,0,0,0,0,0,544,0
Perojpur,450,350,430,0,0,0,492,375
Bhola,420,0,380,0,0,0,465,0
Patuakhali,450,0,430,0,0,0,500,0
Barguna,375,0,0,0,0,0,400,0
Barishal Division,433,350,413,0,0,0,479,375
Jashore,0,0,0,0,0,0,328,200
Jhenaidah,325,235,230,235,327,222,363,277
Magura,356,0,209,0,298,0,392,0
Narail,283,0,260,0,248,0,366,302
Khulna,0,0,0,0,0,0,328,200
Bagerhat,444,350,430,280,420,270,500,350
Satkhira,0,0,0,0,0,0,321,213
Kushtia,335,0,312,0,272,0,373,0
Chuadanga,237,0,0,0,0,0,293,0
Meherpur,260,0,0,0,0,0,300,0
Khulna Division,320,293,288,258,313,246,356,257
Rajshahi,357,254,336,253,0,0,380,266
Naogaon,340,291,330,292,320,282,350,305
Natore,309,222,0,0,0,0,347,245
Chapai Nawabganj,315,275,300,260,290,240,330,242
Bogra,353,0,330,0,305,0,370,0
Joypurhat,300,250,0,0,270,250,320,260
Pabna,386,224,370,201,355,0,406,237
Sirajganj,347,0,319,0,0,0,361,300
Rajshahi Division,338,253,331,252,308,257,358,265
Rangpur,340,272,0,0,0,0,306,267
Gaibandha,0,0,0,0,0,0,340,240
Kurigram,324,200,0,0,0,0,342,243
Nilphamari,346,233,0,0,0,0,326,218
Lalmonirhat,297,205,0,0,0,0,320,245
Dinajpur,319,256,298,241,300,0,345,260
Thakurgaon,302,272,0,0,0,0,330,285
Panchagarh,325,215,0,0,0,0,350,235
Rangpur Division,322,236,298,241,300,0,332,249
BANGLADESH,378,278,367,282,359,278,411,291
