"Sl.
No.",District,Extensive,,Semi-intensive,,Intensive,,"Highly
Intensive",,Total,,
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,4> - 10 MT/Ha,,10.0> MT/Ha,,,,
,,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,MT/Ha
1,Dhaka,0,0,1627,6262,213,1727,5,57,1845,8046,4.36
2,Faridpur,89,135,1377,4805,2134,11501,122,1637,3722,18078,4.86
3,Gazipur,59,103,2344,9350,1334,12337,343,4508,4080,26298,6.45
4,Gopalgonj,662,975,1449,5650,1429,8470,61,618,3601,15713,4.36
6,Kishorgonj,307,223,3039,11884,1474,10094,51,600,4871,22801,4.68
6,Madaripur,280,377,2155,8252,449,3524,0,0,2884,12153,4.21
7,Manikgonj,345,480,1528,5502,584,4643,0,0,2457,10625,4.32
8,Munshigonj,120,171,1505,5075,580,4805,0,0,2205,10051,4.56
9,Narayangonj,100,130,1269,4140,688,5837,0,0,2057,10107,4.91
10,Narsingdi,57,77,1206,4239,832,7731,582,10119,2677,22166,8.28
11,Rajbari,144,177,2654,8700,866,5675,0,0,3664,14552,3.97
12,Shariatpur,27,38,1776,7082,772,7231,0,0,2575,14351,5.57
13,Tangail,4,6,3036,9813,4290,28209,227,2553,7557,40581,5.37
,Dhaka Div.,2193,2892,24965,90754,15645,111784,1391,20092,44195,225522,5.10
14,Jamalpur,0,0,1906,7213,1190,8167,87,1035,3183,16415,5.16
15,Mymensingh,602,821,7111,24886,11502,81769,9929,"26336
0",29144,370836,12.72
16,Netrokona,490,674,5130,19009,2084,15197,6,484,7710,35364,4.59
17,Sherpur,86,115,2344,8643,1378,9218,604,8320,4412,26296,5.96
,"Mymensingh
Div",1178,1610,16491,59751,16154,114351,10626,"27319
9",44449,448911,10.10
18,Bagerhat,2140,3105,2982,10783,0,0,0,0,5122,13888,2.71
19,Chuadanga,6,8,1034,3553,1147,7346,0,0,2187,10907,4.99
20,Jashore,77,111,8936,35375,5822,47898,2322,39667,17157,123051,7.17
21,Jhinaidah,13,18,3174,12237,1790,11555,40,410,5017,24220,4.83
22,Khulna,772,1018,3450,10495,516,3936,0,0,4738,15449,3.26
23,Kushtia,0,0,2570,9579,1793,11160,0,0,4363,20739,4.75
24,Magura,35,51,1879,6599,398,4049,0,0,2312,10699,4.63
25,Meherpur,0,0,1315,5614,213,1305,0,0,1528,6919,4.53
26,Narail,68,90,645,2292,360,2017,0,0,1073,4399,4.10
27,Satkhira,7015,7266,5437,17125,518,3682,275,6402,13245,34475,2.60
,Khulna Div.,10126,11667,31422,113652,12557,92948,2637,46479,56742,264746,4.67
28,Barguna,476,683,1914,6585,34,237,0,0,2424,7505,3.10
29,Barishal,0,0,9447.2,36799,130,739,0,0,9577,37538,3.92
30,Bhola,245,358,2001,6984,5461,30802,33,415,7740,38559,4.98
31,Jhalokathi,0,0,1090,4142,29,285,4,122,1123,4549,4.05
32,Patuakhali,1226,1635,6650,18020,173,971,0,0,8049,20626,2.56
33,Pirojpur,701,974,1815,4668,340,1755,0,0,2856,7397,2.59
,Barishal Div.,2648,3650,22917,77198,6167,34789,37,537,31769,116174,3.66
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,4> - 10 MT/Ha,,10.0> MT/Ha,,,,
,,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,MT/Ha
34,Dinajpur,118,154,6110,22578,2618,18934,85,1584,8931,43250,4.84
35,Gaibandha,0,0,5013,20033,508,4906,60,1311,5581,26250,4.70
36,Kurigram,331,488,3320,12757,566,3876,11,183,4228,17304,4.09
37,Lalmonirhat,0,0,2515,9353,264,2320,5,64,2784,11737,4.22
38,Nilphamari,0,0,3165,11816,866,5712,2,23,4033,17551,4.35
39,Panchagarhh,0,0,2859,11026,179,1429,0,0,3038,12455,4.10
40,Rangpur,109,157,4136,15122,1285,11113,10,158,5540,26550,4.79
41,Thakurgaon,0,0,4664,16790,470,3292,143,1847,5277,21929,4.16
,Rangpur Div.,558,799,31782,119475,6756,51582,316,5170,39412,177026,4.49
42,Bogura,516,606,9653,26863,3604,28055,728,16741,14501,72265,4.98
43,C.Nawabganj,14,18,1944,7785,459,2523,0,0,2417,10326,4.27
44,Joypurhat,31,46,2106,6149,2500,15483,0,0,4637,21678,4.68
45,Naogaon,0,0,9932,36968,2731,17086,117,1318,12780,55372,4.33
46,Natore,0,0,5372,20205,2440,13846,126,1489,7938,35540,4.48
47,Pabna,0,0,8727,34270,1798,11834,5,91,10530,46195,4.39
48,Rajshahi,0,0,5975,21235,6218,35316,233,2581,12426,59132,4.76
49,Sirajganj,78,90,3030,10191,1878,9754,0,0,4986,20035,4.02
,Rajshahi Div.,639,760,46739,163666,21628,133897,1209,22220,70215,320543,4.57
50,Bandarban,201,279,236,668,51,260,0,0,488,1207,2.47
51,B.Baria,139,207,4547,19820,2422,13340,57,1080,7165,34447,4.81
52,Chandpur,169,231,6372,22484,2872,14826,0,0,9413,37541,3.99
53,Chattogram,6477,9381,12941,41882,1718,12027,13,186,21149,63476,3.00
54,Cumilla,1447,2054,12485,44654,7480,51464,1052,12037,22464,110209,4.91
55,Cox’s Bazar,785,864,1200,3900,0,0,0,0,1985,4764,2.40
56,Feni,335,447,4055,15730,935,6477,22,267,5347,22921,4.29
57,Khagrachari,153,229,805,2055,92,508,0,0,1050,2792,2.66
58,Lakshmipur,238,312,6020,21946,1865,7470,0,0,8123,29728,3.66
59,Noakhali,1079,1486,11579,42391,407,3028,0,0,13065,46905,3.59
60,Rangamati,51,55,347,703,13,69,0,0,411,827,2.01
,Ctg Div.,11074,15545,60587,216233,17855,109469,1144,13570,90660,354817,3.91
61,Habiganj,1099,1410,2480,8621,1023,5371,116,1447,4718,16849,3.57
62,Moulov.Bazar,3345,4442,2596,9157,1149,7936,3,40,7093,21575,3.04
63,Sunamgonj,409,413,2437,8853,179,1355,4,70,3029,10691,3.53
64,Sylhet,856,1125,3070,9175,1552,7267,15,211,5493,17778,3.24
,Sylhet Div.,5709,7390,10583,35806,3903,21929,138,1768,20333,66893,3.29
,Grand Total,34125,44313,245486,876535,"10066
5",670749,17498,"38303
5","39777
5","197463
2",4.96
