Type of Fishing,"Shrimp
(A)","Hilsa
(B)",Other Species,,,,,,,,,"Grand
Total
(A+B+C)"
,,,Sardine,"Bombay
Duck","Indian
Salmon","Pom
fret","Jew
Fish","Cat
Fish","Shark/
Skate/
Ray","Other
Marine
Fish","Total
(C)",
A.Industrial,,,,,,,,,,,,
Trawl Fishing,2733,12300,27421,2656,0,849,5020,3010,724,52523,92203,107236
B. Artisanal,,,,,,,,,,,,
1.Gill Net Fishing,,,,,,,,,,,,
a)Mechanized,0,254140,790,5085,245,2550,25550,2160,1930,30235,68545,322685
b) Non- mechanized,0,23876,0,55,0,145,1850,100,30,19305,21485,45361
SUB-TOTAL,0,278016,790,5140,245,2695,27400,2260,1960,49540,90030,368046
2. Set Bag Net Fishing,,,,,,,,,,,,
a) Seasonal,37146,0,25,59945,0,7400,2925,40,110,49860,120305,157451
b) All Seasonal,855,0,0,180,0,60,0,20,20,165,445,1300
SUB-TOTAL,38001,0,25,60125,0,7460,2925,60,130,50025,120750,158751
3. Long Line Fishing,,,,,,,,,,,,
a) Jew Fish Long Line,,,,,,,,,,,,
i. Mechanized,0,0,0,0,40,0,3750,5450,1405,6853,17498,17498
ii. Non-mechanized,0,0,0,0,10,0,145,110,35,150,450,450
b) Other LongLine,0,0,0,0,0,0,60,40,20,35,155,155
SUB-TOTAL,0,0,0,0,50,0,3955,5600,1460,7038,18103,18103
"4.Trammel Net
Fishing",1015,0,0,30,0,0,1295,420,0,1485,3230,4245
"5. Other Gears’
Fishing",1000,0,20,150,0,0,1005,105,0,1250,2530,3530
TOTAL ARTISANAL,40016,278016,835,65445,295,10155,36580,8445,3550,109338,234643,552675
"GRAND TOTAL
(Industrial+ Artisanal)",42749,290316,28256,68101,295,11004,41600,11455,4274,161861,326846,659911
%,6.48,43.99,4.28,10.32,0.04,1.67,6.30,1.74,0.65,24.53,49.53,100.00
