District name,April-2019,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,391,241
Khagrachari,350,200,0,0,0,0,375,250
Rangamati,337,250,287,200,0,0,415,291
Chattogram,510,390,485,350,475,350,576,430
Coxbazar,500,338,460,331,430,250,590,375
Cumilla,462,400,390,383,380,365,505,417
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,529,442,520,430,500,400,550,450
Noakhali,567,0,538,500,538,0,575,0
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,0,0,450,0,480,0
Chattogram Division,465,337,447,366,462,341,474,351
Sylhet,383,350,370,270,0,0,401,360
Moulvibazar,381,254,370,244,0,0,418,338
Sunamganj,483,433,0,0,0,0,469,419
Habiganj,507,438,0,0,0,0,581,513
Sylhet Division,439,369,370,257,0,0,467,408
Dhaka,529,450,512,380,430,370,550,470
Gazipur,515,391,0,0,431,293,542,392
Manikganj,420,262,382,237,359,212,452,300
Munshiganj,410,350,0,0,473,400,419,325
Narayanganj,440,400,420,385,410,375,487,433
Narsingdi,0,0,512,400,454,0,562,0
Faridpur,400,350,400,0,0,0,433,0
Rajbari,450,350,433,300,367,300,510,400
Madaripur,425,345,400,332,395,320,450,352
Gopalganj,467,0,450,435,442,0,512,250
Shariatpur,384,270,0,0,0,0,432,323
Tangail,438,0,440,0,446,0,463,0
Kishoreganj,0,0,610,400,571,0,670,450
Dhaka Division,443,352,456,359,434,324,499,370
Mymensingh,450,0,350,0,320,0,500,0
Jamalpur,360,230,330,210,310,200,400,256
Sherpur,467,0,459,0,473,0,489,0
Netrokona,530,220,520,200,0,0,550,235
Mymensingh Division,452,225,415,205,368,200,485,246
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
Barishal,427,0,0,0,0,0,468,0
Jhalokathi,481,0,0,0,0,0,533,0
Perojpur,445,375,0,0,0,0,492,400
Bhola,415,0,380,0,0,0,465,0
Patuakhali,439,0,430,0,0,0,500,0
Barguna,385,0,,0,0,0,410,0
Barishal Division,432,375,405,0,0,0,478,400
Jashore,0,0,0,0,0,0,466,257
Jhenaidah,343,240,340,225,328,214,308,251
Magura,438,0,406,0,379,0,482,0
Narail,340,0,330,0,315,0,374,335
Khulna,0,0,0,0,0,0,523,432
Bagerhat,516,330,475,310,460,300,535,350
Satkhira,0,0,0,0,0,0,390,275
Kushtia,338,0,320,0,280,0,392,0
Chuadanga,340,0,0,0,0,0,355,0
Meherpur,300,0,0,0,0,0,350,0
Khulna Division,374,285,374,268,352,257,418,317
Rajshahi,360,340,345,255,0,0,362,325
Naogaon,335,273,325,270,310,260,355,280
Natore,309,222,0,0,0,0,347,245
Chapai Nawabganj,281,225,270,215,255,210,300,233
Bogra,0,0,0,0,356,262,450,350
Joypurhat,350,250,0,0,330,220,360,278
Pabna,404,240,317,217,300,0,360,242
Sirajganj,0,0,0,0,0,0,422,300
Rajshahi Division,340,258,314,239,310,238,370,282
Rangpur,340,215,0,0,0,0,316,200
Gaibandha,0,0,0,0,0,0,315,258
Kurigram,352,230,0,0,0,0,334,267
Nilphamari,336,224,0,0,0,0,305,250
Lalmonirhat,323,208,0,0,0,0,307,220
Dinajpur,300,233,292,220,280,0,333,238
Thakurgaon,300,270,0,0,0,0,325,280
Panchagarh,341,246,0,0,0,0,317,260
Rangpur Division,327,232,292,220,280,0,319,247
BANGLADESH,410,304,410,301,397,297,439,325
