District name,June-2019,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,400,250
Khagrachari,400,250,0,0,0,0,410,265
Rangamati,346,250,287,200,0,0,416,292
Chattogram,475,362,460,350,450,300,546,370
Coxbazar,500,367,462,331,338,300,590,375
Cumilla,440,350,392,300,380,290,460,370
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,354,280,340,0,325,227,400,288
Noakhali,533,0,500,0,480,0,552,0
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,0,0,460,0,480,0
Chattogram Division,435,310,407,295,406,279,456,316
Sylhet,396,350,390,270,0,0,400,360
Moulvibazar,400,332,380,258,0,0,430,340
Sunamganj,430,412,0,0,0,0,460,379
Habiganj,279,0,0,0,0,0,331,0
Sylhet Division,376,365,385,264,0,0,405,360
Dhaka,480,400,430,380,415,365,500,420
Gazipur,412,345,0,0,393,250,469,398
Manikganj,524,325,485,300,490,227,573,378
Munshiganj,463,350,436,0,420,0,475,375
Narayanganj,513,438,475,420,450,380,520,450
Narsingdi,0,0,373,283,360,0,498,370
Faridpur,400,0,0,0,337,0,550,0
Rajbari,420,350,367,300,317,300,470,400
Madaripur,425,350,0,0,367,300,450,367
Gopalganj,388,0,338,0,351,0,425,300
Shariatpur,300,200,0,0,0,0,351,278
Tangail,535,0,443,0,391,0,458,350
Kishoreganj,0,0,461,0,409,0,513,0
Dhaka Division,442,345,423,337,392,304,481,371
Mymensingh,550,0,500,0,470,0,600,0
Jamalpur,415,327,370,250,300,220,490,365
Sherpur,413,0,400,0,381,0,426,0
Netrokona,400,260,380,250,0,0,450,300
Mymensingh Division,445,294,413,250,384,220,492,333
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,461,0,440,0,0,0,480,0
Jhalokathi,493,0,0,0,0,0,555,0
Perojpur,473,0,391,0,400,0,502,0
Bhola,460,0,0,0,0,0,480,0
Patuakhali,425,0,0,0,0,0,500,0
Barguna,502,0,490,0,0,0,510,0
Barishal Division,469,0,440,0,400,0,505,0
Jashore,0,0,0,0,0,0,345,265
Jhenaidah,312,291,290,239,308,222,347,300
Magura,415,0,390,0,345,0,464,0
Narail,293,0,0,0,0,0,369,305
Khulna,0,0,0,0,0,0,487,398
Bagerhat,517,400,500,340,485,330,565,400
Satkhira,0,0,0,0,0,0,309,215
Kushtia,338,0,320,0,280,0,392,0
Chuadanga,320,0,0,0,0,0,338,0
Meherpur,268,0,0,0,0,0,317,0
Khulna Division,352,346,375,290,355,276,393,314
Rajshahi,345,237,330,240,0,0,366,244
Naogaon,345,295,320,283,376,306,348,289
Natore,309,223,0,0,0,0,347,245
Chapai Nawabganj,350,235,325,280,315,0,365,250
Bogra,0,0,0,0,325,218,400,250
Joypurhat,300,250,0,0,355,250,318,278
Pabna,427,241,413,230,328,0,437,
Sirajganj,0,0,0,0,0,0,415,250
Rajshahi Division,346,247,347,258,340,258,375,257
Rangpur,342,230,0,0,0,0,325,200
Gaibandha,0,0,0,0,0,0,332,288
Kurigram,322,225,0,0,0,0,306,200
Nilphamari,334,226,0,0,0,0,331,219
Lalmonirhat,331,218,0,0,0,0,332,211
Dinajpur,400,275,0,0,0,0,355,280
Thakurgaon,320,270,0,0,0,0,350,285
Panchagarh,350,247,0,0,0,0,325,227
Rangpur Division,343,242,0,0,0,0,332,239
BANGLADESH,403,299,402,290,381,280,429,309
