"Sl.
No.",Species,Lower Padma,,,,,,,,Upper Padma,,,,,,,Total
,,"r
u
p
at
ir
a
h
S","r
u
p
ir
a
d
a
M","jn
a
g
ih
s
n
u
M","a
k
a
h
D","jn
a
g
k
ni
a
M","r
u
p
d
ir
a
F","ir
a
b
ja
R","Sub-
Total","ir
a
b
ja
R","a
ith
s
u
K","a
n
b
a
P","e
r
o
ta
N","ih
a
h
s
ja
R","jn
a
g
b
a
w
a
N
.C","Sub-
Total",
1,Rui,61,36,18,32,30,36,29,242,37,12,66,27,42,44,228,470
2,Catla,37,17,18,33,23,13,17,158,21,8,34,16,35,36,150,308
3,Mrigal,39,16,12,30,14,20,8,139,13,3,6,5,15,19,61,200
4,Kalibaus,16,11,8,11,7,6,2,61,8,2,19,5,6,5,45,106
5,Bata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Ghonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Pangas,16,11,9,11,9,7,5,68,0,6,34,32,75,42,189,257
8,Boal/Air,41,57,92,37,59,52,10,348,21,8,52,16,51,62,210,558
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,53,44,23,37,35,44,33,269,0,0,0,0,0,0,0,269
13,Other Inland Fish,36,17,19,32,22,13,17,156,761,135,1521,374,1096,831,4718,4874
14,Hilsa/Illish,0,91,569,115,1039,355,523,2692,286,532,93,2,164,40,1117,3809
15,Galda,354,805,555,355,372,940,403,3784,3,1,0,0,0,11,15,3799
16,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Chaka,0,7,8,13,3,2,4,37,0,0,0,0,0,0,0,37
19,Other small shrimp/prawn,0,0,0,0,0,0,0,0,48,10,34,16,45,44,197,197
Total,,653,1112,1331,706,1613,1488,1051,7954,1198,717,1859,493,1529,1134,6930,14884
