Sl. No.,Species/Group,"Inland
Fisheries","Marine
Fisheries",Total,%
1,Major Carp,846397,0,846397,19.79
2,Other Carp,111373,0,111373,2.60
3,Exotic Carp,454078,0,454078,10.62
4,Pangas (Cat Fish),453383,0,453383,10.60
5,Other Cat Fish,68850,0,68850,1.61
6,Snake Head,73358,0,73358,1.72
7,Live Fish,144007,0,144007,3.37
8,Tilapia,381215,0,381215,8.91
9,Other Inland fish,554558,0,554558,12.97
10,Hilsha/Illish (Tenualosa ilisha),232698,284500,517198,12.09
11,Shrimp/Prawn,198457,48847,247304,5.78
12,Crab,11787,0,11787,0.28
13,Sarpunti (Puntius sarana),91792,0,91792,2.15
14,Sardine (Sardinella fimbriata),0,41486,41486,0.97
15,Bombay Duck (Harpondon nehereus),0,75085,75085,1.76
16,Indian Salmon (Polydactylus indicus),0,487,487,0.01
17,Pomfret (Rup/ Hail/ Foli Chanda),0,11899,11899,0.28
18,"Jew Fish (Poa, Lambu, Kaladatina etc.)",0,35427,35427,0.83
19,Sea Cat Fish (Tachysurus spp.),0,9455,9455,0.22
20,Shark/ Skate / Ray,0,3974,3974,0.09
21,Other Marine Fish,0,143527,143527,3.36
T O T A L,Metric Ton,3621954,654687,4276641,100
,%,84.69,15.31,100,
