163,",,",Hilsha,"58,300","57,161","61,531","68,344","68,737","72,220","75,430","68,961","66,429","67,013","61,616","62,154","65,658"
164,",,",Prawn bagda,"57,150","59,088","64,641","64,109","64,364","63,016","64,525","60,382","61,167","59,950","59,091","59,925","61,451"
165,",,",golda,"54,914","56,917","58,511","58,799","58,163","54,175","57,525","60,016","60,235","60,343","61,267","60,525","58,449"
166,",,",small,"33,843","33,804","36,083","36,798","35,888","36,720","40,550","39,904","38,149","37,223","38,750","37,643","37,113"
167,",,",Koii,"16,685","15,051","16,365","16,097","17,208","17,408","17,829","18,158","18,146","16,804","16,939","16,855","16,962"
168,",,",Magur,"56,748","55,688","58,924","61,318","61,261","61,250","62,125","63,773","63,780","63,455","63,318","60,932","61,048"
169,",,",Shing,"44,093","46,013","47,842","46,784","47,938","46,958","48,760","48,408","46,255","45,938","45,414","44,102","46,542"
170,",,",Silvar curp,"11,855","12,072","12,458","13,101","13,465","13,547","13,535","13,436","13,313","13,313","13,159","13,070","13,027"
171,",,",Grass curp,"14,043","14,255","15,167","15,588","16,096","16,134","16,226","16,249","16,154","16,006","15,928","15,542","15,616"
172,",,",Telapia,"11,357","11,509","11,964","12,275","12,737","12,809","12,819","12,750","12,642","12,587","12,550","12,295","12,358"
173,",,",Rupchada,"71,111","59,167","63,375","55,500","61,008","63,756","63,750","63,750","63,750","63,750","63,750","80,000","64,389"
174,"Fish
(Kha)Dry",Rupchada,"156,667","133,750","172,500","171,667","215,000","215,000",-,"168,333","215,000","168,333","168,333","215,000",
,,,,,,,,,,,,,,,"181,780"
175,",,",Loitta,"44,273","42,648","42,187","43,683","44,787","45,981","45,843","45,286","45,117","47,691","48,158","47,673","45,277"
176,",,",Puti,"35,683","36,100","24,542","35,825","35,400","37,250","37,625","37,500","36,375","34,475","36,458","38,375","35,467"
177,",,",Prawn,"60,563","57,906","58,333","55,594","67,275","67,500","60,938","69,339","78,889","72,006","74,813","74,281","66,453"
178,“,Kachki,"43,443","43,288","43,550","58,642","43,192","43,850","43,977","44,167","43,304","44,638","45,333","45,500","45,240"
179,,Salted Hilsha,"60,000","60,000","56,667","43,333","53,292","48,167","56,600","50,333","60,000","49,500","72,500","72,500","56,908"
180,Betel nut,-,"29,548","30,343","30,475","30,354","30,318","30,420","30,876","30,345","31,146","30,852","31,082","30,932","30,558"
181,"Betel leaves
bangla",Large,"9,265","10,828","11,743","11,234","9,327","8,599","7,700","7,974","8,268","8,907","8,928","9,048",
,,,,,,,,,,,,,,,"9,318"
182,",,",Medium,"7,054","8,286","7,670","7,889","6,730","5,816","5,339","5,287","5,482","5,810","6,093","6,213","6,472"
183,",,",Small,"3,847","4,561","4,530","4,395","3,516","3,112","2,822","2,955","2,984","3,081","3,265","3,344","3,534"
184,",,",Sanchi,"2,578","3,380","3,165","2,619","4,479","2,069","1,998","2,006","2,003","2,133","1,878","2,106","2,534"
185,Fruits:,Mango Guti,-,-,-,-,"3,978","3,414","4,668",-,-,-,-,-,"4,020"
186,,Gopalbhog,-,-,-,-,"5,965","4,928","5,960",-,-,-,-,-,"5,618"
187,,Himsagor,-,-,-,-,"5,842","5,113","6,666","7,900",-,-,-,-,"6,380"
188,,Langra,-,-,-,-,"5,696","5,128","6,282","10,250",-,-,-,-,"6,839"
189,,Fazli,-,-,-,-,-,"4,757","6,501","7,983","9,833",-,-,-,"7,269"
190,,Aswini,-,-,-,-,-,"3,175","5,002","7,008","10,503",-,-,-,"6,422"
191,Jackfruits,Large(4+kg),-,-,-,-,"14,839","8,471","7,727","12,773","10,500",-,-,-,"10,862"
192,,Small,-,-,-,-,"7,447","4,150","4,253","5,833","9,000",-,-,-,"6,137"
193,Fruits,Green Coconut,"2,748","2,754","2,835","2,939","3,138","3,237","3,208","3,275","3,353","3,358","3,323","3,268","3,120"
194,,Batabi lebu,"1,325","1,400","1,483","1,450","2,283","1,725","2,067","1,876","1,930","2,064","2,381","2,293","1,856"
195,,Elachi lebu,305,341,362,375,402,329,291,290,306,332,331,339,334
196,,Kagozi lebu,298,344,359,374,351,317,270,267,293,320,318,312,319
197,",,",Guava,"6,471","5,925","5,544","5,324","5,902","5,202","3,900","3,482","3,810","4,244","5,125","5,139","5,006"
