Sl. No.,Species,"Lower
Meghna","Upper
Meghna","Lower
Padma","Upper
Padma",Jamuna,"Brahma
Putra","Other
River",Total,%
1,Rui,167,266,251,222,189,197,1853,3145,0.95
2,Catla,120,145,163,147,125,159,1112,1971,0.59
3,Mrigal,90,123,135,64,108,139,736,1395,0.42
4,Kalibaus,0,29,61,43,36,90,358,617,0.19
5,Bata,1220,100,0,0,13,0,282,1615,0.49
6,Ghania,0,15,0,0,0,0,18,33,0.01
7,Pangas,376,65,77,189,0,0,203,910,0.27
8,Boal/Air,298,142,308,206,278,419,1254,2905,0.88
9,Shol/Gazar/Taki,0,0,0,0,0,0,803,803,0.24
10,Koi,0,0,0,0,0,0,99,99,0.03
11,Shingi/Magur,0,0,0,0,0,0,91,91,0.03
12,Sarpunti,0,0,181,0,0,0,19,200,0.06
13,Cuchia,0,0,0,0,0,0,3024,3024,0.91
14,"Other Inland
Fish",3451,5294,3637,4715,4529,4698,30254,56578,17.05
15,Hilsa/Ilish,178800,1111,5952,604,682,325,57498,244972,73.83
16,Galda,329,140,69,20,16,69,270,913,0.28
17,Bagda,0,0,0,0,0,0,33,33,0.01
18,Harina,0,0,0,0,0,0,3028,3028,0.91
19,Chaka,0,0,0,0,0,0,18,18,0.01
20,"Other small
shrimp/prawn",505,366,215,200,412,797,6948,9443,2.85
Total,,185356,7796,11049,6410,6388,6893,107901,331793,100
