Year,Outstanding,Disbursement,"Amount due
for recovery",Recovered,Overdue
1,2,3,4,5,6
1982-83,13515.10,6786.00,8173.00,3423.30,4566.90
1983-84,20773.50,10053.00,12382.20,5175.70,7556.70
1984-85,30342.40,11528.00,15150.00,5839.00,11588.90
1985-86,35142.50,6317.20,23751.90,6071.50,17787.70
1986-87,32944.10,6672.80,26835.40,11075.60,15759.80
1987-88,38634.90,6563.00,25281.60,5957.80,19323.80
1988-89,47116.60,8076.00,30446.60,5779.60,23556.80
1989-90,53812.90,6867.80,39862.70,7019.40,32843.30
1990-91,57034.50,5956.00,45566.50,6253.20,39337.50
1991-92,53695.60,7945.90,41701.50,6621.10,35723.00
1992-93,56928.40,8418.50,47199.30,8692.30,38543.60
1993-94,62220.00,11007.90,51418.60,9791.20,42037.20
1994-95,70452.20,14903.80,56132.50,11241.10,44905.30
1995-96,77690.70,14816.30,61935.00,12730.80,49204.20
1996-97,82562.10,15173.00,69070.70,15942.70,53128.10
1997-98,85150.40,16428.40,71879.50,16990.70,54893.60
1998-99,97025.10,30059.20,73154.30,19165.30,53989.00
1999-00,106489.00,28512.90,95211.50,29962.90,64585.50
2000-01,111372.60,30196.70,95842.10,28778.70,67951.60
2001-02,114981.30,29549.10,99591.80,32596.60,67545.10
2002-03,119133.50,32783.70,100651.80,35163.10,65264.10
2003-04,127059.50,40484.10,95069.70,31353.20,62647.50
2004-05,140398.40,49567.80,88958.80,31711.50,57811.90
2005-06,161824.40,57897.10,105784.50,41239.10,65992.50
2006-07,145825.60,52925.10,112415.40,46760.00,66351.90
2007-08,173892.50,75348.20,115190.30,53839.00,59429.20
