"Sl.
No.",District,Extensive,,Semi-intensive,,Intensive,,"Highly
Intensive",,Total,,
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,4> - 10 MT/Ha,,10.0> MT/Ha,,,,
,,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,MT/Ha
1,Dhaka,38,52,1468,5802,344,2245,4,56,1854,8155,4.40
2,Faridpur,106,152,1342,4826,1997,10739,164,2032,3609,17749,4.92
3,Gazipur,6,8,2448,9376,1235,11634,331,5133,4020,26151,6.51
4,Gopalgonj,662,1069,1449,5594,1429,8421,61,617,3601,15701,4.36
6,Kishorgonj,307,266,2743,10399,1784,11557,36,369,4870,22591,4.64
6,Madaripur,289,417,2146,8394,449,3342,0,0,2884,12153,4.21
7,Manikgonj,345,458,1508,5870,584,4187,0,0,2437,10515,4.31
8,Munshigonj,128,183,1515,5127,625,5343,32,440,2300,11093,4.82
9,Narayangonj,103,125,1098,4065,825,6592,0,0,2026,10782,5.32
10,Narsingdi,150,213,1135,4195,840,7913,492,9330,2617,21651,8.27
11,Rajbari,144,192,2654,9094,866,5262,0,0,3664,14548,3.97
12,Shariatpur,27,37,1776,7054,734,8004,0,0,2537,15095,5.95
13,Tangail,4,6,3001,11232,4309,29684,175,2949,7489,43871,5.86
,Dhaka Div.,2309,3178,24283,91028,16021,114923,1295,20926,43908,230055,5.24
14,Jamalpur,30,40,2177,7484,788,6838,188,2882,3183,17244,5.42
15,Mymensingh,654,889,6892,23009,11496,68739,9578,"26517
9",28620,357816,12.50
16,Netrokona,495,685,5121,18086,2071,12325,23,275,7710,31371,4.07
17,Sherpur,86,114,2344,8243,1378,10018,604,9899,4412,28274,6.41
,"Mymensingh
Div",1265,1728,16534,56822,15733,97920,10393,"27823
5",43925,434705,9.90
18,Bagerhat,2237,3204,2885,8988,0,0,0,0,5122,12192,2.38
19,Chuadanga,6,9,1171,4442,1037,7425,0,0,2214,11876,5.36
20,Jashore,77,110,7960,24758,5851,49789,2886,43810,16774,118467,7.06
21,Jhinaidah,12,18,3075,11993,1753,11354,0,0,4840,23365,4.83
22,Khulna,1223,1216,3189,12687,202,1003,0,0,4614,14906,3.23
23,Kushtia,0,0,2509,9734,1824,8294,0,0,4333,18028,4.16
24,Magura,35,50,1879,7467,398,3104,0,0,2312,10621,4.59
25,Meherpur,0,0,1325,5195,210,1677,0,0,1535,6872,4.48
26,Narail,71,102,643,2272,360,1880,0,0,1074,4254,3.96
27,Satkhira,7520,7566,4798,15964,522,3404,272,6902,13112,33836,2.58
,Khulna Div.,11181,12275,29434,103500,12157,87930,3158,50712,55930,254417,4.55
28,Barguna,497,678,1836,6153,23,136,0,0,2356,6967,2.96
29,Barishal,0,0,9326,36199,138,737,0,0,9464,36936,3.90
30,Bhola,245,355,1940,7402,5522,31980,33,415,7740,40152,5.19
31,Jhalokathi,0,0,1102,4485,17,160,4,65,1123,4710,4.19
32,Patuakhali,1426,1636,6850,15973,173,971,0,0,8449,18580,2.20
33,Pirojpur,701,1011,1764,4445,354,1754,0,0,2819,7210,2.56
,Barishal Div.,2869,3680,22818,74657,6227,35738,37,480,31951,114555,3.59
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,4> - 10 MT/Ha,,10.0> MT/Ha,,,,
,,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,MT/Ha
34,Dinajpur,275,365,6502,23538,1665,11511,40,443,8482,35857,4.23
35,Gaibandha,0,0,3928,14121,955,5664,0,0,4883,19785,4.05
36,Kurigram,354,504,3523,12868,307,2132,0,0,4184,15504,3.71
37,Lalmonirhat,20,29,2312,8257,227,1557,2,25,2561,9868,3.85
38,Nilphamari,104,132,2852,10977,315,2247,0,0,3271,13356,4.08
39,Panchagarhh,0,0,2704,10720,145,1238,0,0,2849,11958,4.20
40,Rangpur,119,176,3928,14005,889,5263,2,18,4938,19462,3.94
41,Thakurgaon,0,0,4570,16303,481,4236,85,1016,5136,21555,4.20
,Rangpur Div.,872,1206,30319,110789,4984,33848,129,1502,36304,147345,4.06
42,Bogura,420,575,9553,23921,3687,27855,528,14741,14188,67092,4.73
43,C.Nawabganj,0,0,1944,7796,432,2321,0,0,2376,10117,4.26
44,Joypurhat,31,46,2105,6149,2499,15483,0,0,4635,21678,4.68
45,Naogaon,120,175,9714,35429,2799,17574,117,1292,12750,54470,4.27
46,Natore,0,0,5413,20959,2187,12461,113,1339,7713,34759,4.51
47,Pabna,0,0,8727,34078,1798,11788,5,90,10530,45956,4.36
48,Rajshahi,0,0,6428,20842,5561,30476,321,3541,12310,54859,4.46
49,Sirajganj,93,107,2850,8785,1995,9587,0,0,4938,18479,3.74
,Rajshahi Div.,664,903,46734,157959,20958,127545,1084,21003,69440,307410,4.43
50,Bandarban,201,279,236,674,12,68,0,0,449,1021,2.27
51,B.Baria,140,210,4320,19400,2267,12829,51,1020,6778,33459,4.94
52,Chandpur,169,229,6372,22441,2872,14811,0,0,9413,37481,3.98
53,Chattogram,6476,9289,12790,41717,1666,11652,12,182,20944,62840,3.00
54,Cumilla,1534,2203,12332,44795,7747,51530,851,9734,22464,108262,4.82
55,Cox’s Bazar,1517,1620,685,2268,77,468,25,313,2304,4669,2.03
56,Feni,334,445,3995,15494,917,6174,21,255,5267,22368,4.25
57,Khagrachari,153,214,795,2015,92,505,0,0,1040,2734,2.63
58,Lakshmipur,238,304,6020,21938,1865,7468,0,0,8123,29710,3.66
59,Noakhali,1068,1438,11621,41771,329,2238,27,297,13045,45744,3.51
60,Rangamati,51,56,255,564,13,45,0,0,319,665,2.08
,Ctg Div.,11881,16287,59421,213077,17857,107788,987,11801,90146,348953,3.87
61,Habiganj,1036,1378,2609,9292,917,5203,41,457,4603,16330,3.55
62,Moulov.Bazar,3435,4288,2465,7664,1190,6911,3,40,7093,18903,2.67
63,Sunamgonj,410,414,2359,8349,168,1271,1,20,2938,10054,3.42
64,Sylhet,856,1125,3114,9133,1530,7033,15,280,5515,17571,3.19
,Sylhet Div.,5737,7205,10547,34438,3805,20418,60,797,20149,62858,3.12
,Grand Total,36778,46462,240090,842270,97742,626110,17143,385456,391753,1900298,4.85
