0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
District/ Division,,2022-23,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,
,,Area,,,,,,Yield Rate,,,,,,Production,,,,Area,,,,,,Yield Rate,,,,,,Production,,
,,Acres,,,"Hector
s",,,"Acres
(Maund)",,,"Hector
s
(M.
Ton)",,,(M. Ton),,,,Acres,,,Hectors,,,"Acres
(Maund)",,,"Hectors
(M. Ton)",,,(M. Ton),,
Khulna Division,,,96057,,,38874,,,41.14,,,3.795,,,147521,,,,101073,,,40904,,,44.14,,,4.071,,,166533,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mymensingh
Division",,,17113,,,6926,,,29.62,,,2.732,,,18922,,,,14385,,,5821,,,33.43,,,3.084,,,17952,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajshahi Division,,,305749,,,123735,,,38.41,,,3.542,,,438330,,,,312825,,,126599,,,41.16,,,3.796,,,480568,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangpur Division,,,215817,,,87340,,,37.69,,,3.476,,,303618,,,,201003,,,81345,,,40.79,,,3.762,,,306050,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylhet Division,,,"2,137",,,865,,,33.54,,,3.093,,,2675,,,,"2,052",,,830,,,33.57,,,3.096,,,2571,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,782892,,,316832,,,37.89,,,3.495,,,1107195,,,,769842,,,311551,,,40.79,,,3.763,,,1172242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
