District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
1,Barguna,0.00,0.00,0.00,0.00,0.00,0.00
2,Barishal,0.00,0.00,0.00,0.00,0.00,0.00
3,Bhola,0.00,0.00,0.00,0.00,0.00,0.00
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,None,0.00,0.00,0.00,0.00,0.00,0.00
7,Bandarban,64.10,17.20,64.70,18.82,65.10,18.93
8,Brahmanbaria,0.00,0.00,0.00,0.00,0.00,0.00
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00
10,Chattogram,36.17,24.28,34.49,23.15,34.14,24.53
11,Cumilla,2.50,1.09,3.30,1.80,3.50,1.80
12,Cox’s Bazar,23.00,5.20,22.75,5.05,12.20,5.20
13,Feni,11.76,3.60,11.78,3.90,12.80,4.45
14,Khagrachari,26.10,8.00,26.60,6.55,26.00,6.35
15,Lakshmipur,16.50,6.05,16.85,6.26,20.10,7.83
16,Noakhali,50.00,17.50,56.00,20.16,67.00,24.12
17,Rangamati,150.62,79.18,150.55,78.57,144.89,74.46
Chattogram Division,None,380.75,162.10,387.02,164.26,385.73,167.67
18,Dhaka,0.00,0.00,0.00,0.00,0.00,0.00
19,Faridpur,4.50,1.50,4.00,1.00,5.00,2.00
20,Gazipur,2.15,0.91,2.03,0.87,1.98,0.85
21,Gopalganj,0.00,0.00,0.00,0.00,0.00,0.00
22,Kishoreganj,0.00,0.00,0.00,0.00,0.00,0.00
23,Madaripur,0.00,0.00,0.00,0.00,0.00,0.00
24,Manikganj,0.00,0.00,0.00,0.00,0.00,0.00
25,Munshiganj,13.00,4.23,12.00,3.83,11.80,3.72
26,Narayanganj,0.00,0.00,0.00,0.00,0.00,0.00
27,Narsingdi,0.00,0.00,0.00,0.00,0.00,0.00
28,Rajbari,28.00,10.50,33.50,10.92,35.00,11.92
29,Shariatpur,0.00,0.00,0.00,0.00,0.00,0.00
30,Tangail,2.65,0.59,2.30,0.56,0.00,0.00
Dhaka Division,None,50.30,17.73,53.83,17.18,53.78,18.49
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,24.25,6.85,23.70,6.61,23.60,9.20
33,Jashore,8.24,2.66,4.00,1.00,2.00,0.61
34,Jhenaidah,0.00,0.00,0.00,0.00,0.00,0.00
35,Khulna,0.00,0.00,0.00,0.00,0.00,0.00
36,Kushtia,84.00,42.00,65.00,34.00,10.00,8.00
37,Magura,12.25,3.92,8.02,2.55,7.45,2.41
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,18.00,7.54,18.50,7.92,18.00,7.77
39,Narail,0.00,0.00,0.00,0.00,0.00,0.00
40,Satkhira,0.00,0.00,0.00,0.00,0.00,0.00
Khulna Division,None,146.74,62.97,119.22,52.08,61.05,27.99
41,Jamalpur,6.00,2.00,7.00,2.00,6.00,2.00
42,Mymensingh,0.00,0.00,0.00,0.00,0.00,0.00
43,Netrokona,0.00,0.00,0.00,0.00,0.00,0.00
44,Sherpur,9.00,3.00,5.00,2.00,2.00,1.00
Mymensingh Division,None,15.00,5.00,12.00,4.00,8.00,3.00
45,Bogura,1.00,0.78,1.24,0.97,1.42,1.13
46,Joypurhat,12.85,5.15,6.96,2.77,6.11,2.45
47,Naogaon,98.65,41.68,87.90,37.05,78.65,34.75
48,Natore,11.67,2.76,15.91,3.83,16.57,4.82
49,Chapai Nawabganj,54.00,21.80,50.00,19.59,36.00,17.88
50,Pabna,8.00,7.00,0.00,0.00,0.00,0.00
51,Rajshahi,5.00,1.52,0.00,0.00,0.00,0.00
52,Sirajganj,0.00,0.00,0.00,0.00,0.00,0.00
Rajshahi Division,None,191.17,80.69,162.01,64.21,138.75,61.03
53,Dinajpur,12.00,6.00,12.00,4.00,9.00,4.00
54,Gaibandha,52.50,25.74,53.40,26.95,41.00,22.00
55,Kurigram,58.00,16.07,53.00,12.95,48.00,15.00
56,Lalmonirhat,7.00,1.66,7.50,1.85,7.00,1.80
57,Nilphamari,0.00,0.00,0.00,0.00,0.00,0.00
58,Panchagar,0.00,0.00,0.00,0.00,0.00,0.00
59,Rangpur,85.00,52.00,88.00,54.00,87.00,40.00
60,Tahkurgaon,45.00,15.90,35.00,12.05,39.00,14.00
Rangpur Division,None,259.50,117.37,248.90,111.80,231.00,96.80
61,Habigonj,0.00,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,28.00,8.56,29.00,8.97,28.61,9.24
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,0.00,0.00,0.00,0.00,0.00,0.00
Sylhet Division,None,28.00,8.56,29.00,8.97,28.61,9.24
BANGLADESH,None,1071.46,454.42,1011.98,422.50,906.92,384.22
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,177.00,63.00,56.00,45.00,65.00,58.00
2,Barishal,3316.00,1802.00,3269.00,13567.00,2820.00,13382.00
3,Bhola,1478.00,671.00,1483.00,781.00,1426.00,749.00
4,Jhallokati,689.00,335.00,717.00,350.00,781.00,388.00
5,Patuakhali,588.00,209.84,612.00,219.00,587.00,210.00
6,Pirojpur,79.00,43.00,89.00,47.00,77.00,47.00
Barishal Division,None,6327.00,3123.84,6226.00,15009.00,5756.00,14834.00
7,Bandarban,27.60,10.27,30.10,11.20,30.50,11.30
8,Brahmanbaria,2834.34,879.54,1356.75,431.92,1273.55,391.21
9,Chandpur,570.75,281.78,572.00,284.57,568.65,287.90
10,Chattogram,263.13,82.47,228.69,61.30,199.68,49.32
11,Cumilla,692.30,261.06,693.50,262.30,699.00,266.00
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,1124.25,515.45,1126.00,587.60,1142.00,611.40
14,Khagrachari,79.00,25.00,68.80,17.75,68.00,17.00
15,Lakshmipur,65.80,23.00,67.70,23.22,63.70,21.84
16,Noakhali,86.60,31.98,96.80,38.22,107.05,44.47
17,Rangamati,74.35,27.63,68.82,23.90,68.65,24.00
Chattogram Division,None,5818.12,2138.18,4309.16,1741.98,4220.78,1724.44
18,Dhaka,591.94,269.55,578.21,278.17,521.75,241.65
19,Faridpur,38893.00,27077.70,39889.00,27503.23,40170.00,27401.45
20,Gazipur,164.60,64.53,160.26,64.63,158.80,64.19
21,Gopalganj,9902.40,4244.18,9875.60,4142.84,9659.80,4090.02
22,Kishoreganj,253.36,103.39,248.70,95.12,240.51,93.75
23,Madaripur,12072.00,5668.11,11715.00,5471.80,10003.00,5160.17
24,Manikganj,1978.77,895.07,1847.97,861.03,1483.47,644.25
25,Munshiganj,34.50,12.87,31.30,11.34,29.70,10.72
26,Narayanganj,238.12,67.70,241.54,98.08,204.99,80.19
27,Narsingdi,48.12,14.50,48.35,14.66,50.58,14.33
28,Rajbari,15900.00,15420.00,16764.00,15028.46,16175.00,14764.70
29,Shariatpur,5514.00,2852.00,5551.00,2931.00,5060.00,2732.00
30,Tangail,2718.01,773.79,2732.00,848.00,2726.08,865.47
Dhaka Division,None,88308.82,57463.39,89682.93,57348.36,86483.68,56162.89
31,Bagerhat,1504.00,490.55,1397.00,494.80,1211.00,429.31
32,Chuadanga,4464.00,1850.88,4419.50,2209.36,4002.00,2348.08
33,Jashore,24815.00,11509.64,18254.50,8361.17,13616.00,6126.00
34,Jhenaidah,28380.00,15970.00,28886.00,16742.54,28594.00,16603.02
35,Khulna,218.77,72.05,218.16,72.10,220.76,72.85
36,Kushtia,25958.00,15254.00,24650.00,14517.00,18897.00,11813.00
37,Magura,31799.00,11362.40,29441.00,11062.07,29205.00,11458.40
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,12646.00,6468.35,10067.00,5482.84,11269.00,6094.46
39,Narail,13744.00,6596.17,13810.00,6764.00,13853.00,6812.00
40,Satkhira,767.08,272.91,640.68,261.53,703.54,316.06
Khulna Division,None,144295.85,69846.95,131783.84,65967.41,121571.30,62073.18
41,Jamalpur,744.00,258.00,742.00,255.00,771.00,273.00
42,Mymensingh,722.00,389.00,722.00,389.00,701.00,374.00
43,Netrokona,59.00,24.00,29.00,12.00,26.00,11.00
44,Sherpur,138.00,49.00,132.00,52.00,123.00,48.00
Mymensingh Division,None,1663.00,720.00,1625.00,708.00,1621.00,706.00
45,Bogura,615.34,250.15,543.10,226.60,536.20,229.05
46,Joypurhat,330.69,160.94,318.35,155.64,309.34,170.84
47,Naogaon,445.21,225.17,407.53,225.72,375.81,209.42
48,Natore,31026.00,15859.01,29914.10,15458.97,29581.85,15445.63
49,Chapai Nawabganj,5335.00,2462.32,4628.00,2154.94,4536.72,2573.51
50,Pabna,26602.00,13342.00,25919.50,16009.35,20653.00,11757.76
51,Rajshahi,35388.30,20041.90,29212.98,16977.26,26164.33,15404.90
52,Sirajganj,6929.98,3169.14,6020.35,2922.29,3303.81,1682.63
Rajshahi Division,None,106672.52,55510.63,96963.91,54130.77,85461.06,47473.74
53,Dinajpur,108.15,49.74,99.20,43.86,96.00,50.00
54,Gaibandha,1376.00,922.84,1380.00,925.00,1189.00,834.00
55,Kurigram,1398.71,555.53,1389.71,547.48,1245.00,545.00
56,Lalmonirhat,122.00,51.35,127.25,50.36,125.50,54.00
57,Nilphamari,21.44,8.66,21.72,10.47,22.00,11.00
58,Panchagar,168.00,58.73,150.00,51.86,138.00,49.00
59,Rangpur,211.00,111.00,214.00,113.00,214.00,116.00
60,Tahkurgaon,296.00,108.39,292.10,106.75,294.00,108.00
Rangpur Division,None,3701.30,1866.24,3673.98,1848.78,3323.50,1767.00
61,Habigonj,38.00,14.80,42.00,16.59,44.75,17.81
62,Moulvibazar,71.49,30.08,74.53,33.37,77.53,36.41
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,50.00,29.50,48.25,24.98,49.25,23.35
Sylhet Division,None,159.49,74.38,164.78,74.94,171.53,77.57
BANGLADESH,None,356946.10,190743.61,334429.60,196829.24,308608.85,184818.82
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,15.00,11.00,5291.00,2135.00,18.00,17.00
2,Barishal,0.00,0.00,27576.00,14794.00,0.00,0.00
3,Bhola,0.00,0.00,31682.70,15524.11,0.00,0.00
4,Jhallokati,34.00,11.00,4591.00,1647.00,31.00,11.00
5,Patuakhali,0.00,0.00,6534.84,3238.98,0.00,0.00
6,Pirojpur,0.00,0.00,6142.00,2589.00,0.00,0.00
Barishal Division,None,49.00,22.00,81817.54,39928.09,49.00,28.00
7,Bandarban,66.70,24.73,0.00,0.00,66.40,24.61
8,Brahmanbaria,46.30,17.08,705.00,306.81,42.38,15.42
9,Chandpur,90.79,55.84,434.49,212.65,93.74,55.34
10,Chattogram,131.38,45.92,2709.12,820.63,131.83,46.08
11,Cumilla,51.00,28.30,706.20,323.00,56.00,30.00
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,316.00,130.70,8426.00,3667.00,311.00,143.13
14,Khagrachari,105.70,43.76,0.00,0.00,109.00,49.22
15,Lakshmipur,66.00,25.00,381.30,149.86,67.50,26.00
16,Noakhali,109.85,52.71,47996.50,23742.07,110.70,50.35
17,Rangamati,150.38,86.83,0.00,0.00,150.04,86.38
Chattogram Division,None,1134.10,510.87,61358.61,29222.02,1138.59,526.53
18,Dhaka,152.95,82.67,1746.52,983.11,113.67,57.59
19,Faridpur,1779.50,795.46,13362.10,6497.28,1786.50,799.84
20,Gazipur,8.12,3.03,90.58,34.74,8.50,3.23
21,Gopalganj,403.55,170.64,10240.50,5987.57,352.95,148.79
22,Kishoreganj,8.51,2.77,54.42,29.23,6.98,2.39
23,Madaripur,363.87,151.45,13083.76,5688.20,578.45,249.03
24,Manikganj,562.09,230.35,3466.00,2161.38,497.50,221.50
25,Munshiganj,69.40,34.10,172.04,66.01,67.30,33.89
26,Narayanganj,17.00,7.86,153.91,44.37,15.15,7.02
27,Narsingdi,0.00,0.00,17.52,8.58,0.00,0.00
28,Rajbari,1449.00,682.14,2914.00,1638.56,1701.00,743.10
29,Shariatpur,298.00,170.00,7438.00,4336.00,258.20,143.00
30,Tangail,9.95,3.82,3930.74,1292.37,9.73,3.74
Dhaka Division,None,5633.07,2334.29,56670.09,28767.40,5395.93,2413.12
31,Bagerhat,129.00,41.81,8789.00,3744.21,121.00,40.31
32,Chuadanga,108.00,49.61,345.00,139.00,98.00,50.90
33,Jashore,638.50,282.68,1168.60,527.64,800.00,389.00
34,Jhenaidah,659.50,239.76,610.67,273.77,683.50,267.99
35,Khulna,14.80,5.16,154.60,87.21,16.65,6.38
36,Kushtia,898.00,535.00,1928.00,1352.00,762.00,505.00
37,Magura,1806.50,574.00,3749.01,888.31,1753.04,595.70
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,20.50,10.23,66.50,32.95,23.50,11.79
39,Narail,696.00,299.00,22014.00,8501.00,679.00,294.00
40,Satkhira,8.96,3.06,3047.60,1401.67,9.26,3.16
Khulna Division,None,4979.76,2040.31,41872.98,16947.76,4945.95,2164.23
41,Jamalpur,38.00,15.00,680.00,271.00,39.00,16.00
42,Mymensingh,101.00,62.00,346.00,174.00,93.00,56.00
43,Netrokona,0.00,0.00,0.00,0.00,0.00,0.00
44,Sherpur,10.00,4.00,60.00,28.00,9.00,3.00
Mymensingh Division,None,149.00,81.00,1086.00,473.00,141.00,75.00
45,Bogura,0.00,0.00,484.00,244.00,0.00,0.00
46,Joypurhat,17.25,7.34,64.00,29.00,16.20,6.92
47,Naogaon,39.75,25.53,564.00,363.00,25.80,17.18
48,Natore,1664.01,739.74,5032.00,3110.00,1676.31,745.08
49,Chapai Nawabganj,478.30,169.52,4899.00,1835.00,450.70,179.32
50,Pabna,1595.00,915.83,8577.00,5193.00,1613.00,935.38
51,Rajshahi,1318.00,792.22,2315.00,1395.00,1398.03,834.35
52,Sirajganj,6.00,2.80,2636.00,1487.00,5.70,2.70
Rajshahi Division,None,5118.31,2652.98,24571.00,13656.00,5185.74,2720.93
53,Dinajpur,25.15,7.73,33.00,14.00,23.00,10.00
54,Gaibandha,12.20,4.80,174.00,71.00,12.00,5.00
55,Kurigram,39.00,16.95,1690.00,817.00,36.00,15.00
56,Lalmonirhat,0.00,0.00,33.50,19.00,0.00,0.00
57,Nilphamari,2.92,1.25,83.00,37.00,3.00,1.29
58,Panchagar,28.00,11.17,40.00,12.00,28.00,11.00
59,Rangpur,4.00,2.17,70.00,34.48,4.22,1.79
60,Tahkurgaon,32.00,10.08,26.75,11.00,32.00,10.00
Rangpur Division,None,143.27,54.15,2150.25,1015.48,138.22,54.08
61,Habigonj,0.00,0.00,21.51,6.28,0.00,0.00
62,Moulvibazar,14.50,6.09,68.55,27.94,14.80,6.22
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,16.50,5.78,13.95,5.86,17.50,6.13
Sylhet Division,None,31.00,11.87,104.01,40.08,32.30,12.35
BANGLADESH,None,17237.51,7707.47,269630.48,130049.83,17026.73,7994.24
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,13627.00,4781.00,13614.00,4832.00,13704.00,4849.00
2,Barishal,13105.00,5590.00,13828.00,10199.00,26849.00,10355.00
3,Bhola,25653.00,10117.00,25991.00,10291.00,26006.00,10301.00
4,Jhallokati,2295.00,703.00,2348.00,734.00,3633.00,1176.00
5,Patuakhali,12575.00,2617.00,12566.00,2613.00,12581.00,2654.00
6,Pirojpur,624.00,196.00,632.00,203.00,642.00,209.00
Barishal Division,None,67879.00,24004.00,68979.00,28872.00,83415.00,29544.00
7,Bandarban,51.55,19.40,51.70,19.50,51.80,19.50
8,Brahmanbaria,15.25,4.18,15.25,4.18,5.05,4.98
9,Chandpur,175.98,76.55,178.20,88.18,178.19,88.28
10,Chattogram,1665.34,504.00,2231.03,720.60,2178.96,694.40
11,Cumilla,3.30,1.90,9.00,5.00,9.00,5.00
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,1382.31,724.42,1232.30,512.50,1202.00,660.60
14,Khagrachari,0.00,0.00,0.00,0.00,0.00,0.00
15,Lakshmipur,1503.00,382.00,1466.75,465.00,1393.50,432.00
16,Noakhali,12730.00,4172.23,12914.04,4240.76,12981.95,4395.40
17,Rangamati,0.00,0.00,0.00,0.00,0.00,0.00
Chattogram Division,None,17526.73,5884.68,18098.27,6055.72,18000.45,6300.16
18,Dhaka,74.00,51.33,149.80,88.64,125.50,45.45
19,Faridpur,988.50,353.25,1042.69,395.12,1143.80,395.10
20,Gazipur,48.06,14.36,48.96,14.64,50.99,15.54
21,Gopalganj,193.65,76.41,197.10,78.30,183.50,77.13
22,Kishoreganj,195.64,71.56,186.23,66.98,167.92,61.20
23,Madaripur,408.61,132.76,273.77,88.47,210.87,77.79
24,Manikganj,271.50,82.07,268.40,80.52,220.30,68.29
25,Munshiganj,0.00,0.00,0.00,0.00,0.00,0.00
26,Narayanganj,27.50,11.45,27.00,11.56,23.92,10.06
27,Narsingdi,23.14,7.08,22.79,6.94,23.54,7.22
28,Rajbari,134.00,60.00,148.00,65.33,150.00,65.41
29,Shariatpur,192.00,94.00,174.00,75.00,116.24,50.00
30,Tangail,2.51,1.53,2.49,1.52,2.53,1.54
Dhaka Division,None,2559.11,955.80,2541.23,973.02,2419.11,874.73
31,Bagerhat,483.50,144.38,483.50,144.38,464.00,602.28
32,Chuadanga,1388.00,787.44,1388.00,787.44,1163.00,666.84
33,Jashore,1642.00,635.32,1642.00,635.32,391.00,161.00
34,Jhenaidah,1645.00,714.00,1645.00,714.00,1654.50,746.71
35,Khulna,206.05,57.96,206.05,57.96,202.90,57.48
36,Kushtia,153.00,83.00,153.00,83.00,100.00,62.00
37,Magura,132.60,44.58,132.60,44.58,230.22,81.62
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,77.00,30.80,77.00,30.80,79.00,31.55
39,Narail,357.00,145.46,357.00,145.46,378.00,155.00
40,Satkhira,22.81,6.91,22.81,6.91,23.93,7.39
Khulna Division,None,6106.96,2649.85,6106.96,2649.85,4686.55,2571.87
41,Jamalpur,90.00,36.00,91.00,38.00,93.00,37.00
42,Mymensingh,155.00,62.00,113.00,48.00,95.00,41.00
43,Netrokona,0.00,0.00,2.00,1.00,3.00,1.00
44,Sherpur,11.00,4.00,8.00,3.00,8.00,3.00
Mymensingh Division,None,256.00,102.00,214.00,90.00,199.00,82.00
45,Bogura,7.30,5.26,7.25,5.22,0.95,0.64
46,Joypurhat,23.05,7.24,0.00,0.00,0.00,0.00
47,Naogaon,132.94,74.81,137.28,79.16,155.02,81.35
48,Natore,10599.40,4032.87,9143.47,3574.49,9111.11,3658.61
49,Chapai Nawabganj,28.00,8.28,20.00,5.95,18.50,5.40
50,Pabna,466.50,196.85,454.75,217.70,460.00,252.72
51,Rajshahi,7520.10,3237.71,6250.23,2692.15,2074.18,953.66
52,Sirajganj,8.75,2.80,8.25,2.64,8.00,2.56
Rajshahi Division,None,18786.04,7565.82,16021.23,6577.31,11827.76,4954.94
53,Dinajpur,32.00,10.00,24.45,6.45,31.00,13.00
54,Gaibandha,126.00,50.25,134.40,52.00,135.00,55.00
55,Kurigram,148.40,96.22,147.90,83.37,139.00,60.00
56,Lalmonirhat,72.95,41.32,73.70,41.33,73.50,32.00
57,Nilphamari,10.75,3.72,10.96,3.86,10.96,4.68
58,Panchagar,231.00,127.16,206.00,110.45,190.00,100.00
59,Rangpur,45.00,19.00,43.00,18.00,41.00,16.00
60,Tahkurgaon,104.00,31.31,100.50,30.52,100.00,30.00
Rangpur Division,None,770.10,378.98,740.91,345.98,720.46,310.68
61,Habigonj,0.00,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,13.20,4.10,0.00,0.00,0.00,0.00
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,12.00,3.25,8.00,1.92,8.50,2.55
Sylhet Division,None,25.20,7.35,8.00,1.92,8.50,2.55
BANGLADESH,None,113909.14,41548.48,11209.60,45565.80,121276.83,44640.93
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,205.00,78.00,220.00,88.00,117.00,82.00
2,Barishal,4.30,4.00,0.00,0.00,0.00,0.00
3,Bhola,0.00,0.00,0.00,0.00,0.00,0.00
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00
Barishal Division,None,209.30,82.00,220.00,88.00,117.00,82.00
7,Bandarban,3.00,0.85,3.10,0.89,3.16,0.95
8,Brahmanbaria,1164.30,483.55,949.00,466.96,1164.15,516.50
9,Chandpur,559.82,157.02,497.21,155.65,484.10,175.76
10,Chattogram,81.84,38.65,74.81,36.12,72.13,34.67
11,Cumilla,433.50,183.36,432.60,182.08,443.00,192.88
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00
13,Feni,115.60,38.24,140.69,47.15,127.05,40.95
14,Khagrachari,0.00,0.00,0.00,0.00,0.00,0.00
15,Lakshmipur,83.00,26.11,86.50,27.21,87.60,27.73
16,Noakhali,124.49,42.98,131.60,48.78,133.50,23.80
17,Rangamati,0.00,0.00,0.00,0.00,0.00,0.00
Chattogram Division,None,2565.55,970.76,2315.51,964.84,2514.69,1013.24
18,Dhaka,1313.34,570.03,1156.71,550.43,1097.18,492.75
19,Faridpur,2002.93,771.77,2049.12,782.92,2051.08,783.88
20,Gazipur,609.17,152.73,608.54,171.81,624.65,177.08
21,Gopalganj,395.90,141.31,406.20,147.69,408.80,148.22
22,Kishoreganj,1070.24,538.38,1074.34,537.44,1017.22,529.35
23,Madaripur,1043.65,377.66,1064.30,389.41,1048.52,383.67
24,Manikganj,10324.76,4073.95,10842.31,4297.49,10419.54,4152.89
25,Munshiganj,137.80,58.18,134.90,54.87,136.60,56.82
