District name,Feb-2023,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,"Without Food (in
TK)",,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,0,,,0,,,0,,,0,,,0,,,0,,,543,,,371,,
Khagrachari,450,,,300,,,0,,,0,,,0,,,0,,,473,,,379,,
Rangamati,438,,,313,,,413,,,329,,,0,,,0,,,496,,,348,,
Chattogram,633,,,431,,,559,,,410,,,543,,,400,,,656,,,440,,
Cox’sbazar,706,,,400,,,634,,,365,,,625,,,325,,,766,,,468,,
Cumilla,606,,,433,,,493,,,384,,,582,,,396,,,557,,,390,,
Chandpur,0,,,0,,,0,,,0,,,0,,,0,,,575,,,0,,
Brahmmanbaria,463,,,400,,,450,,,0,,,465,,,418,,,532,,,453,,
Noakhali,575,,,0,,,600,,,0,,,525,,,0,,,656,,,0,,
Lakshmipur,0,,,0,,,0,,,0,,,0,,,0,,,440,,,0,,
Feni,583,,,0,,,0,,,0,,,0,,,0,,,632,,,0,,
ChattogramDivision,557,,,380,,,525,,,372,,,548,,,385,,,575,,,407,,
Sylhet,471,,,350,,,433,,,0,,,375,,,0,,,499,,,375,,
Maulavi Bazar,428,,,355,,,400,,,325,,,0,,,0,,,484,,,385,,
Sunamganj,429,,,318,,,0,,,0,,,0,,,0,,,472,,,353,,
Habiganj,450,,,350,,,0,,,0,,,0,,,0,,,475,,,375,,
Sylhet Division,444,,,343,,,417,,,350,,,375,,,0,,,482,,,372,,
Dhaka,541,,,500,,,515,,,400,,,510,,,350,,,585,,,550,,
Gazipur,575,,,475,,,550,,,450,,,500,,,425,,,670,,,510,,
Manikganj,494,,,400,,,472,,,388,,,479,,,350,,,589,,,477,,
Munshiganj,500,,,350,,,0,,,0,,,482,,,0,,,547,,,400,,
Narayanganj,0,,,0,,,0,,,0,,,0,,,0,,,491,,,425,,
Narsingdi,0,,,0,,,522,,,400,,,522,,,0,,,543,,,0,,
Faridpur,507,,,0,,,0,,,0,,,500,,,0,,,561,,,200,,
Rajbari,563,,,0,,,500,,,0,,,0,,,0,,,600,,,0,,
Madaripur,417,,,338,,,450,,,0,,,500,,,0,,,528,,,425,,
Gopalganj,450,,,0,,,0,,,0,,,400,,,350,,,513,,,375,,
Shariatpur,549,,,363,,,0,,,0,,,400,,,0,,,583,,,400,,
Tangail,600,,,440,,,550,,,390,,,495,,,340,,,635,,,495,,
Kishoreganj,450,,,300,,,504,,,0,,,535,,,0,,,562,,,330,,
Dhaka Division,513,,,396,,,508,,,406,,,484,,,363,,,570,,,417,,
Mymensing,,520,,,413,,,547,,,454,,,569,,,493,,,600,,,526,
Jamalpur,,516,,,-,,,545,,,-,,,568,,,-,,,596,,,-,
Sherpur,,533,,,300,,,550,,,320,,,567,,,-,,,620,,,350,
Netrokona,,500,,,400,,,538,,,430,,,560,,,-,,,578,,,453,
Mymensing Division,517,,,371,,,545,,,401,,,566,,,445,,,599,,,443,,
