District,River,"Sundar
bans",Beel,"Kaptai
Lake","Flood
Plain",Pond,"Seasonal
Cultured
Water body",Baor,"Shrimp/
Prawn Farm","Pen
Culture","Cage
Culture",Total
Dinajpur,364,0,639,0,6444,59423,4426,0,15,0,8,71319
Gaibandha,2640,0,854,0,6495,29280,2559,0,0,395,13,42236
Kurigram,4650,0,1468,0,11511,24011,5620,0,3,507,20,47790
Lalmonirhat,263,0,678,0,1719,16690,4837,0,0,159,0,24346
Nilphamari,253,0,558,0,3788,22881,1616,0,4,45,9,29154
Panchagarh,161,0,81,0,3128,15843,1090,0,0,230,14,20547
Rangpur,217,0,2018,0,8647,36010,4158,0,31,63,0,51144
Thakurgaon,154,0,364,0,4110,29562,687,0,0,14,0,34891
Rangpur Division,8702,0,6660,0,45842,233700,24993,0,53,1413,64,321427
Bogura,1133,0,2821,0,5075,97936,734,0,19,63,13,107794
Chapai Nawabganj,2250,0,3616,0,1843,15491,221,0,0,127,11,23559
Joypurhat,218,0,295,0,287,26117,639,0,24,0,0,27580
Naogaon,1400,0,5849,0,15603,67812,706,0,6,0,0,91376
Natore,1033,0,1231,0,17102,59985,322,0,7,17,0,79697
Pabna,4980,0,2427,0,11932,53236,3066,0,7,282,344,76274
Rajshahi,3783,0,4169,0,6997,77691,2045,0,1,0,5,94691
Sirajganj,5084,0,827,0,34407,32891,1168,0,10,47,1425,75859
Rajshahi Division,19881,0,21235,0,93246,431159,8901,0,74,536,1798,576830
Bandarban,227,0,0,0,200,1922,0,0,0,0,0,2349
Brahmanbaria,2380,0,622,0,22183,43463,4242,0,0,287,120,73297
Chandpur,40748,0,338,0,25598,44503,2956,0,63,1400,959,116565
Chattogram,7983,0,70,0,790,76120,5420,0,977,0,0,91360
Cumilla,1228,0,357,0,73978,156812,82730,0,128,84,140,315457
Cox’s Bazar,4897,0,0,0,2029,6020,574,0,24571,0,0,38091
Feni,1486,0,0,0,7296,30345,530,0,239,7,14,39917
Khagrachhari,63,0,9,0,0,4684,0,0,0,0,0,4756
Lakshmipur,25915,0,0,0,10866,35951,728,0,289,9,58,73816
Noakhali,15268,0,0,0,28606,56824,1731,0,414,0,0,102843
Rangamati,249,0,0,19253,5,2593,0,0,0,118,128,22346
Chattogram Division,100444,0,1396,19253,171551,459237,98911,0,26681,1905,1419,880797
Habiganj,1122,0,2840,0,29998,21147,1399,0,0,306,0,56812
Moulvibazar,568,0,2997,0,26859,26066,815,0,0,0,0,57305
Sunamganj,1013,0,25615,0,73383,12232,1865,0,0,22,0,114130
Sylhet,1059,0,5347,0,46376,25163,2988,0,0,121,0,81054
Sylhet Division,3762,0,36799,0,176616,84608,7067,0,0,449,0,309301
TOTAL,400701,28888,110817,19253,852137,2368741,246686,12893,326169,18123,5452,4389860
%,9.13,0.66,2.53,0.44,19.41,53.96,5.62,0.29,7.43,0.41,0.12,100
