District/ Division,None,2022-23,None_1,None_2,None_3,None_4,2023-24,None_5,None_6,None_7,None_8
None,None,Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
41,Jamalpur,655,265,19.71,1.818,482,482,195,19.75,1.822,355
42,Mymensingh,191,77,22.45,2.071,160,126,51,22.48,2.073,106
43,Netrokona,367,149,22.17,2.045,304,363,147,22.07,2.036,299
44,Sherpur,81,33,21.67,1.999,65,67,27,20.01,1.846,50
"Mymensingh
Division",None,1294,524,23.28,1.931,1011,1038,420,23.25,1.929,810
45,Bogura,1717,695,17.48,1.612,1120,1781,721,17.74,1.636,1179
46,Joypurhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
47,Naogaon,0,0,0.00,0.000,0,0,0,0.00,0.000,0
48,Natore,66,27,21.89,2.019,54,71,29,22.56,2.081,60
49,"Chapai
Nawabganj",0,0,0.00,0.000,0,0,0,0.00,0.000,0
50,Pabna,855,346,16.36,1.509,522,745,301,17.74,1.636,493
51,Rajshahi,0,0,0.00,0.000,0,0,0,0.00,0.000,0
52,Sirajganj,5094,2062,22.13,2.041,4208,5303,2146,22.32,2.059,4418
Rajshahi Division,None,7732,3129,20.46,1.887,5904,7900,3197,20.86,1.924,6151
53,Dinajpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
54,Gaibandha,1161,470,20.61,1.901,893,924,374,20.23,1.866,698
55,Kurigram,2506,1015,19.06,1.757,1783,2388,966,19.07,1.759,1700
56,Lalmonirhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
57,Nilphamari,0,0,0.00,0.000,0,0,0,0.00,0.000,0
58,Panchagar,0,0,0.00,0.000,0,0,0,0.00,0.000,0
59,Rangpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
60,Thakurgaon,0,0,0.00,0.000,0,0,0,0.00,0.000,0
Rangpur Divison,None,3667,1484,19.55,1.803,2676,3312,1340,19.39,1.789,2398
61,Habiganj,114,46,19.67,1.814,84,91,37,21.96,2.026,75
62,Moulvibazar,929,376,20.89,1.927,724,724,293,21.01,1.938,568
63,Sunamganj,3384,1369,20.88,1.926,2637,3276,1326,20.17,1.860,2466
64,Sylhet,14026,5676,20.13,1.857,10539,12823,5189,20.88,1.926,9994
Sylhet Division,None,18453,7468,20.30,1.873,13985,16914,6845,20.75,1.914,13103
,Bangladesh,60657,24549,20.67,1.906,46790,56521,22876,20.80,1.918,43887
None,None,Area,None,Yield Rate,None,"Product
ion",Area,None,Yield Rate,None,"Producti
on"
None,None,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)","(M.
Ton)",Acres,Hectors,"Acre
s
(Maun
d)","Hector
s
(M.
Ton)",(M. Ton)
1,Barguna,18940,7665,35.81,3.303,25317,24780,10028,36.20,3.339,33484
2,Barishal,61319,24826,40.71,3.753,93180,69949,28319,40.59,3.742,105981
3,Bhola,90463,36610,45.16,4.165,152494,91411,36994,45.60,4.206,155593
4,Jhallokati,27897,11290,37.81,3.487,39372,25667,10387,38.10,3.514,36503
5,Patuakhali,3807,1541,36.71,3.386,5217,3901,1579,36.82,3.396,5362
6,Pirojpur,30443,12320,39.10,3.606,44432,32167,13018,39.85,3.676,47848
Barishal Division,None,232869,94251,41.42,3.820,360012,247875,100325,41.59,3.835,384771
7,Bandarban,8206,3321,37.71,3.478,11551,7510,3039,38.39,3.541,10762
8,Brahmanbaria,247878,100315,41.45,3.823,383522,248737,100662,42.08,3.881,390700
9,Chandpur,131968,53407,33.12,3.055,163149,129800,52529,34.19,3.154,165654
10,Chattogram,114196,46215,41.73,3.849,177880,116584,47181,41.69,3.845,181425
11,Cumilla,317418,128509,44.41,4.095,526186,323206,130853,43.87,4.045,529266
12,Cox’s Bazar,96899,39215,45.33,4.181,163958,98999,40064,44.43,4.098,164185
13,Feni,62347,25231,36.35,3.353,84596,64448,26082,36.23,3.342,87158
14,Khagrachari,17113,6926,40.44,3.730,25833,17182,6953,40.97,3.779,26276
15,Lakshmipur,46303,18746,35.93,3.313,62100,45436,18395,36.10,3.328,61226
16,Noakhali,33476,13548,48.78,4.499,60954,32541,13169,49.16,4.534,59713
17,Rangamati,9420,3812,42.51,3.921,14947,9553,3866,43.51,4.013,15515
Chattogram Division,None,1085225,439244,41.34,3.813,1674677,1093996,442795,41.43,3.821,1691881
18,Dhaka,104232,42182,50.01,4.613,194574,103217,41771,50.53,4.661,194683
19,Faridpur,48632,19681,50.44,4.652,91564,48212,19511,51.24,4.726,92213
20,Gazipur,116217,47051,46.59,4.296,202111,115869,46892,47.22,4.355,204230
21,Gopalganj,58829,23817,53.10,4.896,116604,57697,23350,54.08,4.988,116471
22,Kishoreganj,303377,122775,44.02,4.060,498494,299401,121166,44.50,4.104,497325
23,Madaripur,65790,26625,46.46,4.285,114095,65018,26312,45.85,4.229,111276
24,Manikganj,110680,44792,54.20,4.999,223921,107986,43701,54.15,4.995,218270
25,Munshiganj,53128,21501,44.73,4.126,88705,53048,21468,44.03,4.061,87186
26,Narayanganj,46702,18900,44.32,4.088,77261,46316,18744,46.02,4.245,79562
27,Narsingdi,128878,52177,41.10,3.789,197718,127438,51573,41.17,3.797,195843
28,Rajbari,26496,10723,48.81,4.502,48274,26576,10755,48.10,4.437,47716
29,Shariatpur,53980,21845,48.54,4.477,97805,50658,20501,49.02,4.521,92693
30,Tangail,354805,143588,46.72,4.309,618757,354548,143484,47.04,4.339,622543
Dhaka Division,None,1471745,595657,46.78,4.314,2569883,1455984,589229,47.10,4.345,2560010
31,Bagerhat,20560,8321,41.43,3.821,31795,19538,7907,41.15,3.796,30011
32,Chuadanga,85159,34463,44.37,4.093,141042,84985,34393,44.25,4.081,140373
33,Jashore,323499,130918,48.92,4.512,590727,320137,129558,48.82,4.503,583393
34,Jhenaidah,198587,80400,46.03,4.244,341208,199086,80569,46.82,4.318,347936
35,Khulna,56097,22711,38.86,3.583,81371,50204,20317,41.50,3.828,77770
36,Kushtia,75181,30425,44.71,4.124,125470,74179,30020,46.59,4.297,129003
37,Magura,69576,28168,42.78,3.944,111103,70127,28380,42.78,3.946,111983
38,Meherpur,39417,15952,42.22,3.894,62120,39369,15932,44.15,4.072,64880
None,None,Area,None,Yield Rate,None,"Product
ion",Area,None,Yield Rate,None,"Producti
on"
None,None,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)","(M.
Ton)",Acres,Hectors,"Acre
s
(Maun
d)","Hector
s
(M.
Ton)",(M. Ton)
39,Narail,55771,22570,46.71,4.308,97240,55972,22652,47.10,4.344,98405
40,Satkhira,140901,57022,40.97,3.779,215480,138874,56202,41.25,3.805,213832
Khulna Division,None,1064748,430951,45.23,4.171,1797556,1052471,425929,45.76,4.220,1797587
41,Jamalpur,191941,77677,40.62,3.747,291028,192196,77781,42.81,3.949,307126
42,Mymensingh,494550,200142,42.10,3.883,777176,463748,187676,42.44,3.914,734657
43,Netrokona,340292,137714,45.06,4.156,572361,329183,133219,45.13,4.163,554536
44,Sherpur,92024,37242,45.73,4.218,157083,81123,32830,44.25,4.081,133994
"Mymensingh
Division",None,1118807,452775,43.04,3.970,1797649,1066250,431505,43.47,4.010,1730313
45,Bogura,419810,169895,44.40,4.095,695766,417925,169132,45.14,4.164,704186
46,Joypurhat,149992,60701,40.22,3.710,225184,154201,62404,41.04,3.785,236223
47,Naogaon,434491,175836,48.93,4.513,793566,438841,177597,48.63,4.485,796597
48,Natore,139347,56393,48.60,4.483,252791,136293,55157,48.80,4.501,248268
49,"Chapai
Nawabganj",121982,49385,49.90,4.601,227208,118509,47960,48.04,4.431,212511
50,Pabna,129864,52555,46.15,4.257,223711,127455,51580,49.36,4.553,234833
51,Rajshahi,150625,60957,48.93,4.513,275106,154334,62458,47.97,4.425,276349
52,Sirajganj,303175,122693,49.13,4.532,555991,302554,122442,50.44,4.652,569646
Rajshahi Division,None,1849286,748416,47.07,4.342,3249322,1850112,748730,47.47,4.379,3278614
53,Dinajpur,365839,148053,45.00,4.151,614511,367077,148554,44.49,4.104,609603
54,Gaibandha,205171,83032,42.10,3.883,322423,199682,80810,43.51,4.013,324306
55,Kurigram,147296,59634,44.85,4.135,246593,155671,62999,43.49,4.011,252711
56,Lalmonirhat,50201,20316,43.13,3.978,80820,51532,20855,44.14,4.071,84906
57,Nilphamari,92204,37314,43.25,3.989,148855,89026,36028,43.11,3.976,143259
58,Panchagar,59955,24263,45.78,4.223,102454,58724,23765,46.91,4.327,102827
59,Rangpur,202583,81984,44.65,4.118,337638,201584,81580,45.69,4.214,343799
60,Thakurgaon,122875,49727,41.43,3.821,190023,122910,49741,41.79,3.855,191729
Rangpur Divison,None,1246124,504324,43.93,4.052,2043317,1246206,504333,44.14,4.071,2053140
61,Habiganj,179631,72696,44.48,4.103,298245,172044,69625,45.47,4.194,292006
62,Moulvibazar,133784,54142,52.61,4.853,262723,126155,51054,52.71,4.862,248213
63,Sunamganj,395365,160002,47.52,4.383,701297,390564,158059,47.35,4.367,690303
64,Sylhet,165909,67142,37.15,3.427,230068,162056,65583,38.09,3.513,230411
Sylhet Division,None,874689,353982,45.71,4.216,1492333,850819,344322,46.00,4.243,1460933
,Bangladesh,8943493,3619599,44.89,4.140,14984750,8863713,3587167,45.21,4.170,14957248
None,None,Area,None,Yield Rate,None,"Productio
n",Area,None,Yield Rate,None,"Producti
on"
None,None,Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,850,343.9903,0.00,0,0,4516,1827.6,36.06,3.33,6079
2,Barishal,61987,25096,51.23,4.723,118537,67556,27340,52.48,4.841,132338
3,Bhola,6931,2805,53.71,4.954,13896,7057,2856,54.75,5.050,14422
4,Jhallokati,2700,1093,46.05,4.247,4641,3403,1377,46.50,4.289,5907
5,Patuakhali,0,0,0.00,0.000,0,0,0,0.00,0.000,0
6,Pirojpur,32954,13336,49.21,4.539,60533,39387,15940,49.99,4.611,73496
Barishal Division,None,105422,42674,50.22,4.631,197606,121919,49340,51.03,4.707,232242
7,Bandarban,6931,2805,47.92,4.420,12397,7333,2968,47.26,4.359,12936
8,Brahmanbaria,26741,10822,55.67,5.135,55569,27098,10966,55.94,5.160,56583
9,Chandpur,23148,9368,56.55,5.216,48862,27353,11070,56.31,5.194,57493
10,Chattogram,44566,18036,49.81,4.594,82861,45199,18292,50.12,4.623,84560
11,Cumilla,52815,21383,50.50,4.656,99558,57116,23115,50.81,4.687,108326
12,Cox’s Bazar,28815,11661,47.56,4.387,51155,29481,11931,49.29,4.546,54241
13,Feni,10735,4344,44.71,4.124,17916,12702,5140,47.04,4.339,22303
14,Khagrachari,9720,3934,44.02,4.060,15972,9752,3947,43.60,4.021,15871
15,Lakshmipur,36016,14581,39.05,3.600,52498,38291,15496,39.74,3.665,56800
16,Noakhali,142924,57864,54.81,5.053,292410,155686,63005,54.93,5.067,319217
17,Rangamati,8627,3491,50.01,4.613,16105,8706,3523,51.07,4.710,16596
Chattogram Division,None,391039,158289,51.06,4.708,745303,418717,169452,51.50,4.750,804929
18,Dhaka,1172,474,49.83,4.596,2180,1555,629,50.45,4.653,2928
19,Faridpur,5282,2138,53.01,4.889,10451,5564,2252,55.59,5.127,11545
20,Gazipur,29270,11850,48.02,4.427,52465,29611,11983,48.73,4.495,53861
21,Gopalganj,139983,56673,59.93,5.525,313146,149590,60538,59.91,5.526,334525
22,Kishoreganj,101970,41267,51.83,4.781,197279,105803,42818,52.77,4.867,208407
23,Madaripur,14068,5693,50.66,4.673,26603,17447,7061,48.43,4.467,31540
24,Manikganj,8333,3372,62.16,5.733,19336,9492,3841,62.47,5.762,22134
25,Munshiganj,4239,1715,50.04,4.615,7918,4736,1917,50.67,4.674,8958
26,Narayanganj,2113,855,64.42,5.942,5081,2223,900,64.25,5.926,5331
27,Narsingdi,3413,1382,55.01,5.072,7008,4360,1764,55.18,5.090,8980
28,Rajbari,3948,1598,61.91,5.710,9124,4160,1684,60.15,5.548,9340
29,Shariatpur,5290,2141,55.87,5.153,11032,7311,2959,56.24,5.187,15348
30,Tangail,61477,24880,50.83,4.688,116644,61583,24922,50.37,4.646,115787
Dhaka Division,None,380559,154038,54.79,5.052,778267,403435,163268,55.03,5.076,828686
31,Bagerhat,125669,50858,51.94,4.791,243645,128974,52195,51.77,4.775,249234
32,Chuadanga,6359,2573,52.46,4.839,12452,5079,2055,52.48,4.841,9949
33,Jashore,70757,28635,60.73,5.601,160398,71070,28762,61.92,5.711,164265
34,Jhenaidah,23063,9337,58.12,5.359,50034,23273,9418,58.70,5.414,50994
35,Khulna,91534,37058,48.93,4.511,167180,92549,37454,48.63,4.485,167998
36,Kushtia,13458,5446,52.01,4.797,26127,13812,5590,51.98,4.794,26799
37,Magura,18963,7677,49.91,4.602,35328,20581,8329,53.01,4.889,40724
38,Meherpur,5762,2332,52.59,4.851,11311,6251,2530,52.47,4.840,12243
39,Narail,67195,27193,50.31,4.640,126188,69170,27993,50.88,4.693,131369
40,Satkhira,53454,21633,48.09,4.436,95954,55696,22540,48.01,4.428,99812
Khulnam Division,None,476214,192743,52.24,4.818,928619,486455,196866,52.50,4.843,953387
41,Jamalpur,124530,50397,51.45,4.746,239159,126513,51199,51.49,4.749,243156
None,None,Area,None,Yield Rate,None,"Productio
n",Area,None,Yield Rate,None,"Producti
on"
None,None,Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton)
42,Mymensingh,149368,60448,50.33,4.642,280616,172777,69922,50.77,4.683,327431
43,Netrokona,105882,42850,49.62,4.577,196113,122525,49585,50.25,4.635,229820
44,Sherpur,132131,53473,55.23,5.094,272400,144640,58535,54.93,5.067,296569
"Mymensingh
Division",None,511911,207168,51.72,4.770,988287,566455,229241,51.88,4.785,1096976
45,Bogura,41081,16625,49.67,4.581,76166,41213,16679,48.19,4.445,74134
46,Joypurhat,19550,7912,38.74,3.573,28271,17020,6888,39.75,3.666,25254
47,Naogaon,36028,14580,50.83,4.688,68358,37860,15322,52.50,4.842,74194
48,Natore,10008,4050,58.28,5.376,21772,10871,4399,58.25,5.373,23637
49,"Chapai
Nawabganj",5036,2039,54.49,5.024,10243,9255,3745,54.99,5.072,18997
50,Pabna,5847,2366,49.52,4.568,10808,10561,4274,50.96,4.700,20089
51,Rajshahi,11725,4745,51.71,4.770,22632,13918,5633,52.15,4.810,27093
52,Sirajganj,39317,15911,48.76,4.497,71560,40602,16431,48.43,4.467,73399
Rajshahi Division,None,168592,68229,49.23,4.541,309809,181300,73371,49.77,4.590,336797
53,Dinajpur,60976,24677,49.40,4.556,112438,57264,23174,50.25,4.635,107410
54,Gaibandha,103009,41687,52.53,4.845,201981,107998,43706,53.51,4.936,215714
55,Kurigram,129026,52237,48.78,4.497,234934,129723,52498,47.63,4.393,230635
56,Lalmonirhat,68423,27690,48.55,4.478,123999,68515,27728,47.81,4.410,122273
57,Nilphamari,109587,44349,51.89,4.786,212261,113149,45791,51.63,4.762,218062
58,Panchagar,21277,8611,50.52,4.660,40124,21389,8656,51.74,4.772,41309
59,Rangpur,121695,49249,56.78,5.237,257926,124692,50462,56.51,5.212,263021
60,Thakurgaon,29258,11841,54.12,4.992,59106,29558,11962,53.42,4.927,58939
Rangpur Divison,None,643251,260341,51.76,4.774,1242769,652288,263977,51.64,4.763,1257364
61,Habiganj,122458,49558,44.51,4.105,203457,121893,49329,48.25,4.450,219535
62,Moulvibazar,12928,5232,53.61,4.945,25869,14996,6069,54.25,5.004,30367
63,Sunamganj,149301,60421,50.91,4.696,283722,135753,54938,51.71,4.770,262030
64,Sylhet,23350,9450,37.15,3.427,32380,29352,11879,41.00,3.782,44921
Sylhet Division,None,308037,124661,47.44,4.375,545428,301994,122215,49.40,4.556,556853
,Bangladesh,2985024,1208142,51.48,4.748,5736086,3132563,1267732,51.89,4.786,6067233
None,None,Area,None,Yield Rate,None,"Productio
n",Area,None,Yield Rate,None,"Producti
on"
None,None,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,19790,8009,34.27,3.161,25317,29296,11856,36.18,3.337,39563
2,Barishal,127353,51560,45.12,4.160,214468,141726,57368,45.59,4.204,241172
3,Bhola,98567,39890,45.49,4.196,167366,99603,40309,45.98,4.241,170961
4,Jhallokati,30597,12382,38.54,3.555,44013,29070,11764,39.08,3.605,42410
5,Patuakhali,13784,5578,25.98,2.397,13369,13899,5626,25.85,2.384,13411
6,Pirojpur,63570,25726,44.28,4.085,105080,71719,29024,45.37,4.185,121472
Barishal Division,None,353661,143146,43.15,3.979,569613,385313,155948,43.73,4.033,628989
7,Bandarban,15137,6126,42.38,3.909,23948,14843,6007,42.77,3.945,23698
8,Brahmanbaria,274737,111184,42.82,3.950,439170,275952,111676,43.43,4.006,447369
9,Chandpur,155580,62962,36.56,3.372,212331,157519,63747,37.99,3.504,223400
10,Chattogram,158763,64250,44.00,4.058,260741,161783,65473,44.05,4.063,265986
11,Cumilla,371353,150345,45.21,4.168,626711,381427,154415,44.85,4.135,638569
12,Cox’s Bazar,126053,51013,45.79,4.223,215446,128946,52184,45.48,4.195,218885
13,Feni,73082,29576,37.58,3.466,102511,77150,31222,38.01,3.506,109461
14,Khagrachari,26833,10859,41.74,3.850,41804,26934,10900,41.92,3.867,42148
15,Lakshmipur,82319,33328,37.30,3.439,114598,83727,33891,37.76,3.482,118026
16,Noakhali,176400,71412,53.67,4.948,353364,188227,76174,53.93,4.975,378930
17,Rangamati,18047,7304,46.10,4.252,31053,18259,7389,47.11,4.346,32111
Chattogram Division,None,1478304,598359,43.89,4.047,2421678,1514767,613078,44.19,4.075,2498583
18,Dhaka,106094,42936,49.83,4.596,197343,105330,42626,50.37,4.646,198058
19,Faridpur,56708,22949,49.13,4.532,104006,55765,22568,50.53,4.660,105177
20,Gazipur,145802,59029,46.82,4.317,254806,145796,59003,47.47,4.378,258322
21,Gopalganj,198871,80514,57.90,5.338,429796,207351,83914,58.28,5.375,451046
22,Kishoreganj,406293,164424,45.92,4.236,696448,406076,164337,46.60,4.298,706342
23,Madaripur,80360,32521,47.04,4.338,141088,82926,33560,46.25,4.266,143173
24,Manikganj,120546,48784,54.35,5.013,244577,119016,48165,54.41,5.019,241729
25,Munshiganj,57451,23250,45.08,4.158,96682,57873,23421,44.53,4.108,96206
26,Narayanganj,48899,19789,45.14,4.164,82400,48594,19666,46.82,4.319,84931
27,Narsingdi,132668,53712,41.40,3.817,205033,132260,53525,41.56,3.834,205199
28,Rajbari,31499,12747,49.51,4.567,58218,31649,12808,48.90,4.510,57767
29,Shariatpur,60794,24603,48.50,4.474,110066,58558,23698,49.65,4.579,108516
30,Tangail,417979,169154,47.22,4.356,736806,417570,168988,47.45,4.376,739525
Dhaka Division,None,1863962,754413,48.25,4.450,3357269,1868764,756278,48.68,4.490,3395990
31,Bagerhat,146660,59352,50.39,4.647,275830,148940,60275,50.30,4.639,279618
32,Chuadanga,91518,37037,44.93,4.144,153494,90064,36448,44.71,4.124,150322
33,Jashore,394256,159553,51.04,4.708,751125,391207,158319,51.20,4.722,747657
34,Jhenaidah,221650,89737,47.29,4.360,391242,222359,89987,48.06,4.433,398930
35,Khulna,147631,59770,45.10,4.158,248551,142753,57771,46.12,4.254,245768
36,Kushtia,88639,35872,45.82,4.226,151597,87991,35609,47.44,4.375,155802
37,Magura,88539,35846,44.31,4.085,146432,90708,36709,45.10,4.160,152707
38,Meherpur,45179,18284,43.54,4.016,73431,45620,18462,45.29,4.177,77123
39,Narail,122978,49769,48.67,4.490,223439,125153,50649,49.19,4.537,229784
40,Satkhira,194355,78654,42.93,3.960,311434,194570,78741,43.19,3.983,313644
Khulna Division,None,1541405,623873,47.39,4.370,2726575,1539365,622972,47.88,4.416,2751356
41,Jamalpur,317126,128339,44.83,4.135,530669,319191,129175,46.22,4.263,550638
None,None,Area,None,Yield Rate,None,"Productio
n",Area,None,Yield Rate,None,"Producti
on"
None,None,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
42,Mymensingh,644109,260667,44.00,4.059,1057952,636651,257649,44.70,4.123,1062194
43,Netrokona,446541,180713,46.12,4.254,768778,452071,182951,46.50,4.289,784656
44,Sherpur,224236,90747,51.32,4.733,429548,225830,91392,51.08,4.712,430612
"Mymensingh
Division",None,1632012,660466,45.75,4.220,2786947,1633743,661167,46.37,4.277,2828100
45,Bogura,462608,187215,44.77,4.129,773052,460919,186531,45.31,4.179,779499
46,Joypurhat,169542,68613,40.05,3.694,253454,171221,69292,40.91,3.774,261476
47,Naogaon,470519,190416,49.08,4.527,861924,476701,192918,48.94,4.514,870791
48,Natore,149421,60470,49.24,4.541,274616,147235,59585,49.49,4.564,271965
49,"Chapai
Nawabganj",127018,51424,50.08,4.617,237451,127764,51705,48.54,4.477,231508
50,Pabna,136566,55268,46.11,4.253,235041,138761,56156,49.31,4.548,255416
51,Rajshahi,162350,65702,49.13,4.532,297737,168252,68091,48.32,4.456,303443
52,Sirajganj,347586,140666,48.69,4.491,631759,348459,141019,49.78,4.591,647463
Rajshahi Division,None,"202561
0",819774,47.15,4.349,3565036,2039312,825298,47.58,4.388,3621561
53,Dinajpur,426815,172730,45.63,4.209,726949,424341,171728,45.27,4.175,717013
54,Gaibandha,309341,125189,45.49,4.196,525296,308604,124890,46.94,4.330,540718
55,Kurigram,278828,112886,46.44,4.281,483310,287782,116464,45.15,4.165,485046
56,Lalmonirhat,118624,48006,46.26,4.266,204819,120047,48582,46.23,4.264,207179
57,Nilphamari,201791,81664,47.94,4.422,361116,202175,81819,47.88,4.416,361321
58,Panchagar,81232,32874,47.02,4.337,142578,80113,32421,48.20,4.446,144136
59,Rangpur,324278,131234,49.20,4.538,595565,326276,132042,49.83,4.596,606820
60,Thakurgaon,152133,61567,43.87,4.046,249129,152468,61703,44.04,4.062,250668
Rangpur Divison,None,1893042,766149,46.54,4.293,3288761,1901806,769650,46.67,4.304,3312901
61,Habiganj,302203,122300,44.48,4.103,501786,294028,118992,46.62,4.300,511615
62,Moulvibazar,147640,59749,52.50,4.842,289317,141875,57416,52.71,4.862,279148
63,Sunamganj,548050,221793,48.28,4.453,987656,529593,214323,48.30,4.455,954799
64,Sylhet,203285,82268,35.98,3.318,272987,204231,82651,37.43,3.452,285326
Sylhet Division,None,1201178,486110,45.76,4.221,2051746,1.169727,473382,46.51,4.290,2030889
,Bangladesh,11989174,4852290,46.41,4.280,20767626,12052797,4877775,46.83,4.319,21068368
