District name,Jun-2024,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,Without Food (in TK),,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,667,,,467,,,617,,,425,,,600,,,375,,,671,,,479,,
Khagrachari,450,,,300,,,0,,,0,,,0,,,0,,,494,,,404,,
Rangamati,438,,,313,,,413,,,300,,,0,,,0,,,503,,,360,,
Chattogram,638,,,0,,,568,,,0,,,533,,,0,,,733,,,450,,
Cox’sbazar,856,,,467,,,775,,,440,,,813,,,0,,,906,,,500,,
Cumilla,628,,,363,,,556,,,425,,,480,,,325,,,646,,,416,,
Chandpur,0,,,0,,,0,,,0,,,0,,,0,,,600,,,0,,
Brahmmanbaria,596,,,500,,,463,,,450,,,445,,,330,,,630,,,526,,
Noakhali,633,,,0,,,600,,,0,,,525,,,0,,,712,,,0,,
Lakshmipur,0,,,0,,,0,,,0,,,0,,,0,,,490,,,0,,
Feni,650,,,0,,,0,,,0,,,0,,,0,,,700,,,0,,
Chattogram Division,617,,,402,,,570,,,408,,,566,,,343,,,644,,,448,,
Sylhet,471,,,375,,,414,,,0,,,375,,,0,,,515,,,450,,
Maulavi Bazar,521,,,416,,,400,,,400,,,0,,,0,,,539.6,,,429,,
Sunamganj,482,,,355,,,0,,,0,,,0,,,0,,,524,,,392,,
Habiganj,513,,,500,,,0,,,0,,,0,,,0,,,556,,,590,,
Sylhet Division,497,,,411,,,423,,,400,,,375,,,0,,,534,,,465,,
Dhaka,700,,,450,,,670,,,450,,,600,,,400,,,740,,,600,,
Gazipur,750,,,550,,,0,,,0,,,700,,,500,,,830,,,700,,
Manikganj,775,,,600,,,675,,,500,,,651,,,450,,,786,,,625,,
Munshiganj,550,,,0,,,0,,,0,,,507,,,0,,,582,,,0,,
Narayanganj,675,,,570,,,613,,,533,,,550,,,505,,,690,,,586,,
Narsingdi,0,,,0,,,650,,,375,,,631,,,281,,,695,,,0,,
Faridpur,586,,,0,,,0,,,0,,,0,,,0,,,622,,,300,,
Rajbari,538,,,0,,,510,,,0,,,0,,,0,,,596,,,0,,
Madaripur,548,,,436,,,500,,,0,,,471,,,0,,,650,,,407,,
Gopalganj,600,,,0,,,0,,,0,,,550,,,452,,,599,,,550,,
Shariatpur,605,,,363,,,0,,,0,,,600,,,0,,,667,,,420,,
Tangail,610,,,440,,,591,,,390,,,532,,,340,,,672,,,447,,
Kishoreganj,0,,,0,,,529,,,0,,,618,,,0,,,594,,,0,,
Dhaka Division,631,,,487,,,592,,,450,,,583,,,418,,,671,,,515,,
Mymensing,,550,,,450,,,530,,,420,,,510,,,400,,,610,,,480,
Jamalpur,,590,,,-,,,540,,,-,,,510,,,-,,,650,,,-,
Sherpur,,592,,,450,,,562,,,300,,,550,,,-,,,620,,,400,
Netrokona,,549,,,475,,,534,,,413,,,475,,,400,,,602,,,530,
Mymensing Division,570,,,458,,,542,,,378,,,511,,,400,,,621,,,470,,
