"Table: 2.1.1 Area, Yield Rate and Production of Crops 2020-21 to 2022-23",,,,,,,,,
Crop,2020-21,,,2021-22,,,2022-23,,
,"Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons"
DRUG & NARCOTICS,,,,,,,,,
Tea,136,665,90,140,701.18,98,141,659.39,93
Tobacco Jati,20,694,14,20,707.38,14,18,644.04,12
"Tobacco
Matihari",10,707,07,10,727.10,08,06,721.57,05
"Tobacco
Verjinia",70,976,68,70,1008.52,71,69,1025.42,70
Total Tobacco,100,.89,89,100,919.73,93,93,935.00,87
Betelnut,115,3.82,346,97,3.64,334,97,3.77,342
Betel Leaves,56,3865,215,54,3835.34,207,54,3883.04,212
"Total Drugs &
Narcotics",407,1818,740,391,2109.97,825,385,1906.49,734
VEGETABLES (Winter),,,,,,,,,
Rabi Brinjal,83,4621,385,85,4838.16,409,86,5157.93,446
Rabi Pumpkin,44,4910,216,45,5140.81,229,45,5059.85,227
Cauliflower,56,5259,294,56,6066.39,342,56,6089.94,344
Cabbage,55,6888,380,53,7435.57,395,53,7899.25,422
Watergourd,50,5019,252,51,5547.87,284,50,5714.97,284
Tomato,73,6144,448,73,6046.35,442,77,6098.07,469
Radish,67,4693,316,67,4831.77,322,67,5056.18,341
Beans,55,3080,170,57,2986.74,170,64,3582.44,228
Carrot,06,4805,28,06,5036.39,31,6,5435.81,35
Palongsak,25,2454,61,25,2523.87,62,25,2581.43,63
Lalsak,32,2062,65,32,2255.06,73,32,2155.04,70
Lausak,18,1848,32,18,2010.95,36,17,1974.60,34
Shallgam,03,2747,09,03,2758.39,10,04,2921.43,11
Uthche,14,2012,29,15,2110.93,32,16,2226.58,37
Beat,.098,2.56,.202,0.29487,3071.29,01,0.33314,3184.13,01
Barbati,18,1882,33,18,2228.48,40,18,2335.66,42
Dundal,11,2143,24,11,2410.51,27,11,2645.69,30
