District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,146.63,158.49,88.00,0,0.00,0.00,68,64.00,57.51,68,64.00,57.51
2,Barishal,507.14,305.00,65.00,0,0.00,0.00,998,341.00,381.00,998,341.00,381.00
3,Bhola,58.35,59.12,42.00,0,0.00,0.00,194.28,196.95,177.31,194.28,196.95,177.31
4,Jhallokati,372.36,162.00,147.00,0,0.00,0.00,130,112.00,124.76,130,112.00,124.76
5,Patuakhali,126,127.00,28.00,0,0.00,0.00,30,79.00,37.18,30,79.00,37.18
6,Pirojpur,59.41,59.50,41.00,2.92,2.91,3.92,108.79,108.00,114.40,111.71,111.71,118.32
1,"Barishal
Division",1269.89,871.11,411.00,2.92,2.91,3.92,1529.07,901.75,892.16,1531.99,904.66,896.08
7,Bandarban,217.60,218.10,220.10,128.22,128.00,142.83,125.14,129.30,136.93,253.36,257.30,279.76
8,Brahmanbaria,133.26,218.21,219.64,1926.02,1802.10,4211.79,919.55,875.27,1668.98,2845.57,2677.37,5880.77
9,Chandpur,43.22,44.91,45.03,0,0.00,0.00,188.38,201.24,201.44,188.38,201.24,201.44
10,Chattogram,271.63,232.65,525.21,610.1,601.66,660.63,1452.45,1436.64,1588.93,2062.55,2038.30,2249.56
11,Cumilla,180.13,180.76,184.55,48.6,48.57,48.40,213.84,215.87,216.04,262.44,264.44,264.44
12,Cox’s Bazar,48.61,48.61,51.42,115.79,114.75,121.06,315.95,316.99,323.21,431.74,431.74,444.27
13,Feni,72.99,73.33,66.00,0,0.00,0.00,39.87,40.18,112.00,39.87,40.18,112.00
14,Khagrachari,951.38,954.93,971.11,1212.53,1300.55,1370.93,842.43,968.11,983.14,2054.96,2268.66,2354.07
15,Lakshmipur,16.52,24.85,25.10,0,0.00,0.00,137.54,182.96,187.72,137.54,182.96,187.72
16,Noakhali,23.88,25.18,26.11,0,0.00,0.00,81.16,83.40,88.13,81.16,83.40,88.13
17,Rangamati,950.63,942.54,933.15,1086.62,1088.39,1077.09,891.89,886.89,920.25,1978.51,1975.28,1997.34
2,"Chattogram
Division",2909.85,2964.07,3267.42,5127.88,5084.02,7632.73,5208.20,5336.85,6426.77,10336.08,"10420.8
7","14059.4
9"
18,Dhaka,22.65,22.83,54.31,0,0.00,0.00,138.64,140.44,274.15,138.64,140.44,274.15
19,Faridpur,392,393.00,425.00,142.42,90.08,225.62,649.74,738.35,741.36,792.16,828.43,966.98
20,Gazipur,860,863.00,878.00,431.2,467.69,555.84,797.80,839.31,798.16,1229,1307.00,1354.00
21,Gopalganj,142.55,139.00,147.49,0,0.00,0.00,281.76,354.68,356.625,281.76,354.68,356.62
22,Kishoreganj,450.44,445.35,450.50,280.98,161.37,297.52,3528.52,3912.03,3805.87,3809.50,4073.40,4103.39
23,Madaripur,51.89,54.75,62.91,0,7.19,12.52,264.90,319.51,331.97,264.90,326.70,344.49
24,Manikganj,117.35,102.17,102.30,0,0.00,0.00,203.59,199.48,1483.70,203.59,199.48,183.70
25,Munshiganj,11.43,12.01,17.30,0,0.00,0.00,85.47,86.22,90.21,85.47,86.22,90.21
26,Narayanganj,27.90,27.30,27.21,199.59,77.15,191.22,137.01,246.44,136.23,336.60,323.59,327.45
27,Narsingdi,93.43,92.83,93.29,38.59,40.01,40.07,705.03,695.65,704.52,743.62,735.66,744.56
28,Rajbari,163.34,164.34,185.48,559.68,410.64,385.49,1194.70,1211.06,1275.70,1754.38,1621.70,1616.19
29,Shariatpur,80.15,98.15,66.16,0,0.00,0.00,246.60,289.20,303.90,246.60,289.20,303.90
30,Tangail,108.15,126.14,111.19,55.8,62.53,49.45,1060.82,1076.67,853.94,1116.62,1139.20,903.39
3,Dhaka Division,2521.28,2540.87,2621.14,1708.26,1316.66,1757.73,9294.58,10109.04,9856.33,11002.84,"11425.7
0","11614.0
6"
31,Bagerhat,69.47,92.98,96.90,4.18,26.90,27.85,556.14,494.94,510.18,560.32,521.84,538.03
