"Sl.
No.",District,Extensive,,Semi-intensive,,Intensive,,Highly Intensive,,Total,,
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,>4- 10 MT/Ha,,>10.0 MT/Ha,,,,
,,Area,Production,Area,Production,Area,Production,Area,Production,Area,Production,MT/Ha
1,Dhaka,4,5,1472,5736,318,2662,14,215,1808,8618,4.77
2,Faridpur,68,97,2127,7586,1699,11919,126,1792,4020,21394,5.32
3,Gazipur,53,77,2177,7968,1510,13507,406,6101,4146,27653,6.67
4,Gopalganj,667,992,1769,6889,1365,9489,16,169,3817,17539,4.59
6,Kishoreganj,269,369,2893,11189,1667,13274,170,2251,4999,27083,5.42
6,Madaripur,180,269,2019,6478,586,4833,161,1899,2946,13479,4.58
7,Manikganj,346,504,1672,6455,656,6414,20,297,2694,13670,5.07
8,Munshiganj,181,268,1798,7174,248,2471,3,33,2230,9946,4.46
9,Narayanganj,0,0,1356,4346,775,6183,0,0,2131,10529,4.94
10,Narsingdi,83,124,1260,4115,926,8308,707,12450,2976,24997,8.40
11,Rajbari,128,189,2630,10270,943,5385,0,0,3701,15844,4.28
12,Shariatpur,40,59,1799,7159,851,7361,0,0,2690,14579,5.42
13,Tangail,5,6,3071,8792,4559,30101,258,2903,7893,41802,5.30
Dhaka Division,,2024,2959,26043,94157,16103,121907,1881,28110,46051,247133,5.37
14,Jamalpur,39,42,2093,8119,1456,10297,113,1419,3701,19877,5.37
15,Mymensingh,668,874,7006,23212,12156,89987,9350,199140,29180,313213,10.73
16,Netrakona,434,641,5259,20879,2442,19986,49,653,8184,42159,5.15
17,Sherpur,30,35,2402,7891,1508,8911,629,7025,4569,23862,5.22
Mymensingh Division,,1171,1592,16760,60101,17562,129181,10141,208237,45634,399111,8.75
18,Bagerhat,1728,2555,3528,13972,151,1416,0,0,5407,17943,3.32
19,Chuadanga,10,12,1047,3410,1180,8333,0,0,2237,11755,5.25
20,Jashore,84,124,9639,38238,5966,57166,2286,40261,17975,135789,7.55
21,Jhenaidah,25,35,2648,10323,2536,17114,21,212,5230,27684,5.29
22,Khulna,124,181,3530,10932,1254,7498,0,0,4908,18611,3.79
23,Kushtia,5,6,2648,10546,1990,13858,17,191,4660,24601,5.28
24,Magura,18,25,1948,7519,388,3659,14,141,2368,11344,4.79
25,Meherpur,0,0,1321,5116,249,2194,12,140,1582,7450,4.71
26,Narail,55,78,648,2467,397,2582,0,0,1100,5127,4.66
27,Satkhira,6569,8222,4319,10753,1855,17310,457,6205,13200,42490,3.22
Khulna Division,,8618,11238,31276,113276,15966,131130,2807,47150,58667,302794,5.16
28,Barguna,473,696,1974,7154,28,246,0,0,2475,8096,3.27
29,Barishal,880,903,6224,23275,2649,14377,69,736,9822,39291,4.00
30,Bhola,330,465,2015,6676,5626,31454,36,472,8007,39067,4.88
31,Jhalokati,6,8,945,3536,250,1348,7,75,1208,4967,4.11
32,Patuakhali,1216,1781,6902,23677,180,1254,6,68,8304,26780,3.22
33,Pirojpur,761,1138,1961,6425,311,2230,0,0,3033,9793,3.23
Barishal Division,,3666,4991,20021,70743,9044,50909,118,1351,32849,127994,3.90
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,>4- 10 MT/Ha,,>10.0 MT/Ha,,,,
,,Area,Production,Area,Production,Area,Production,Area,Production,Area,Production,MT/Ha
34,Dinajpur,8,11,5329,20359,4300,26832,397,4930,10034,52132,5.20
35,Gaibandha,0,0,5221,20817,640,5779,14,222,5875,26818,4.56
36,Kurigram,137,204,3268,12752,1004,7554,131,1626,4540,22136,4.88
37,Lalmonirhat,0,0,2671,10666,596,3972,25,287,3292,14925,4.53
38,Nilphamari,0,0,1891,7449,2327,12725,91,1095,4309,21269,4.94
39,Panchagarh,0,0,1941,6849,1029,5683,164,1817,3134,14349,4.58
40,Rangpur,0,0,4597,18153,1835,14254,6,69,6438,32476,5.04
41,Thakurgaon,0,0,3801,15024,1454,9323,201,2628,5456,26975,4.94
Rangpur Division,,145,215,28719,112069,13185,86122,1029,12674,43078,211080,4.90
42,Bogura,402,598,9518,37870,3690,35543,824,18266,14434,92277,6.39
43,"Chapai
Nawabganj",0,0,2469,8954,763,5017,0,0,3232,13971,4.32
44,Joypurhat,0,0,2201,7746,2529,16304,0,0,4730,24050,5.08
45,Naogaon,0,0,9583,36701,3149,22994,118,1422,12850,61117,4.76
46,Natore,0,0,4744,18836,3450,29763,243,3790,8437,52389,6.21
47,Pabna,15,21,8345,33374,2277,16171,10,120,10647,49686,4.67
48,Rajshahi,0,0,4583,17532,7902,45963,365,3997,12850,67492,5.25
49,Sirajganj,11,13,2954,11813,2609,16890,0,0,5574,28716,5.15
