District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,454,503,685.90,0,0,0,350,503,285,350,503,285
2,Barishal,266,333,399.00,34,34,20.45,456,466,1317.55,490,500,1338
3,Bhola,258,310,330.00,16,16,18.34,410,408,451.13,426,424,469.47
4,Jhallokati,360,447,473.00,66,0,45.42,501,634,311.58,567,634,357
5,Patuakhali,314,201,201.94,0,0,368.44,415,534,377.37,415,534,745.81
6,Pirojpur,212,81,102.30,101,154,105.81,270,456,345.79,371,610,451.6
1,Barishal Division,1864,1875,2192.14,217,204,558.46,2402,3001,3088.42,2619,3205,"3646.8
8"
7,Bandarban,170,312,310.00,29,57,28.78,397,482,396.98,426,539,425.76
8,Brahmanbaria,378,350,360.93,0,0,0,1050,1153,1281.03,1050,1153,"1281.0
3"
9,Chandpur,302,200,100.96,0,0,0,912,592,468.71,912,592,468.71
10,Chattogram,1546,2186,2229.24,12,16,14.85,3660,4004,3659.22,3672,4020,"3674.0
7"
11,Cumilla,1582,1526,1224.59,214,209,204.93,4211,4080,4070.07,4425,4289,4275
12,Cox’s Bazar,569,300,272.69,560,208,101.74,5250,2887,981.48,5810,3095,"1083.2
2"
13,Feni,267,220,267.89,0,0,0,270,348,284.79,270,348,284.79
14,Khagrachari,431,332,344.00,32,36,65.45,705,715,708.8,737,751,774.25
15,Lakshmipur,457,265,243.78,76,0,36.32,484,664,87.68,560,664,124
16,Noakhali,487,300,274.55,0,0,0,767,991,1058.89,767,991,"1058.8
9"
17,Rangamati,508,551,510.00,402,417,532.12,1286,1314,1147.58,1688,1731,1679.7
2,"Chattogram
Division",6698,6542,6138.63,1325,943,984.19,18992,17230,"14145.2
3",20317,18173,"15129.
42"
18,Dhaka,713,700,695.60,0,0,0,1601,1566,1481.64,1601,1566,"1481.6
4"
19,Faridpur,515,500,520.60,70,74,85.86,596,624,637.14,666,698,723
20,Gazipur,298,300,288.00,120,135,139.79,442,462,471.21,562,597,611
21,Gopalganj,520,503,515.00,0,0,0,454,722,502.23,454,722,502.23
22,Kishoreganj,474,470,331.23,0,0,36.24,1504,1594,1627.24,1504,1594,"1663.4
8"
23,Madaripur,419,400,408.10,0,16,31.28,3184,1430,1296.84,3184,1446,"1328.1
2"
24,Manikganj,326,371,385.50,54,62,134.38,632,733,644.57,686,795,778.95
25,Munshiganj,163,150,163.48,0,0,0,278,323,295.86,278,323,295.86
26,Narayanganj,174,200,149.93,12,14,10.13,366,397,308.93,378,411,319.06
27,Narsingdi,375,376,386.30,79,90,140.5,606,702,596.68,685,792,737.18
28,Rajbari,343,320,207.44,53,76,48.26,350,460,256.66,403,536,304.92
29,Shariatpur,1262,1200,1216.27,0,0,0,1160,2006,1421,1160,2006,1421
30,Tangail,1300,1370,1390.00,1051,1161,1154.43,1500,1907,1783.57,2551,3068,2938
3,Dhaka Division,6883,6860,6657.45,1439,1628,1780.87,12673,12926,"11323.5
7",14112,14554,"13104.
44"
31,Bagerhat,711,716,726.15,62,234,214.74,1234,824,884.26,1296,1058,1099
32,Chuadanga,768,785,744.67,1829,1780,1670.92,299,281,266.08,2128,2061,1937
33,Jashore,1167,1100,1183.08,1995,2367,2025.02,1003,1111,953.98,2998,3478,2979
34,Jhenaidah,708,700,756.77,1229,1453,1359.42,642,694,664.58,1871,2147,2024
35,Khulna,578,550,590.63,158,220,191.14,855,862,743.86,1013,1082,935
36,Kushtia,1508,1400,1545.83,715,1213,1139.68,1171,1938,1942.32,1886,3151,3082
37,Magura,668,1300,1310.00,7120,326,208.5,869,2103,1210.5,1579,2429,1419
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
38,Meherpur,429,400,321.52,411,765,460.33,712,215,156.67,1123,980,617
39,Narail,483,600,620.45,640,643,651.1,617,605,906.8,1257,1248,1557.9
