District,River,"Sundar
bans",Beel,"Kaptai
Lake","Flood
Plain",Pond,"Seasonal
cultured
water body",Baor,"Shrimp/
Prawn
Farm","Pen
Culture","Cage
Culture",Total
Dhaka,1148,0,824,0,6193,8649,3469,0,0,1005,38,21326
Faridpur,2080,0,588,0,9087,19410,6241,812,72.8,1171,2,39464
Gazipur,541,0,1767,0,16231,26358,8447,0,0,901,0,54245
Gopalganj,705,0,861,0,7689,15846,3787,1047,2003,3600,16,35554
Kishoreganj,2450,0,6950,0,42671,25869,1075,0,2.08,939,17,79973
Madaripur,1470,0,313,0,8130,12362,193,1253,67,1293,242,25323
Manikganj,2830,0,679,0,10515,11816,3497,0,7.8,846,0,30191
Munshiganj,3311,0,282,0,11577,9670,4621,0,1,178,0,29640
Narayanganj,1828,0,163,0,1500,9822,3584,0,0,992,0,17889
Narsingdi,2670,0,1279,0,12479,22536,920,0,1,93,557,40535
Rajbari,2930,0,297,0,6152,14971,2668,29,0,0,0,27047
Shariatpur,5583,0,46,0,5325,13256,1021,0,55,38,8,25332
Tangail,1322,0,2349,0,11095,38993,2629,0,0,7,0,56395
Dhaka Division,28868,0,16398,0,148644,229558,42152,3141,2209.51,11063,880,482914
Jamalpur,2935,0,3225,0,9227,17245,1537,0,0,723,16,34908
Mymensingh,1295,0,6459,0,10842,339859,2028,0,4,19,17,360523
Netrakona,1485,0,6786,0,36700,38909,5434,0,0,102,0,89416
Sherpur,966,0,2533,0,2333,22620,1948,0,0,0,0,30400
Mymensingh Division,6681,0,19003,0,59102,418633,10947,0,4,844,33,515247
Bagerhat,5318,19529,32,0,5093,17603,1779,10,72237,0,0,121601
Chuadanga,352,0,1094,0,1302,11052,1588,1603,0,0,8,16999
Jashore,970,0,1718,0,34498,131541,24251,3598,30424,0,3,227003
Jhenaidah,353,0,1055,0,6032,26452,3259,1760,19,0,0,38930
Khulna,3666,762,228,0,19754,16040,1022,0,68863,0,0,110335
Kushtia,1246,0,564,0,3717,22339,4187,195,0,13,64,32325
Magura,1120,0,153,0,2762,10706,112,211,52,0,0,15116
Meherpur,286,0,384,0,854,6863,218,250,0,0,27,8882
Narail,957,0,546,0,3051,4766,578,0,4381,0,0,14279
Satkhira,1380,716,33,0,12674,39599,1761,201,74249,0,0,130613
Khulna Division,15648,21007,5807,0,89737,286961,38755,7828,250225,13,102,716083
Barguna,6219,0,0,0,3538,7538,611,0,591,17,84,18598
Barishal,40999,0,35,0,8563,37732,8084,0,4457,0,45,99915
Bhola,88344,0,0,0,5091,36248,435,0,166,0,164,130448
Jhalokati,2029,0,15,0,4384,4379,554,0,76,109,6,11552
Patuakhali,30833,0,0,0,10231,23932,218,0,3254,5,16,68489
Pirojpur,3552,0,10,0,3891,8592,1025,0,2569,0,26,19665
Barishal Division,171976,0,60,0,35698,118421,10927,0,11113,131,341,348667
