District,Principal River,,,,,,"Principal River
Total (A)","Other River Total
(B)","Grand Total
(A+B)"
,"Lower
Meghna","Upper
Meghna","Lower
Padma","Upper
Padma",Jamuna,"Brahma
putra",,,
Dhaka,0,0,683,0,0,0,683,476,1159
Faridpur,0,0,1523,0,0,0,1523,595,2118
Gazipur,0,0,0,0,0,0,0,519,519
Gopalganj,0,0,0,0,0,0,0,691,691
Kishoreganj,0,1019,0,0,0,0,1019,1447,2466
Madaripur,0,0,1203,0,0,0,1203,289,1492
Manikganj,0,0,1887,0,620,0,2507,376,2883
Munshiganj,0,1343,1602,0,0,0,2945,431,3376
Narayanganj,0,1368,0,0,0,0,1368,449,1817
Narsingdi,0,2195,0,0,0,0,2195,512,2707
Rajbari,0,0,1263,1081,0,0,2344,645,2989
Shariatpur,2017,0,3293,0,0,0,5310,417,5727
Tangail,0,0,0,0,1043,0,1043,312,1355
Dhaka Division,2017,5925,11454,1081,1663,0,22140,7159,29299
Jamalpur,0,0,0,0,475,2263,2738,253,2991
Mymensingh,0,0,0,0,0,0,0,1323,1323
Netrakona,0,0,0,0,0,0,0,1496,1496
Sherpur,0,0,0,0,0,0,0,971,971
"Mymensingh
Division",0,0,0,0,475,2263,2738,4043,6781
Bagerhat,0,0,0,0,0,0,0,5335,5335
Chuadanga,0,0,0,0,0,0,0,359,359
Jashore,0,0,0,0,0,0,0,974,974
Jhenaidah,0,0,0,0,0,0,0,354,354
Khulna,0,0,0,0,0,0,0,3725,3725
Kushtia,0,0,0,211,0,0,211,1090,1301
Magura,0,0,0,0,0,0,0,1170,1170
Meherpur,0,0,0,0,0,0,0,292,292
Narail,0,0,0,0,0,0,0,970,970
Satkhira,0,0,0,0,0,0,0,1355,1355
Khulna Division,0,0,0,211,0,0,211,15624,15835
Barguna,0,0,0,0,0,0,0,6378,6378
Barishal,36491,0,0,0,0,0,36491,5071,41562
Bhola,89888,0,0,0,0,0,89888,4364,94252
Jhalokati,0,0,0,0,0,0,0,2049,2049
Patuakhali,0,0,0,0,0,0,0,31416,31416
Pirojpur,0,0,0,0,0,0,0,3623,3623
Barishal Division,126379,0,0,0,0,0,126379,52901,179280
