"Sl.
No.",District,Natural Source,,Beel Nursery Program,,Total,
,,Area,Production,Area,Production,Area,Production
1,Dhaka,911,736,85,106,996,842
2,Faridpur,219,256,207,350,426,606
3,Gazipur,1541,1519,179,285,1720,1804
4,Gopalganj,647,546,254,342,901,888
5,Kishoreganj,5208,4991,1629,2131,6837,7122
6,Madaripur,108,126,155,197,263,323
7,Manikganj,504,367,268,333,772,700
8,Munshiganj,330,267,19,20,349,287
9,Narayanganj,207,151,9,15,216,166
10,Narsingdi,969,1039,195,267,1164,1306
11,Rajbari,155,173,94,134,249,307
12,Shariatpur,70,41,6,6,76,47
13,Tangail,1950,1974,383,427,2333,2401
Dhaka Division,,12819,12186,3483,4613,16302,16799
14,Jamalpur,2582,2219,778,1087,3360,3306
15,Mymensingh,6832,6101,514,484,7346,6585
16,Netrakona,8343,6883,12,23,8355,6906
17,Sherpur,3430,2471,78,110,3508,2581
Mymensingh Division,,21187,17674,1382,1704,22569,19378
18,Bagerhat,41,25,7,7,48,32
19,Chuadanga,1142,1087,19,28,1161,1115
20,Jashore,2521,1483,189,282,2710,1765
21,Jhenaidah,944,884,187,197,1131,1081
22,Khulna,247,221,24,23,271,244
23,Kushtia,420,315,167,271,587,586
24,Magura,286,120,46,38,332,158
25,Meherpur,414,319,35,77,449,396
26,Narail,527,325,337,241,864,566
27,Satkhira,38,26,8,8,46,34
Khulna Division,,6580,4805,1019,1172,7599,5977
28,Barguna,0,0,0,0,0,0
29,Barishal,31,27,10,10,41,37
30,Bhola,0,0,0,0,0,0
31,Jhalokati,12,13,2,2,14,15
32,Patuakhali,0,0,0,0,0,0
33,Pirojpur,16,8,4,4,20,12
Barishal Division,,59,48,16,16,75,64
,,Area,Production,Area,Production,Area,Production
34,Dinajpur,777,550,5,14,782,564
35,Gaibandha,682,469,137,113,819,582
36,Kurigram,998,1084,353,627,1351,1711
37,Lalmonirhat,312,228,291,363,603,591
38,Nilphamari,568,296,240,221,808,517
39,Panchagarh,93,47,17,11,110,58
40,Rangpur,1783,1744,127,158,1910,1902
41,Thakurgaon,286,162,75,53,361,215
Rangpur Division,,5499,4580,1245,1560,6744,6140
42,Bogura,3241,2327,276,329,3517,2656
43,Chapai Nawabganj,4573,2819,231,273,4804,3092
44,Joypurhat,244,217,40,59,284,276
45,Naogaon,5719,3581,1936,1794,7655,5375
46,Natore,1072,776,321,314,1393,1090
47,Pabna,1159,1132,1194,1629,2353,2761
48,Rajshahi,4739,3334,1258,907,5997,4241
49,Sirajganj,617,489,285,322,902,811
Rajshahi Division,,21364,14675,5541,5627,26905,20302
50,Bandarban,0,0,0,0,0,0
51,Brahmanbaria,333,325,135,184,468,509
52,Chandpur,132,81,229,223,361,304
53,Chattogram,89,55,0,0,89,55
54,Cumilla,185,226,89,114,274,340
55,Cox’s Bazar,0,0,0,0,0,0
56,Feni,0,0,0,0,0,0
57,Khagrachhari,75,40,0,0,75,40
58,Lakshmipur,0,0,0,0,0,0
59,Noakhali,0,0,0,0,0,0
60,Rangamati,0,0,0,0,0,0
Chattogram Division,,814,727,453,521,1267,1248
61,Habiganj,2531,2179,447,503,2978,2682
62,Moulvibazar,2487,1894,1005,1116,3492,3010
63,Sunamganj,20926,24421,42,81,20968,24502
64,Sylhet,4575,4474,687,997,5262,5471
Sylhet Division,,30519,32968,2181,2697,32700,35665
TOTAL,,98841,87663,15320,17910,114161,105573
