District,Principal River,,,,,,"Principal
River
Total (A)","Other River
Total (B)","Grand
Total
(A+B)"
,"Lower
Meghna","Upper
Meghna","Lower
Padma","Upper
Padma",Jamuna,"Brahma
Putra",,,
Dinajpur,0,0,0,0,0,0,0,298,298
Gaibandha,0,0,0,0,213,1416,1629,541,2170
Kurigram,0,0,0,0,0,3494,3494,581,4075
Lalmonirhat,0,0,0,0,0,0,0,211,211
Nilphamari,0,0,0,0,0,0,0,205,205
Panchagarh,0,0,0,0,0,0,0,127,127
Rangpur,0,0,0,0,0,0,0,166,166
Thakurgaon,0,0,0,0,0,0,0,119,119
Rangpur Division,0,0,0,0,213,4910,5123,2248,7371
Bogura,0,0,0,0,163,0,163,767,930
Chapai Nawabganj,0,0,0,1121,0,0,1121,817,1938
Joypurhat,0,0,0,0,0,0,0,197,197
Naogaon,0,0,0,0,0,0,0,1322,1322
Natore,0,0,0,508,0,0,508,373,881
Pabna,0,0,0,1955,982,0,2937,1398,4335
Rajshahi,0,0,0,1651,0,0,1651,848,2499
Sirajganj,0,0,0,0,2706,0,2706,1913,4619
Rajshahi Division,0,0,0,5235,3851,0,9086,7635,16721
Bandarban,0,0,0,0,0,0,0,154,154
Brahmanbaria,0,1315,0,0,0,0,1315,714,2029
Chandpur,32791,0,0,0,0,0,32791,3665,36456
Chattogram,0,0,0,0,0,0,0,6941,6941
Cumilla,0,439,0,0,0,0,439,619,1058
Cox’s Bazar,0,0,0,0,0,0,0,2419,2419
Feni,0,0,0,0,0,0,0,1368,1368
Khagrachhari,0,0,0,0,0,0,0,182,182
Lakshmipur,22293,0,0,0,0,0,22293,348,22641
Noakhali,10313,0,0,0,0,0,10313,124,10437
Rangamati,0,0,0,0,0,0,0,238,238
Chattogram Division,65397,1754,0,0,0,0,67151,16772,83923
Habiganj,0,162,0,0,0,0,162,888,1050
Moulvibazar,0,0,0,0,0,0,0,495,495
Sunamganj,0,0,0,0,0,0,0,896,896
Sylhet,0,0,0,0,0,0,0,894,894
Sylhet Division,0,162,0,0,0,0,162,3173,3335
TOTAL,193793,7841,11454,6527,6202,7173,232990,109555,342545
%,56.57,2.29,3.34,1.91,1.81,2.09,68.02,31.98,100
