"Table: 2.1.1 Area, Yield Rate and Production of Crops 2019-20 to 2021-22",,,,,,,,,
Crop,2019-20,,,2020-21,,,2021-22,,
,"Area
'000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons","Area
'000'
Acres","Per acre
Yield (Kg)","Production
'000'M. Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons"
DRUG & NARCOTICS,,,,,,,,,
Tea,147,613.07,90,136,665,90,140,701.18,98
Tobacco Jati,20,695.88,14,20,694,14,20,707.38,14
Tobacco Matihari,10,711.20,7,10,707,07,10,727.10,08
Tobacco Verjinia,70,924.92,65,70,976,68,70,1008.52,71
Total Tobacco,100,860.00,86,100,.89,89,100,919.73,93
Betelnut,97,3.61,329,115,3.82,346,97,3.64,334
Betel Leaves,55,3906.44,215,56,3865,215,54,3835.34,207
"Total Drugs &
Narcotics",399,2323.16,719,407,1818,740,391,1680,825
VEGETABLES (Winter),,,,,,,,,
Rabi Brinjal,83,4496,373,83,4621,385,85,4838.16,409
Rabi Pumpkin,43,4705.21,204,44,4910,216,45,5140.81,229
Cauliflower,54,5219,283,56,5259,294,56,6066.39,342
Cabbage,55,7013,384,55,6888,380,53,7435.57,395
Watergourd,49,5105,251,50,5019,252,51,5547.87,284
Tomato,70,5897,415,73,6144,448,73,6046.35,442
Radish,65,4423,287,67,4693,316,67,4831.77,322
Beans,62,2754,170,55,3080,170,57,2986.74,170
Carrot,5,3906.25,21,06,4805,28,06,5036.39,31
Palongsak,28,2442,59,25,2454,61,25,2523.87,62
Lalsak,31,1996,61,32,2062,65,32,2255.06,73
Lausak,17,1849,31,18,1848,32,18,2010.95,36
Shallgam,3,2701.80,9,03,2747,09,03,2758.39,10
Uthche,14,1951.40,28,14,2012,29,15,2110.93,32
"Other winter
vegetables/Beet",-,-,-,.098,2.56,.202,0.29487,3071.29,01
"Total Winter
Vegetables",575,448,2576,581,462,2.685,586,4843,3838
VEGETABLES (Summer),,,,,,,,,
Kakrol,13,2476,32,14,2504,34,13,3003.09,40
